#options: 2748x1554 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:37.84 aq:21.99 tex:504560 mv:119935 misc:6321 imb:16856 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:38.79 aq:23.15 tex:9040 mv:4983 misc:4233 imb:1219 pmb:599 smb:15038 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:38.79 aq:24.35 tex:2592 mv:622 misc:2066 imb:15 pmb:755 smb:16086 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:38.79 aq:28.11 tex:585 mv:87 misc:808 imb:2 pmb:19 smb:16835 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:38.79 aq:40.00 tex:38 mv:91 misc:743 imb:0 pmb:11 smb:16845 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:38.63 aq:25.15 tex:10634 mv:2032 misc:3486 imb:95 pmb:471 smb:16290 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:38.71 aq:26.85 tex:42 mv:24 misc:766 imb:0 pmb:8 smb:16848 d:- ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:38.57 aq:26.14 tex:4590 mv:1144 misc:2362 imb:116 pmb:238 smb:16502 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:38.60 aq:39.00 tex:0 mv:0 misc:720 imb:0 pmb:0 smb:16856 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:38.48 aq:26.11 tex:6662 mv:870 misc:2084 imb:41 pmb:204 smb:16611 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:38.53 aq:33.55 tex:29 mv:29 misc:774 imb:0 pmb:14 smb:16842 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:38.55 aq:39.00 tex:2 mv:42 misc:748 imb:0 pmb:13 smb:16843 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:38.50 aq:39.00 tex:0 mv:0 misc:720 imb:0 pmb:0 smb:16856 d:- ref:0 ;
in:16 out:13 type:P dur:4 cpbdur:4 q:35.88 aq:24.10 tex:20070 mv:3291 misc:4839 imb:310 pmb:820 smb:15726 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:37.18 aq:29.76 tex:127 mv:192 misc:1081 imb:6 pmb:78 smb:16772 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:37.83 aq:35.47 tex:40 mv:47 misc:825 imb:0 pmb:18 smb:16838 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:36.53 aq:32.44 tex:54 mv:12 misc:742 imb:0 pmb:3 smb:16853 d:- ref:0 ;
in:20 out:17 type:P dur:4 cpbdur:4 q:39.88 aq:35.67 tex:14383 mv:2295 misc:1578 imb:78 pmb:209 smb:16569 d:- ref:0 ;
in:18 out:18 type:B dur:4 cpbdur:4 q:37.88 aq:37.24 tex:10206 mv:2017 misc:1473 imb:25 pmb:231 smb:16600 d:- ref:0 ;
in:17 out:19 type:b dur:4 cpbdur:4 q:36.88 aq:37.62 tex:6130 mv:1765 misc:1369 imb:15 pmb:212 smb:16629 d:- ref:0 ;
in:19 out:20 type:b dur:4 cpbdur:4 q:38.88 aq:42.73 tex:1397 mv:363 misc:1056 imb:0 pmb:75 smb:16781 d:- ref:0 ;
in:24 out:21 type:P dur:6 cpbdur:6 q:34.84 aq:29.81 tex:39029 mv:3967 misc:2868 imb:132 pmb:518 smb:16206 d:- ref:0 ;
in:22 out:22 type:B dur:4 cpbdur:4 q:37.36 aq:37.13 tex:4934 mv:1575 misc:1547 imb:21 pmb:237 smb:16598 d:- ref:0 ;
in:21 out:23 type:b dur:4 cpbdur:4 q:38.62 aq:40.17 tex:3418 mv:883 misc:1099 imb:11 pmb:118 smb:16727 d:- ref:0 ;
in:23 out:24 type:b dur:4 cpbdur:4 q:36.10 aq:36.91 tex:5350 mv:1772 misc:1622 imb:26 pmb:266 smb:16564 d:- ref:0 ;
in:28 out:25 type:P dur:4 cpbdur:4 q:32.19 aq:22.04 tex:243482 mv:17671 misc:7215 imb:1993 pmb:3216 smb:11647 d:- ref:0 ;
in:26 out:26 type:B dur:4 cpbdur:4 q:33.51 aq:28.45 tex:19231 mv:3772 misc:2189 imb:42 pmb:464 smb:16350 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:34.17 aq:32.45 tex:10175 mv:2908 misc:1749 imb:40 pmb:326 smb:16490 d:- ref:0 ;
in:27 out:28 type:b dur:4 cpbdur:4 q:32.85 aq:31.60 tex:11122 mv:2853 misc:1985 imb:39 pmb:391 smb:16426 d:- ref:0 ;
in:32 out:29 type:P dur:4 cpbdur:4 q:28.95 aq:18.04 tex:368656 mv:18977 misc:7359 imb:2253 pmb:3304 smb:11299 d:- ref:0 ;
in:30 out:30 type:B dur:4 cpbdur:4 q:30.57 aq:27.80 tex:34402 mv:4903 misc:2439 imb:89 pmb:587 smb:16180 d:- ref:0 ;
in:29 out:31 type:b dur:4 cpbdur:4 q:31.38 aq:29.53 tex:12704 mv:2900 misc:2156 imb:103 pmb:396 smb:16357 d:- ref:0 ;
in:31 out:32 type:b dur:4 cpbdur:4 q:29.76 aq:26.67 tex:26669 mv:4907 misc:2184 imb:131 pmb:526 smb:16199 d:- ref:0 ;
