x,z
-135.831298828125,-391.0552673339844
-135.82749938964844,-391.05694580078125
-135.76890563964844,-391.0828552246094
-135.61744689941406,-391.14971923828125
-135.1790313720703,-391.3431396484375
-134.0514678955078,-391.84033203125
-132.02394104003906,-392.73382568359375
-127.0692367553711,-394.9158935546875
-117.55367279052734,-399.103515625
-115.85263061523438,-399.8466796875
-114.16571044921875,-400.5823669433594
-112.47716522216797,-401.31768798828125
-110.78713989257812,-402.0528259277344
-109.09558868408203,-402.7877197265625
-107.40248107910156,-403.5223083496094
-105.84913635253906,-404.19549560546875
-104.2945785522461,-404.86865234375
-102.88024139404297,-405.4805908203125
-101.18157196044922,-406.21466064453125
-99.48129272460938,-406.9483642578125
-97.7793960571289,-407.681396484375
-96.07572937011719,-408.41339111328125
-94.37005615234375,-409.143798828125
-92.66217041015625,-409.87225341796875
-90.95198059082031,-410.5984191894531
-89.2394027709961,-411.32171630859375
-87.52435302734375,-412.04168701171875
-85.949951171875,-412.6984558105469
-84.22980499267578,-413.41131591796875
-82.5068130493164,-414.12042236328125
-80.78095245361328,-414.8262023925781
-79.05240631103516,-415.5290222167969
-77.3212661743164,-416.2289733886719
-75.73197174072266,-416.867919921875
-73.99559783935547,-417.5624084472656
-72.25672149658203,-418.2545166015625
-70.51544189453125,-418.9444885253906
-68.9172134399414,-419.5747375488281
-67.17090606689453,-420.25933837890625
-65.42141723632812,-420.94036865234375
-63.668880462646484,-421.6172790527344
-61.91305923461914,-422.28900146484375
-60.153499603271484,-422.95477294921875
-58.39021301269531,-423.6146240234375
-56.6234016418457,-424.2691345214844
-54.8531379699707,-424.9186096191406
-53.22743606567383,-425.50958251953125
-51.7470588684082,-426.0430603027344
-50.11586380004883,-426.625732421875
-48.630496978759766,-427.1519470214844
-46.994014739990234,-427.727294921875
-45.205867767333984,-428.3509216308594
-43.41513442993164,-428.97015380859375
-41.624656677246094,-429.5837097167969
-40.1357307434082,-430.0893249511719
-38.3558464050293,-430.6874084472656
-36.58481216430664,-431.2763671875
-34.823570251464844,-431.85736083984375
-33.073516845703125,-432.4306335449219
-31.334604263305664,-432.9953918457031
-29.606931686401367,-433.55096435546875
-27.88929557800293,-434.0971984863281
-26.181331634521484,-434.6348571777344
-24.481569290161133,-435.1642761230469
-22.64961051940918,-435.7288818359375
-20.967679977416992,-436.24078369140625
-19.295427322387695,-436.7433776855469
-17.632448196411133,-437.2362976074219
-15.84224796295166,-437.7590637207031
-14.336579322814941,-438.1921081542969
-12.703332901000977,-438.6541442871094
-10.944886207580566,-439.14190673828125
-9.197972297668457,-439.6156311035156
-7.462015151977539,-440.07611083984375
-5.8690185546875,-440.49041748046875
-4.2844014167785645,-440.8957824707031
-2.707981586456299,-441.2928771972656
-1.139721393585205,-441.6817626953125
0.4197286069393158,-442.0619812011719
2.0994346141815186,-442.46368408203125
3.897254228591919,-442.8854675292969
5.557947635650635,-443.2678527832031
7.08251428604126,-443.6131286621094
8.598856925964355,-443.95025634765625
10.10662841796875,-444.2776794433594
11.606572151184082,-444.5943908691406
13.098421096801758,-444.8989562988281
14.582467079162598,-445.1910705566406
16.304378509521484,-445.5164794921875
18.1386661529541,-445.8488464355469
19.96110725402832,-446.16619873046875
21.770360946655273,-446.4688720703125
23.445606231689453,-446.7379455566406
25.226806640625,-447.01202392578125
26.994626998901367,-447.2713623046875
28.632583618164062,-447.4998779296875
30.374853134155273,-447.7291259765625
31.98907470703125,-447.9276428222656
33.59225845336914,-448.1102600097656
35.29791259765625,-448.2884826660156
36.87870788574219,-448.4392395019531
38.56059265136719,-448.5840759277344
40.34018325805664,-448.71905517578125
41.9940299987793,-448.8265075683594
43.524139404296875,-448.90948486328125
45.1490478515625,-448.97821044921875
46.65217208862305,-449.0223083496094
48.46036911010742,-449.050048828125
50.0411376953125,-449.0528869628906
51.608890533447266,-449.0369873046875
53.369911193847656,-448.9971618652344
54.90934371948242,-448.9422607421875
56.536861419677734,-448.86279296875
58.0496711730957,-448.7684631347656
59.551334381103516,-448.6556091308594
61.340003967285156,-448.4958801269531
63.11653518676758,-448.3107604980469
64.78533172607422,-448.1123962402344
66.44577026367188,-447.8910217285156
68.09773254394531,-447.6469421386719
69.8375244140625,-447.3642578125
71.47127532958984,-447.07403564453125
73.1902084350586,-446.7409362792969
74.8028793334961,-446.4007873535156
76.59407806396484,-445.9903259277344
78.18814086914062,-445.59649658203125
79.86737060546875,-445.1520690917969
81.53813934326172,-444.68072509765625
83.19930267333984,-444.18255615234375
84.84859466552734,-443.657958984375
86.48348999023438,-443.10711669921875
88.1036605834961,-442.53118896484375
89.7099609375,-441.9292297363281
91.12702941894531,-441.3706359863281
92.71002197265625,-440.7148132324219
94.2811508178711,-440.0284729003906
95.83966827392578,-439.3108215332031
97.38473510742188,-438.5605773925781
98.91738891601562,-437.77789306640625
100.43950653076172,-436.9637451171875
101.95133972167969,-436.11846923828125
103.45277404785156,-435.24200439453125
104.94261932373047,-434.33453369140625
106.41865539550781,-433.3996276855469
107.87895965576172,-432.43896484375
109.1650619506836,-431.5628967285156
110.60059356689453,-430.5519714355469
112.02474975585938,-429.51470947265625
113.4376449584961,-428.4523010253906
114.76264190673828,-427.4277648925781
116.00244140625,-426.4466857910156
117.23536682128906,-425.45062255859375
118.46007537841797,-424.438232421875
120.72713470458984,-422.4873962402344
121.84494018554688,-421.48480224609375
122.95274353027344,-420.4646911621094
124.12407684326172,-419.3584289550781
125.21287536621094,-418.3050231933594
126.29212951660156,-417.2348327636719
127.43241119384766,-416.0733947753906
128.49217224121094,-414.9661560058594
129.6136474609375,-413.7667236328125
130.6573486328125,-412.6259765625
131.7626495361328,-411.39239501953125
132.79058837890625,-410.219482421875
133.87767028808594,-408.9502258300781
134.88790893554688,-407.7435607910156
135.95640563964844,-406.43963623046875
136.94937133789062,-405.2013244628906
137.99807739257812,-403.863037109375
138.97084045410156,-402.59149169921875
139.9966278076172,-401.2168884277344
140.94671630859375,-399.9111022949219
141.94766235351562,-398.50006103515625
142.9354248046875,-397.0704345703125
143.84878540039062,-395.7133483886719
144.7502899169922,-394.340087890625
145.6991729736328,-392.8582763671875
146.63507080078125,-391.359619140625
147.5000457763672,-389.9391174316406
148.40789794921875,-388.40673828125
149.24420166015625,-386.95343017578125
150.06617736816406,-385.4841003417969
150.81997680664062,-384.09912109375
151.660400390625,-382.5036315917969
152.42506408691406,-380.99530029296875
153.16639709472656,-379.4742736816406
153.9318084716797,-377.8382263183594
154.6710662841797,-376.1888122558594
155.3833465576172,-374.5256042480469
156.0691375732422,-372.8438415527344
156.72366333007812,-371.1414794921875
157.3061981201172,-369.5267028808594
158.31021118164062,-366.4650573730469
158.74063110351562,-365.0244140625
159.14979553222656,-363.5728759765625
159.59791564941406,-361.8857727050781
159.9656982421875,-360.41400146484375
160.36721801757812,-358.7057189941406
160.69505310058594,-357.2168884277344
161.05050659179688,-355.49017333984375
161.3402099609375,-353.98638916015625
161.67529296875,-352.1275634765625
161.9676055908203,-350.3779602050781
162.2023468017578,-348.8564147949219
162.4213104248047,-347.3299255371094
162.66033935546875,-345.56231689453125
162.85963439941406,-344.02557373046875
163.0805206298828,-342.2477111816406
163.28970336914062,-340.46539306640625
163.4593505859375,-338.9169006347656
163.6175994873047,-337.3647766113281
163.76437377929688,-335.8090515136719
163.92018127441406,-334.00982666015625
164.06068420410156,-332.2068176269531
164.16917419433594,-330.6415100097656
164.26512145996094,-329.0738830566406
164.36297607421875,-327.2615661621094
164.4510040283203,-325.4453430175781
164.52044677734375,-323.8685607910156
164.59202575683594,-322.046142578125
164.6543426513672,-320.2204284667969
164.70028686523438,-318.6357727050781
164.74562072753906,-316.682373046875
164.7764129638672,-314.8482971191406
164.79530334472656,-313.0119934082031
164.80148315429688,-311.4189758300781
164.79684448242188,-309.5791320800781
164.7806854248047,-307.7377014160156
164.75323486328125,-305.8954162597656
164.7145538330078,-304.052734375
164.66616821289062,-302.2088623046875
164.61146545410156,-300.3628845214844
164.5525360107422,-298.514892578125
164.4897003173828,-296.6652526855469
164.42230224609375,-294.8141174316406
164.34991455078125,-292.96173095703125
164.2833251953125,-291.355224609375
164.20217895507812,-289.5001220703125
164.11099243164062,-287.519287109375
164.021728515625,-285.6601257324219
163.87144470214844,-282.68115234375
163.7108154296875,-279.69744873046875
163.61903381347656,-278.0794677734375
163.44058227539062,-275.08892822265625
163.2502899169922,-272.0942687988281
163.15049743652344,-270.5958251953125
163.04750061035156,-269.09674072265625
162.93299865722656,-267.4715576171875
162.79812622070312,-265.5945129394531
162.68878173828125,-264.0916748046875
162.5782012939453,-262.5875549316406
162.4663543701172,-261.0824279785156
162.3531951904297,-259.5762634277344
162.2388153076172,-258.0690612792969
162.1233673095703,-256.56085205078125
162.00694274902344,-255.0517120361328
161.87991333007812,-253.41561889648438
161.76206970214844,-251.90420532226562
161.64389038085938,-250.39151000976562
161.52549743652344,-248.87741088867188
161.3971405029297,-247.23561096191406
161.2786102294922,-245.71875
161.15994262695312,-244.2006072998047
161.04098510742188,-242.68124389648438
160.92152404785156,-241.16061401367188
160.79139709472656,-239.51168823242188
160.6504669189453,-237.73410034179688
160.52903747558594,-236.20883178710938
160.40696716308594,-234.6820068359375
160.2842559814453,-233.15386962890625
160.15048217773438,-231.4968719482422
160.02609252929688,-229.9660186767578
159.90069580078125,-228.43409729003906
159.77413940429688,-226.90122985839844
159.6354522705078,-225.23963928222656
159.5058135986328,-223.70494079589844
159.37454223632812,-222.16934204101562
159.24176025390625,-220.63267517089844
159.1077423095703,-219.0948486328125
