x,z
132.66966247558594,-588.2346801757812
132.66372680664062,-588.2359008789062
132.5705108642578,-588.2550659179688
132.34642028808594,-588.30078125
131.6790008544922,-588.4360961914062
130.15614318847656,-588.74365234375
126.84821319580078,-589.4093017578125
120.17305755615234,-590.748291015625
112.34107971191406,-592.3114013671875
110.63276672363281,-592.6429443359375
108.92100524902344,-592.9744873046875
107.205810546875,-593.3063354492188
105.73300170898438,-593.5909423828125
104.01168823242188,-593.92333984375
102.28709411621094,-594.2562255859375
100.55921936035156,-594.5897827148438
99.07560729980469,-594.8763427734375
97.34174346923828,-595.2113647460938
95.6047134399414,-595.5470581054688
93.86448669433594,-595.8831787109375
92.12096405029297,-596.2196655273438
90.62385559082031,-596.5084838867188
89.12435913085938,-596.797607421875
87.3719253540039,-597.1351318359375
85.61616516113281,-597.4729614257812
84.10858917236328,-597.7625732421875
82.34668731689453,-598.1005249023438
80.58149719238281,-598.4387817382812
78.8131103515625,-598.7772827148438
77.2947769165039,-599.0677490234375
75.5204086303711,-599.4070434570312
73.86991119384766,-599.7225952148438
72.34390258789062,-600.01416015625
70.56048583984375,-600.3545532226562
68.77384185791016,-600.6950073242188
66.9840087890625,-601.0355834960938
65.3192138671875,-601.3519897460938
63.52338409423828,-601.6927490234375
61.981666564941406,-601.98486328125
60.43772506713867,-602.2771606445312
58.633663177490234,-602.6185302734375
56.9557991027832,-602.9360961914062
55.40469741821289,-603.22998046875
53.59236526489258,-603.5739135742188
51.777198791503906,-603.9191284179688
50.08906936645508,-604.2408447265625
48.398521423339844,-604.563720703125
46.835880279541016,-604.8626708984375
45.010196685791016,-605.212646484375
43.1816520690918,-605.5635986328125
41.350093841552734,-605.9153442382812
39.515525817871094,-606.2677612304688
37.67805099487305,-606.620849609375
35.8376579284668,-606.974365234375
34.25779342651367,-607.277587890625
32.543853759765625,-607.606201171875
30.695287704467773,-607.9602661132812
28.84380531311035,-608.3148803710938
27.254426956176758,-608.6192626953125
25.530153274536133,-608.9495239257812
23.9361629486084,-609.2547607421875
22.073598861694336,-609.6112670898438
20.20819854736328,-609.968505859375
18.340524673461914,-610.3265991210938
16.47347068786621,-610.68505859375
14.61138916015625,-611.0428466796875
12.758169174194336,-611.399169921875
11.178607940673828,-611.703125
9.347676277160645,-612.0560302734375
7.7896199226379395,-612.3568115234375
5.9863080978393555,-612.70556640625
4.199069976806641,-613.0516967773438
2.6797876358032227,-613.3463745117188
0.9222908020019531,-613.687744140625
-0.8186764717102051,-614.0263061523438
-2.5433309078216553,-614.3619995117188
