x,z
-1072.1995,-1897.0540
-1075.0007,-1901.1234
-1077.8304,-1905.2409
-1080.6969,-1909.4120
-1083.4983,-1913.4840
-1086.3477,-1917.6181
-1089.1901,-1921.7323
-1092.0331,-1925.8344
-1094.9037,-1929.9626
-1097.7498,-1934.0420
-1100.6390,-1938.1672
-1103.4971,-1942.2327
-1106.3991,-1946.3444
-1109.2755,-1950.4037
-1112.1878,-1954.4949
-1115.0895,-1958.5525
-1118.0124,-1962.6183
-1120.9452,-1966.6765
-1123.8797,-1970.7134
-1126.8021,-1974.7104
-1129.6461,-1978.5693
-1132.7251,-1982.7142
-1135.7103,-1986.7107
-1138.6777,-1990.6670
-1141.7653,-1994.7694
-1144.7703,-1998.7518
-1147.7666,-2002.7148
-1150.8230,-2006.7511
-1153.8711,-2010.7708
-1156.8858,-2014.7431
-1159.9210,-2018.7395
-1162.9660,-2022.7463
-1166.0143,-2026.7573
-1169.0489,-2030.7494
-1172.0580,-2034.7079
-1175.1308,-2038.7506
-1178.1851,-2042.7710
-1181.1727,-2046.7067
-1184.2307,-2050.7400
-1187.3092,-2054.8053
-1190.2578,-2058.7066
-1193.3423,-2062.8000
-1196.3855,-2066.8551
-1199.2651,-2070.7147
-1202.4268,-2074.9888
-1205.3050,-2078.9427
-1208.1291,-2082.9725
-1210.8241,-2087.1072
-1213.4776,-2091.2665
-1216.1622,-2095.5147
-1218.8814,-2099.8420
-1221.5041,-2104.0275
-1224.1860,-2108.3031
-1226.8439,-2112.5357
-1229.5190,-2116.7900
-1232.1807,-2121.0185
-1234.8667,-2125.2811
-1237.5058,-2129.4629
-1240.2225,-2133.7599
-1242.8897,-2137.9703
-1245.5342,-2142.1322
-1248.2709,-2146.4138
-1250.9167,-2150.5888
-1253.5017,-2154.9953
-1255.9202,-2159.6099
-1258.0451,-2164.5347
-1259.6015,-2169.8245
-1260.0880,-2175.4921
-1258.6651,-2181.1633
-1254.9305,-2185.9573
-1248.0757,-2188.1236
-1243.9582,-2189.1926
-1241.6255,-2190.5042
-1240.3084,-2192.8453
-1239.0567,-2197.3665
-1236.0677,-2200.9283
-1231.9848,-2205.4025
-1227.0268,-2207.6562
-1221.7917,-2209.0717
-1216.3787,-2209.6272
-1210.9779,-2209.2995
-1205.7754,-2208.3541
-1200.7380,-2207.0677
-1195.8277,-2205.4867
-1191.0228,-2203.6629
-1186.3659,-2201.6630
-1181.7860,-2199.5254
-1177.2637,-2197.3023
-1172.7671,-2195.0381
-1168.2846,-2192.7828
-1163.7962,-2190.5321
-1159.3061,-2188.2732
-1154.8217,-2185.9863
-1150.3556,-2183.6657
-1145.9378,-2181.3059
-1141.5483,-2178.8716
-1137.1835,-2176.3644
-1132.8355,-2173.7963
-1128.5577,-2171.1948
-1124.3032,-2168.5262
-1120.0698,-2165.7820
-1115.8944,-2163.0107
-1111.7489,-2160.2063
-1107.6035,-2157.3629
-1103.4829,-2154.5269
-1099.3580,-2151.7009
-1095.1941,-2148.8730
-1091.0745,-2146.0961
-1086.9201,-2143.3004
-1082.7729,-2140.5154
-1078.6318,-2137.7458
-1074.4540,-2134.9638
-1070.3208,-2132.2262
-1066.1162,-2129.4515
-1061.9885,-2126.7407
-1057.7728,-2123.9867
-1053.6284,-2121.3013
-1049.3815,-2118.5790
-1045.1882,-2115.8851
-1041.0162,-2113.1530
-1036.8670,-2110.3819
-1032.7551,-2107.5716
-1028.6656,-2104.7047
-1024.6256,-2101.8004
-1020.5999,-2098.8398
-1016.6286,-2095.8495
-1012.6681,-2092.7983
-1008.7720,-2089.7194
-1004.8862,-2086.5679
-1001.0738,-2083.3996
-997.2556,-2080.1562
-993.5214,-2076.9218
-989.7548,-2073.6009
-986.0721,-2070.3029
-982.3739,-2066.9295
-978.7319,-2063.5510
-975.1302,-2060.1572
-971.7137,-2056.8583
-968.0911,-2053.2284
-964.7087,-2049.7819
-961.1387,-2046.1108
-957.7549,-2042.6191
-954.2321,-2038.9692
-950.8128,-2035.4137
-947.3525,-2031.7961
-943.8835,-2028.1649
-940.4638,-2024.5723
-936.9926,-2020.9057
-933.5928,-2017.2851
-930.1837,-2013.6293
-926.7641,-2009.9484
-923.3739,-2006.2961
-919.9709,-2002.6263
-916.5664,-1998.9522
-913.1680,-1995.2818
-909.7792,-1991.6194
-906.3685,-1987.9311
-902.9737,-1984.2597
-899.5924,-1980.6063
-896.1617,-1976.9049
-892.7796,-1973.2635
-889.4496,-1969.6752
-886.0990,-1966.0072
-882.7130,-1962.2427
-879.4381,-1958.5519
-876.1416,-1954.7922
-872.8511,-1951.0013
-869.6080,-1947.2351
-866.3528,-1943.4311
-863.1100,-1939.6214
-859.8827,-1935.8147
-856.6550,-1931.9964
-853.4266,-1928.1704
-850.2034,-1924.3476
-846.9906,-1920.5382
-843.7470,-1916.6980
-840.5158,-1912.8823
-837.2944,-1909.0931
-834.0130,-1905.2532
-830.7627,-1901.4748
-827.4812,-1897.6918
-824.1572,-1893.8981
-820.8805,-1890.2046
-817.4697,-1886.4166
-814.0977,-1882.7394
-810.6548,-1879.0683
-807.1460,-1875.4295
-803.6559,-1871.9295
-800.0174,-1868.4091
-796.3630,-1865.0018
-792.5939,-1861.6213
-788.7935,-1858.3549
-784.8935,-1855.1505
-780.9310,-1852.0410
-776.9181,-1849.0353
-772.7960,-1846.0888
-768.6647,-1843.2709
-764.4069,-1840.5418
-760.0542,-1837.9757
-755.6572,-1835.5597
-751.2082,-1833.1871
-746.8378,-1830.7435
-742.6025,-1828.1762
-738.4636,-1825.4558
-734.4128,-1822.5414
-730.4242,-1819.4769
-726.4711,-1816.3820
-722.4908,-1813.3392
-718.5210,-1810.2924
-714.5866,-1807.2122
-710.6642,-1804.0818
-706.7652,-1800.9131
-702.9119,-1797.7295
-699.1956,-1794.3763
-695.6537,-1790.7808
-692.2584,-1787.0589
-688.9713,-1783.2947
-685.7307,-1779.5266
-682.5125,-1775.7883
-679.3382,-1772.0717
-676.2918,-1768.3204
-673.4229,-1764.4345
-670.6493,-1760.4557
-667.8863,-1756.4582
-665.1169,-1752.4490
-662.3584,-1748.4184
-659.6565,-1744.3878
-657.0217,-1740.3079
-654.6473,-1736.2644
-652.4966,-1731.9843
-650.4378,-1727.5733
-648.4213,-1723.1337
-646.3936,-1718.6997
-644.2685,-1714.2958
-642.0700,-1709.9256
-639.9387,-1705.5660
-637.9887,-1701.1258
-636.1005,-1696.5442
-634.2196,-1691.9221
-632.2831,-1687.3027
-630.2842,-1682.6961
-628.2520,-1678.0975
-626.2046,-1673.5036
-624.1199,-1668.9221
-621.9530,-1664.3898
-619.7296,-1659.9859
-617.5107,-1655.5175
