x,z
1102.8298,556.5634
1103.1733,551.5534
1103.5254,546.5724
1103.8923,541.5901
1104.2725,536.6010
1104.6567,531.6356
1105.0480,526.6254
1105.4399,521.6584
1105.8375,516.6697
1106.2369,511.6755
1106.6385,506.6830
1107.0452,501.6988
1107.4579,496.7118
1107.8731,491.7231
1108.2919,486.7346
1108.7168,481.7640
1109.1514,476.7797
1109.5909,471.7978
1110.0328,466.8164
1110.4767,461.8353
1110.9234,456.8553
1111.3717,451.8767
1111.8198,446.8999
1112.2674,441.9179
1112.7214,436.9354
1113.1849,431.9558
1113.6539,426.9802
1114.1261,422.0074
1114.6015,417.0364
1115.0639,412.0676
1115.4886,407.0977
1115.8812,402.1268
1116.2478,397.1578
1116.5905,392.1809
1116.9185,387.1970
1117.2356,382.2096
1117.5428,377.2219
1117.8467,372.2301
1118.1602,367.2235
1118.4691,362.2220
1118.7029,357.2386
1118.9005,352.2275
1119.1848,347.2423
1119.5282,342.2373
1119.8842,337.2465
1120.2662,332.2589
1120.6864,327.2535
1121.1583,322.2506
1121.6768,317.2624
1122.2242,312.2953
1122.7726,307.3167
1123.2437,302.3334
1123.6359,297.3341
1124.1440,292.3428
1124.8133,287.3935
1125.4369,282.4410
1126.0785,277.4332
1126.8921,272.3807
1128.0067,267.3846
1129.2752,262.4519
1130.7572,257.5339
1132.6325,252.6827
1135.0775,248.0658
1137.9213,243.7004
1141.1184,239.5993
1144.6745,235.8702
1148.3910,232.5146
1151.9807,229.3028
1155.4078,226.1563
1158.7115,223.1045
1161.9954,220.2007
1165.4499,217.5020
1169.1512,214.9509
1173.0117,212.4108
1176.9212,209.7286
1180.9305,207.0511
1185.1460,204.5074
1189.6180,202.2933
1194.2817,200.3990
1199.0962,198.8085
1204.0542,197.6461
1209.0898,196.7417
1214.1714,196.0599
1219.3023,195.6274
1224.4578,195.5402
1229.5818,195.7408
1234.6698,196.1481
1239.7612,196.7688
1244.7922,197.7019
1249.7233,198.8408
1254.5841,200.0326
1259.4487,201.2308
1264.2914,202.4998
1269.1206,203.8397
