x,z
-135.064697265625,-391.8664855957031
-135.05511474609375,-391.8706359863281
-135.02053833007812,-391.8856506347656
-134.89340209960938,-391.9408264160156
-134.55062866210938,-392.0895080566406
-133.69476318359375,-392.46063232421875
-131.7606658935547,-393.29901123046875
-127.20996856689453,-395.2709655761719
-118.9008560180664,-398.8700256347656
-115.4660873413086,-400.3548278808594
-113.89562225341797,-401.03094482421875
-112.32389831542969,-401.7069091796875
-110.7509536743164,-402.3826599121094
-109.17668914794922,-403.05804443359375
-107.457763671875,-403.79437255859375
-105.8807144165039,-404.46905517578125
-104.15882873535156,-405.2048645019531
-102.72273254394531,-405.8179016113281
-100.99800872802734,-406.55340576171875
-99.41571044921875,-407.2273864746094
-97.83213806152344,-407.9008483886719
-96.24708557128906,-408.5733947753906
-94.51600646972656,-409.305419921875
-92.92727661132812,-409.9747619628906
-91.33672332763672,-410.64239501953125
-89.74436950683594,-411.30810546875
-88.1501693725586,-411.9715576171875
-86.55400085449219,-412.63232421875
-84.9556884765625,-413.29010009765625
-83.35504913330078,-413.9447021484375
-81.75202941894531,-414.59625244140625
-80.14666748046875,-415.2451171875
-78.53910064697266,-415.8914794921875
-76.92935180664062,-416.53533935546875
-75.31732177734375,-417.17681884765625
-73.70310974121094,-417.81622314453125
-72.08690643310547,-418.453857421875
-70.46876525878906,-419.08978271484375
-68.84864807128906,-419.7235412597656
-67.22608947753906,-420.3546142578125
-65.60086822509766,-420.9826965332031
-63.97308349609375,-421.6072692871094
-62.342620849609375,-422.2275085449219
-60.709083557128906,-422.8427734375
-58.92346954345703,-423.50811767578125
-57.4327392578125,-424.058349609375
-55.7901611328125,-424.6594543457031
-53.99498748779297,-425.310302734375
-52.346534729003906,-425.9023742675781
-50.695796966552734,-426.4898986816406
-49.04476547241211,-427.07244873046875
-47.246002197265625,-427.70220947265625
-45.60199737548828,-428.27392578125
-43.96464538574219,-428.8399963378906
-42.33498764038086,-429.4000244140625
-40.56734848022461,-430.0033264160156
-38.81203842163086,-430.5971984863281
-37.21297073364258,-431.1336364746094
-35.623104095458984,-431.6632385253906
-34.04247283935547,-432.1866760253906
-32.471248626708984,-432.7034606933594
-30.909343719482422,-433.2127685546875
-29.074111938476562,-433.80413818359375
-27.38976287841797,-434.3404541015625
-25.854053497314453,-434.8246765136719
-24.326223373413086,-435.30224609375
-22.66902732849121,-435.81512451171875
-21.160051345825195,-436.2778015136719
-19.659503936767578,-436.7325134277344
-18.033475875854492,-437.2192077636719
-16.55126190185547,-437.6560974121094
-14.94480037689209,-438.1226806640625
-13.481525421142578,-438.5409240722656
-12.027329444885254,-438.9495849609375
-10.189053535461426,-439.4549865722656
-8.365126609802246,-439.9436950683594
-6.554633617401123,-440.4168701171875
-4.756451606750488,-440.8763122558594
-3.2239933013916016,-441.26031494140625
-1.4452626705169678,-441.697021484375
0.32321619987487793,-442.1209411621094
2.079817533493042,-442.5315246582031
3.827385425567627,-442.9289245605469
5.565885543823242,-443.3150634765625
7.172372341156006,-443.6636962890625
8.89223861694336,-444.0280456542969
10.601120948791504,-444.3792419433594
12.29910659790039,-444.7161560058594
13.865577697753906,-445.01617431640625
15.541947364807129,-445.3262023925781
17.20655059814453,-445.6241760253906
18.85897445678711,-445.9111328125
20.497732162475586,-446.18695068359375
22.00583839416504,-446.4327697753906
23.61531639099121,-446.6854553222656
25.43743324279785,-446.9587097167969
27.242069244384766,-447.2153015136719
28.80769157409668,-447.4261169433594
30.471874237060547,-447.637451171875
32.01350021362305,-447.8205871582031
33.76264953613281,-448.01171875
35.3907356262207,-448.1724548339844
37.00811004638672,-448.31549072265625
38.72068786621094,-448.4490966796875
40.41935729980469,-448.56317138671875
42.10362243652344,-448.6571350097656
43.77505874633789,-448.7297668457031
45.43571090698242,-448.7798767089844
47.086734771728516,-448.80560302734375
48.62642288208008,-448.80706787109375
50.36189651489258,-448.78314208984375
51.98717498779297,-448.7373352050781
53.60600280761719,-448.66943359375
55.21900939941406,-448.5792236328125
56.82594299316406,-448.4668273925781
58.42667007446289,-448.331787109375
60.02095413208008,-448.1748352050781
61.608436584472656,-447.9959716796875
63.18867874145508,-447.7962951660156
64.76130676269531,-447.5765075683594
66.32634735107422,-447.3367919921875
68.1749267578125,-447.0264892578125
69.72335052490234,-446.74395751953125
71.26527404785156,-446.4418640136719
72.80152893066406,-446.11895751953125
74.3320083618164,-445.7737121582031
75.85643005371094,-445.4056091308594
77.46966552734375,-444.9897766113281
78.98197174072266,-444.5755310058594
80.58263397216797,-444.11212158203125
82.08293914794922,-443.6547546386719
83.66939544677734,-443.14654541015625
85.1540756225586,-442.6470031738281
86.72161102294922,-442.0941467285156
88.278076171875,-441.51849365234375
89.82256317138672,-440.92041015625
91.35444641113281,-440.2994079589844
92.87555694580078,-439.6544189453125
94.38703918457031,-438.98358154296875
95.8891830444336,-438.2850341796875
97.29415130615234,-437.6010437011719
98.86405181884766,-436.801025390625
100.24977111816406,-436.0641784667969
101.7114486694336,-435.2552185058594
103.16227722167969,-434.41937255859375
104.51808166503906,-433.6077880859375
105.94831085205078,-432.719482421875
107.36709594726562,-431.80413818359375
108.77334594726562,-430.8622131347656
110.16658020019531,-429.89508056640625
111.46672821044922,-428.9640197753906
112.67620086669922,-428.0738220214844
114.0372085571289,-427.0467834472656
115.4696044921875,-425.941162109375
116.81554412841797,-424.882080078125
118.15418243408203,-423.8100891113281
119.48381042480469,-422.7215881347656
120.64741516113281,-421.7438659667969
121.95437622070312,-420.6151123046875
123.24917602539062,-419.4664306640625
124.53177642822266,-418.29937744140625
125.65325164794922,-417.255126953125
126.83623504638672,-416.1213684082031
127.9312744140625,-415.039794921875
129.15708923339844,-413.79473876953125
130.36929321289062,-412.5311279296875
131.56893920898438,-411.24951171875
132.6170196533203,-410.1031188964844
133.7932586669922,-408.7856750488281
134.95755004882812,-407.4490661621094
136.10958862304688,-406.0943603515625
137.24691772460938,-404.7224426269531
138.2362518310547,-403.4979248046875
139.3409423828125,-402.093505859375
140.4280548095703,-400.6707763671875
141.4350128173828,-399.31463623046875
142.365234375,-398.02783203125
144.12681579589844,-395.49542236328125
145.02032470703125,-394.1615295410156
145.84405517578125,-392.90240478515625
146.6577606201172,-391.62994384765625
147.4608612060547,-390.3441467285156
148.30819702148438,-388.9511413574219
149.14100646972656,-387.541748046875
149.9048614501953,-386.21136474609375
150.65586853027344,-384.8670349121094
151.44485473632812,-383.4111022949219
152.16464233398438,-382.0369567871094
152.91578674316406,-380.54693603515625
153.59768676757812,-379.1397399902344
154.30760192871094,-377.6147766113281
154.950439453125,-376.1758728027344
155.6164093017578,-374.6172790527344
156.21507263183594,-373.1466369628906
156.82835388183594,-371.5532531738281
157.41075134277344,-369.9412536621094
157.9253387451172,-368.42022705078125
158.4120330810547,-366.88800048828125
158.90447998046875,-365.23651123046875
159.33941650390625,-363.6872863769531
159.78192138671875,-362.0205383300781
160.17388916015625,-360.4593505859375
160.57260131835938,-358.78204345703125
160.9241180419922,-357.2102966308594
161.2783203125,-355.51654052734375
161.5885009765625,-353.9270935058594
161.90098571777344,-352.21624755859375
162.19215393066406,-350.49859619140625
162.46078491210938,-348.7740478515625
162.7050018310547,-347.0428466796875
162.9284210205078,-345.3045959472656
163.1233673095703,-343.67681884765625
163.31893920898438,-341.92828369140625
163.49903869628906,-340.1752624511719
163.650634765625,-338.53485107421875
163.79444885253906,-336.7727966308594
163.9114227294922,-335.1241455078125
164.01878356933594,-333.3541259765625
164.1060028076172,-331.5808410644531
164.16847229003906,-329.9232482910156
164.21409606933594,-328.262939453125
164.24526977539062,-326.7183532714844
164.27049255371094,-325.05206298828125
164.2884063720703,-323.3830261230469
164.29978942871094,-321.59161376953125
164.3035888671875,-319.7970886230469
164.3002166748047,-318.11962890625
164.28907775878906,-316.319580078125
164.2716827392578,-314.63739013671875
164.24803161621094,-312.9533386230469
164.2163543701172,-311.1473083496094
164.1814727783203,-309.4605407714844
164.1395721435547,-307.6517639160156
164.0972137451172,-305.96246337890625
164.0522918701172,-304.2716979980469
164.0018310546875,-302.45806884765625
163.9525146484375,-300.7635803222656
163.9007110595703,-299.0675354003906
163.84535217285156,-297.3702392578125
163.78140258789062,-295.550537109375
163.71754455566406,-293.8508605957031
163.6455535888672,-292.0282897949219
163.57516479492188,-290.3258361816406
163.50155639648438,-288.6219482421875
163.4193115234375,-286.7945251464844
163.33975219726562,-285.08697509765625
163.25759887695312,-283.3775939941406
163.17254638671875,-281.6664733886719
163.08438110351562,-279.95379638671875
162.9932861328125,-278.23956298828125
162.89971923828125,-276.5236511230469
162.79713439941406,-274.68328857421875
162.6993865966797,-272.9639587402344
162.599609375,-271.24322509765625
162.4976043701172,-269.52130126953125
162.3860626220703,-267.67474365234375
162.28041076660156,-265.9494323730469
162.1814422607422,-264.345947265625
162.06634521484375,-262.4939270019531
161.9502410888672,-260.64019775390625
161.83316040039062,-258.7847900390625
161.7232208251953,-257.05145263671875
161.6126251220703,-255.31674194335938
161.5012969970703,-253.58058166503906
161.2922821044922,-250.3520050048828
161.1785430908203,-248.61094665527344
160.9647979736328,-245.3728790283203
160.76377868652344,-242.3787841796875
160.64451599121094,-240.6298828125
160.52378845214844,-238.87911987304688
160.40171813964844,-237.12644958496094
160.2960662841797,-235.6225128173828
160.17161560058594,-233.86610412597656
160.0458984375,-232.10794067382812
159.9187469482422,-230.3480224609375
159.8084259033203,-228.8383026123047
159.67791748046875,-227.07569885253906
159.564208984375,-225.56390380859375
159.4291534423828,-223.7989959716797
159.29135131835938,-222.03286743164062
159.17115783691406,-220.5178680419922
159.02882385253906,-218.74891662597656
158.88442993164062,-216.9783172607422
158.73812866210938,-215.20616149902344
158.61131286621094,-213.68759155273438
158.48336791992188,-212.17294311523438
158.3330841064453,-210.41567993164062
158.05276489257812,-207.19775390625
157.89083862304688,-205.3734588623047
157.73956298828125,-203.69204711914062
157.5882110595703,-202.03060913085938
157.4259796142578,-200.27320861816406
157.27438354492188,-198.65599060058594
157.11131286621094,-196.9484100341797
156.9578094482422,-195.3775634765625
156.7908477783203,-193.71827697753906
156.62022399902344,-192.08255004882812
