x,z
-1061.42724609375,-1868.602294921875
-1061.4296875,-1868.6058349609375
-1061.46923828125,-1868.6641845703125
-1061.574951171875,-1868.820068359375
-1061.8544921875,-1869.2325439453125
-1062.5469970703125,-1870.2550048828125
-1063.9454345703125,-1872.3206787109375
-1066.7265625,-1876.430419921875
-1072.43701171875,-1884.873291015625
-1073.587158203125,-1886.5814208984375
-1074.59326171875,-1888.07763671875
-1075.601806640625,-1889.579345703125
-1076.45703125,-1890.85400390625
-1077.4697265625,-1892.3653564453125
-1078.484619140625,-1893.882080078125
-1079.5018310546875,-1895.404052734375
-1080.5211181640625,-1896.9310302734375
-1081.5426025390625,-1898.4630126953125
-1082.566162109375,-1899.9998779296875
-1083.5921630859375,-1901.541748046875
-1084.54150390625,-1902.969482421875
-1085.572021484375,-1904.5208740234375
-1086.6051025390625,-1906.0771484375
-1087.6407470703125,-1907.63818359375
-1088.6788330078125,-1909.2041015625
-1089.719482421875,-1910.7747802734375
-1090.7620849609375,-1912.3497314453125
-1091.806884765625,-1913.9288330078125
-1092.85400390625,-1915.5125732421875
-1093.9036865234375,-1917.1011962890625
-1094.8748779296875,-1918.5718994140625
-1095.92919921875,-1920.16943359375
-1096.9857177734375,-1921.7711181640625
-1097.9630126953125,-1923.2532958984375
-1099.1055908203125,-1924.98681640625
-1100.0869140625,-1926.4766845703125
-1101.234375,-1928.2197265625
-1102.3023681640625,-1929.8427734375
-1103.37255859375,-1931.47021484375
-1104.445068359375,-1933.1019287109375
-1105.436767578125,-1934.61181640625
-1106.2645263671875,-1935.872802734375
-1107.093505859375,-1937.1361083984375
-1108.173095703125,-1938.7823486328125
-1109.171630859375,-1940.3055419921875
-1110.0048828125,-1941.5775146484375
-1110.8392333984375,-1942.85205078125
-1111.925537109375,-1944.51220703125
-1112.9300537109375,-1946.04833984375
-1113.7685546875,-1947.3309326171875
-1114.8603515625,-1949.0018310546875
-1115.8702392578125,-1950.547607421875
-1116.7132568359375,-1951.8382568359375
-1117.5576171875,-1953.1312255859375
-1118.4031982421875,-1954.42626953125
-1119.419677734375,-1955.983154296875
-1120.268310546875,-1957.28271484375
-1121.1182861328125,-1958.584228515625
-1122.1402587890625,-1960.1488037109375
-1122.99365234375,-1961.4549560546875
-1123.8485107421875,-1962.7633056640625
-1124.8760986328125,-1964.3360595703125
-1125.7335205078125,-1965.648681640625
-1126.5899658203125,-1966.959716796875
-1127.6158447265625,-1968.5303955078125
-1128.4693603515625,-1969.8372802734375
-1129.5771484375,-1971.5335693359375
-1130.59814453125,-1973.0970458984375
-1131.4478759765625,-1974.398193359375
-1132.2960205078125,-1975.697509765625
-1133.142578125,-1976.994873046875
-1134.2415771484375,-1978.6795654296875
-1135.3419189453125,-1980.3668212890625
-1136.3592529296875,-1981.9276123046875
-1137.207763671875,-1983.22998046875
-1138.2264404296875,-1984.794189453125
-1139.24560546875,-1986.3604736328125
-1140.3509521484375,-1988.06005859375
-1141.3721923828125,-1989.631103515625
-1142.3944091796875,-1991.2044677734375
-1143.2469482421875,-1992.517822265625
-1144.2706298828125,-1994.096435546875
-1145.1239013671875,-1995.413818359375
-1146.2335205078125,-1997.1292724609375
-1147.2586669921875,-1998.715576171875
-1148.1136474609375,-2000.0399169921875
-1149.140625,-2001.6324462890625
-1150.1685791015625,-2003.2283935546875
-1151.282958984375,-2004.960693359375
-1152.3118896484375,-2006.5628662109375
-1153.1697998046875,-2007.900390625
-1154.2001953125,-2009.508544921875
-1155.059814453125,-2010.8515625
-1156.09228515625,-2012.466552734375
-1157.1258544921875,-2014.0845947265625
-1157.98779296875,-2015.4351806640625
-1159.1094970703125,-2017.1939697265625
-1160.146240234375,-2018.8204345703125
-1161.2706298828125,-2020.5855712890625
-1162.3096923828125,-2022.2176513671875
-1163.17626953125,-2023.579833984375
-1164.217529296875,-2025.21728515625
-1165.0863037109375,-2026.584228515625
-1166.130126953125,-2028.2274169921875
-1167.0010986328125,-2029.598876953125
-1167.872802734375,-2030.97216796875
