x,z
1732.231201171875,-1500.1728515625
1732.226318359375,-1500.1763916015625
1732.1549072265625,-1500.2288818359375
1731.9658203125,-1500.36767578125
1731.4908447265625,-1500.716796875
1730.3746337890625,-1501.5372314453125
1727.7061767578125,-1503.4993896484375
1722.646728515625,-1507.2213134765625
1715.796875,-1512.262451171875
1714.32763671875,-1513.34716796875
1712.961181640625,-1514.3560791015625
1711.5927734375,-1515.366455078125
1710.11669921875,-1516.4561767578125
1708.743896484375,-1517.4696044921875
1707.3690185546875,-1518.4844970703125
1705.885986328125,-1519.578857421875
1704.506591796875,-1520.596435546875
1703.125,-1521.6153564453125
1701.634765625,-1522.714111328125
1700.2486572265625,-1523.7357177734375
1698.8604736328125,-1524.7586669921875
1697.363037109375,-1525.86181640625
1695.9705810546875,-1526.8875732421875
1694.575927734375,-1527.914794921875
1693.0716552734375,-1529.0224609375
1691.672607421875,-1530.0523681640625
1690.2716064453125,-1531.0836181640625
1688.7603759765625,-1532.1956787109375
1687.3551025390625,-1533.229736328125
1685.94775390625,-1534.2650146484375
1684.4298095703125,-1535.3814697265625
1683.0181884765625,-1536.41943359375
1681.6043701171875,-1537.458740234375
1680.0794677734375,-1538.5792236328125
1678.6611328125,-1539.6209716796875
1677.2408447265625,-1540.663818359375
1675.708740234375,-1541.7880859375
1674.283935546875,-1542.833251953125
1672.85693359375,-1543.8795166015625
1671.3177490234375,-1545.00732421875
1669.8863525390625,-1546.0555419921875
1668.4527587890625,-1547.10498046875
1666.9066162109375,-1548.2362060546875
1665.46875,-1549.287841796875
1664.0289306640625,-1550.340576171875
1662.47607421875,-1551.4757080078125
1661.031982421875,-1552.5308837890625
1659.5860595703125,-1553.587158203125
1658.026611328125,-1554.72607421875
1656.5765380859375,-1555.784912109375
1655.1243896484375,-1556.844970703125
1653.558349609375,-1557.98779296875
1652.10205078125,-1559.050048828125
1650.6436767578125,-1560.113525390625
1649.4080810546875,-1561.0142822265625
1647.946044921875,-1562.0797119140625
1646.48193359375,-1563.146240234375
1645.015869140625,-1564.2138671875
1643.434814453125,-1565.3648681640625
1641.964599609375,-1566.4349365234375
1640.4923095703125,-1567.5059814453125
1638.90478515625,-1568.660888671875
1637.428466796875,-1569.734619140625
1635.950439453125,-1570.8095703125
1634.3564453125,-1571.9686279296875
1632.874267578125,-1573.046142578125
1631.39013671875,-1574.1248779296875
1629.789794921875,-1575.2879638671875
1628.3017578125,-1576.3692626953125
1626.8118896484375,-1577.4517822265625
1625.2054443359375,-1578.6190185546875
1623.711669921875,-1579.7041015625
1622.216064453125,-1580.7904052734375
1620.6033935546875,-1581.961669921875
1619.10400390625,-1583.050537109375
1617.602783203125,-1584.140625
1615.9840087890625,-1585.31591796875
1614.4788818359375,-1586.4085693359375
1612.9718017578125,-1587.502197265625
1611.346435546875,-1588.680908203125
1609.8350830078125,-1589.7764892578125
1608.32177734375,-1590.873046875
1606.68994140625,-1592.0552978515625
1605.1727294921875,-1593.154296875
1603.6536865234375,-1594.2545166015625
1602.0157470703125,-1595.4407958984375
1600.4927978515625,-1596.5433349609375
1598.968017578125,-1597.646728515625
1597.3262939453125,-1598.8343505859375
1595.802734375,-1599.936279296875
1594.2799072265625,-1601.0372314453125
1592.640869140625,-1602.2220458984375
1591.11962890625,-1603.3214111328125
1589.5992431640625,-1604.4200439453125
1587.9620361328125,-1605.6025390625
1586.4384765625,-1606.702392578125
1584.9122314453125,-1607.803466796875
1583.2666015625,-1608.9901123046875
1581.736572265625,-1610.09326171875
1580.20458984375,-1611.1976318359375
1578.5528564453125,-1612.3880615234375
1577.01708984375,-1613.4945068359375
1575.4793701171875,-1614.6021728515625
1573.8214111328125,-1615.796142578125
1572.2799072265625,-1616.9058837890625
1570.736572265625,-1618.0167236328125
1569.0723876953125,-1619.2142333984375
1567.5252685546875,-1620.3275146484375
1565.9764404296875,-1621.4417724609375
1564.306396484375,-1622.642822265625
1562.753662109375,-1623.7593994140625
1561.198974609375,-1624.8770751953125
1559.52294921875,-1626.0821533203125
1557.9647216796875,-1627.2022705078125
1556.4046630859375,-1628.323486328125
1554.722412109375,-1629.5321044921875
1553.1583251953125,-1630.6553955078125
1551.5926513671875,-1631.7799072265625
1549.904296875,-1632.9921875
1548.334716796875,-1634.118896484375
1546.7633056640625,-1635.2467041015625
1545.069091796875,-1636.46240234375
1543.493896484375,-1637.59228515625
1541.9168701171875,-1638.7232666015625
1540.216552734375,-1639.9422607421875
1538.6357421875,-1641.0753173828125
1537.0531005859375,-1642.2093505859375
1535.7125244140625,-1643.169677734375
1534.4925537109375,-1644.0433349609375
1532.9051513671875,-1645.179931640625
1531.682861328125,-1646.0550537109375
1530.45947265625,-1646.9306640625
1529.2349853515625,-1647.8070068359375
1528.009521484375,-1648.6839599609375
1526.782958984375,-1649.5615234375
1525.5552978515625,-1650.439697265625
1524.32666015625,-1651.3184814453125
1523.0970458984375,-1652.197998046875
1521.8663330078125,-1653.0780029296875
1520.6346435546875,-1653.958740234375
1519.4019775390625,-1654.8399658203125
1518.168212890625,-1655.721923828125
1516.9334716796875,-1656.6043701171875
1515.69775390625,-1657.4874267578125
1514.4610595703125,-1658.37109375
1513.2232666015625,-1659.25537109375
1511.984375,-1660.1402587890625
1510.7445068359375,-1661.025634765625
1509.5035400390625,-1661.9117431640625
1508.26171875,-1662.798583984375
1507.01904296875,-1663.68603515625
1505.7752685546875,-1664.573974609375
1504.5303955078125,-1665.4625244140625
1503.28466796875,-1666.351806640625
1502.0379638671875,-1667.241943359375
1500.7904052734375,-1668.1326904296875
1499.5419921875,-1669.0242919921875
1498.2926025390625,-1669.9163818359375
1497.042236328125,-1670.8092041015625
1495.7911376953125,-1671.7027587890625
1494.5389404296875,-1672.596923828125
1493.2860107421875,-1673.4918212890625
1492.0322265625,-1674.387451171875
1490.7774658203125,-1675.28369140625
1489.5218505859375,-1676.1807861328125
1488.2652587890625,-1677.078369140625
1487.0076904296875,-1677.976806640625
1485.749267578125,-1678.8758544921875
1484.4898681640625,-1679.775634765625
1483.2294921875,-1680.676025390625
1481.96826171875,-1681.5772705078125
1480.7061767578125,-1682.4791259765625
1479.4432373046875,-1683.3818359375
1478.179443359375,-1684.285400390625
1476.9149169921875,-1685.189697265625
1475.649658203125,-1686.0947265625
1474.3834228515625,-1687.0006103515625
1473.116455078125,-1687.9071044921875
1471.848388671875,-1688.814208984375
1470.57958984375,-1689.7220458984375
1469.309814453125,-1690.6307373046875
1468.039306640625,-1691.5400390625
1466.7679443359375,-1692.4500732421875
1465.49560546875,-1693.36083984375
1464.222412109375,-1694.2723388671875
1462.948486328125,-1695.1845703125
1461.6737060546875,-1696.097412109375
1460.39794921875,-1697.0111083984375
1459.12158203125,-1697.925537109375
1457.8443603515625,-1698.8408203125
1456.5665283203125,-1699.7568359375
1455.287841796875,-1700.673828125
1454.00830078125,-1701.591552734375
1452.72802734375,-1702.5101318359375
1451.4471435546875,-1703.4296875
1450.1656494140625,-1704.35009765625
1448.883544921875,-1705.2716064453125
1447.6009521484375,-1706.1939697265625
1446.3177490234375,-1707.117431640625
1445.033935546875,-1708.0419921875
1443.74951171875,-1708.9674072265625
1442.464599609375,-1709.8939208984375
1441.178955078125,-1710.8214111328125
1439.8929443359375,-1711.75
1438.6064453125,-1712.6798095703125
1437.3194580078125,-1713.6107177734375
1436.0321044921875,-1714.542724609375
1434.7442626953125,-1715.4759521484375
1433.455810546875,-1716.41015625
1432.1668701171875,-1717.345458984375
1430.87744140625,-1718.2818603515625
1429.587646484375,-1719.219482421875
1428.2974853515625,-1720.1583251953125
1427.0068359375,-1721.09814453125
1425.7156982421875,-1722.0389404296875
1424.4239501953125,-1722.9808349609375
1423.1317138671875,-1723.9237060546875
1421.8388671875,-1724.8675537109375
1420.5455322265625,-1725.8123779296875
1419.2515869140625,-1726.7579345703125
1417.9571533203125,-1727.7044677734375
1416.661865234375,-1728.6517333984375
1415.3660888671875,-1729.599853515625
1414.0697021484375,-1730.5487060546875
1412.772705078125,-1731.4984130859375
1411.47509765625,-1732.4490966796875
1410.177001953125,-1733.4005126953125
1408.8785400390625,-1734.35302734375
1407.5794677734375,-1735.3062744140625
1406.27978515625,-1736.2603759765625
1404.9794921875,-1737.21533203125
1403.6785888671875,-1738.171142578125
1402.377197265625,-1739.1279296875
1401.0751953125,-1740.08544921875
1399.772705078125,-1741.0440673828125
1398.4697265625,-1742.0035400390625
1397.1661376953125,-1742.9637451171875
1395.8619384765625,-1743.9246826171875
1394.55712890625,-1744.8863525390625
1393.251708984375,-1745.848876953125
1391.9456787109375,-1746.8121337890625
1390.6392822265625,-1747.776123046875
1389.3321533203125,-1748.7408447265625
1388.0245361328125,-1749.7064208984375
1386.7161865234375,-1750.6728515625
1385.4073486328125,-1751.6400146484375
1384.0980224609375,-1752.6080322265625
1382.7880859375,-1753.57666015625
1381.4776611328125,-1754.5460205078125
1380.16650390625,-1755.5159912109375
1378.854736328125,-1756.486328125
1377.542236328125,-1757.457275390625
1376.22900390625,-1758.4287109375
1374.9151611328125,-1759.400634765625
1373.6007080078125,-1760.3731689453125
1372.2855224609375,-1761.346435546875
1370.9698486328125,-1762.3204345703125
1369.653564453125,-1763.29541015625
1368.3369140625,-1764.27099609375
1367.01953125,-1765.247314453125
1365.7015380859375,-1766.22412109375
1364.382568359375,-1767.201171875
1363.062744140625,-1768.1785888671875
1361.7420654296875,-1769.1561279296875
1360.4202880859375,-1770.1339111328125
1359.0975341796875,-1771.11181640625
1357.77392578125,-1772.0899658203125
1356.4493408203125,-1773.068115234375
1355.123779296875,-1774.04638671875
1353.797119140625,-1775.0245361328125
1352.4693603515625,-1776.002685546875
1351.1405029296875,-1776.9805908203125
1349.810546875,-1777.95849609375
1348.4794921875,-1778.9364013671875
1347.147705078125,-1779.9144287109375
1345.8150634765625,-1780.8927001953125
1344.4815673828125,-1781.8712158203125
1343.147216796875,-1782.8499755859375
1341.812255859375,-1783.828857421875
1340.4761962890625,-1784.8079833984375
1339.1395263671875,-1785.787353515625
1337.802001953125,-1786.7669677734375
1336.4637451171875,-1787.7469482421875
1335.124755859375,-1788.7271728515625
1333.784912109375,-1789.70751953125
1332.444580078125,-1790.6876220703125
1331.1038818359375,-1791.667236328125
1329.7633056640625,-1792.64599609375
1328.4248046875,-1793.622802734375
1327.089111328125,-1794.5972900390625
1325.7589111328125,-1795.5677490234375
1324.434814453125,-1796.5330810546875
1323.1190185546875,-1797.4915771484375
1321.8118896484375,-1798.4423828125
1320.5137939453125,-1799.3856201171875
1319.2247314453125,-1800.3211669921875
1317.945068359375,-1801.2486572265625
1316.675048828125,-1802.1680908203125
1315.4141845703125,-1803.0797119140625
1314.161865234375,-1803.9840087890625
1312.9176025390625,-1804.8812255859375
1311.6812744140625,-1805.7713623046875
1310.4525146484375,-1806.65478515625
1309.2313232421875,-1807.53076171875
1307.654541015625,-1808.658447265625
1306.0897216796875,-1809.7735595703125
1304.41796875,-1810.9599609375
1302.8780517578125,-1812.047607421875
1301.3514404296875,-1813.1219482421875
1299.722412109375,-1814.2637939453125
1298.223388671875,-1815.3096923828125
1296.7373046875,-1816.3404541015625
1295.150146484375,-1817.4346923828125
1293.68798828125,-1818.4366455078125
1292.236572265625,-1819.4251708984375
1290.685791015625,-1820.4735107421875
1289.257080078125,-1821.4305419921875
1287.83837890625,-1822.3719482421875
1286.3212890625,-1823.3690185546875
1284.9222412109375,-1824.279296875
1283.5322265625,-1825.1756591796875
1282.0467529296875,-1826.1251220703125
1280.67724609375,-1826.9937744140625
1279.318115234375,-1827.8514404296875
1277.86474609375,-1828.7591552734375
1276.525390625,-1829.5877685546875
1275.1943359375,-1830.4012451171875
1273.7734375,-1831.2603759765625
1272.46484375,-1832.0430908203125
1271.16650390625,-1832.8116455078125
1269.7781982421875,-1833.6231689453125
1268.207275390625,-1834.5269775390625
1266.8447265625,-1835.29833984375
1265.3011474609375,-1836.1585693359375
1263.96142578125,-1836.89501953125
1262.442626953125,-1837.7169189453125
1260.8453369140625,-1838.5638427734375
1259.2642822265625,-1839.38232421875
1257.790283203125,-1840.1273193359375
1256.239013671875,-1840.89404296875
1254.7030029296875,-1841.635498046875
1253.2711181640625,-1842.3092041015625
1251.76318359375,-1842.9979248046875
1250.2681884765625,-1843.6588134765625
1248.871826171875,-1844.2552490234375
1247.3984375,-1844.8631591796875
1245.9345703125,-1845.444580078125
1244.2242431640625,-1846.0955810546875
1242.527099609375,-1846.71044921875
1240.842529296875,-1847.288330078125
1239.16796875,-1847.82861328125
1237.49658203125,-1848.330078125
1235.8240966796875,-1848.7921142578125
1234.149169921875,-1849.214599609375
1232.472412109375,-1849.597412109375
1230.7947998046875,-1849.9395751953125
1229.1175537109375,-1850.240478515625
1227.441650390625,-1850.4998779296875
1225.767822265625,-1850.718505859375
1224.0970458984375,-1850.8978271484375
1222.4278564453125,-1851.0386962890625
1220.7562255859375,-1851.14306640625
1219.0814208984375,-1851.2109375
1217.4071044921875,-1851.241455078125
1215.7386474609375,-1851.234619140625
1214.0782470703125,-1851.1895751953125
1212.4278564453125,-1851.104248046875
1210.787841796875,-1850.9788818359375
1209.158447265625,-1850.8150634765625
1207.5399169921875,-1850.61376953125
1205.9296875,-1850.3758544921875
1204.3233642578125,-1850.09814453125
1202.7177734375,-1849.782958984375
1201.113037109375,-1849.433837890625
1199.5108642578125,-1849.0504150390625
1197.912353515625,-1848.627685546875
1196.318115234375,-1848.1627197265625
1194.731689453125,-1847.657470703125
1193.15478515625,-1847.1136474609375
1191.58740234375,-1846.531494140625
1190.0286865234375,-1845.9114990234375
1188.4776611328125,-1845.2552490234375
1186.93505859375,-1844.56298828125
1185.403564453125,-1843.8319091796875
1183.8856201171875,-1843.0584716796875
1182.3839111328125,-1842.2406005859375
1180.8997802734375,-1841.3782958984375
1179.43408203125,-1840.473876953125
1177.98779296875,-1839.529052734375
1176.5625,-1838.5421142578125
1175.1580810546875,-1837.513427734375
1173.771240234375,-1836.4495849609375
1172.3963623046875,-1835.3575439453125
1171.0244140625,-1834.2471923828125
1169.64697265625,-1833.128662109375
1168.25634765625,-1832.01416015625
1166.847412109375,-1830.9122314453125
1165.4169921875,-1829.8289794921875
1163.9630126953125,-1828.7684326171875
1162.485595703125,-1827.7314453125
1160.9871826171875,-1826.7166748046875
1159.46875,-1825.7235107421875
1157.9290771484375,-1824.752685546875
1156.367431640625,-1823.806396484375
1154.78271484375,-1822.88671875
1153.174560546875,-1821.995361328125
1151.5423583984375,-1821.1348876953125
1149.885986328125,-1820.3079833984375
1148.2061767578125,-1819.5145263671875
1146.504638671875,-1818.7523193359375
1144.7841796875,-1818.0177001953125
1143.39453125,-1817.44970703125
1141.9049072265625,-1816.866455078125
1140.4012451171875,-1816.3065185546875
1138.9727783203125,-1815.80224609375
1137.441162109375,-1815.2918701171875
1135.8958740234375,-1814.806884765625
1134.4293212890625,-1814.3734130859375
1132.8597412109375,-1813.935302734375
1131.2791748046875,-1813.5205078125
1129.7813720703125,-1813.1512451171875
1128.1781005859375,-1812.78173828125
1126.56396484375,-1812.432373046875
1125.0350341796875,-1812.1224365234375
1123.401611328125,-1811.811767578125
1121.7601318359375,-1811.51953125
1120.2076416015625,-1811.26025390625
1118.5489501953125,-1811.003662109375
1116.882080078125,-1810.7647705078125
1115.3038330078125,-1810.55810546875
1113.619384765625,-1810.358642578125
1111.9266357421875,-1810.181396484375
