x,z
266.7511,-565.5504
261.8406,-566.3063
256.9778,-567.1942
252.1018,-568.1741
247.1866,-569.1531
242.2919,-570.0921
237.3569,-571.0359
232.4533,-571.9772
227.5511,-572.9208
222.6425,-573.8668
217.7314,-574.8132
212.8195,-575.7591
207.9072,-576.7040
202.9948,-577.6481
198.0980,-578.5885
193.1860,-579.5332
188.2732,-580.4807
183.3591,-581.4297
178.4435,-582.3806
173.5393,-583.3307
168.6363,-584.2825
163.7301,-585.2387
158.8216,-586.1989
153.9112,-587.1614
149.0014,-588.1224
144.0987,-589.0828
139.2210,-590.0393
134.3045,-591.0034
129.3806,-591.9685
124.4825,-592.9279
119.5749,-593.8892
114.6610,-594.8518
109.7533,-595.8135
104.8418,-596.7764
99.9299,-597.7399
95.0304,-598.7011
90.1167,-599.6655
85.1964,-600.6319
80.2879,-601.5967
75.4061,-602.5562
70.5043,-603.5197
65.5917,-604.4860
60.6841,-605.4520
55.7793,-606.4177
50.8763,-607.3828
45.9736,-608.3461
41.0708,-609.3085
36.1672,-610.2695
31.2623,-611.2281
26.3537,-612.1838
21.4449,-613.1357
16.5372,-614.0882
11.6313,-615.0469
6.7255,-616.0106
1.8192,-616.9759
-3.0880,-617.9389
-7.9972,-618.8949
-12.9088,-619.8394
-17.8304,-620.7690
-22.7602,-621.6783
-27.6725,-622.5621
-32.5763,-623.4788
-37.4785,-624.4248
-42.3860,-625.3732
-47.3318,-626.2970
-52.3111,-627.1464
-57.3222,-627.8232
-62.4521,-628.2306
-67.5970,-628.2980
-72.7683,-628.0369
-77.9117,-626.9808
-82.6979,-624.6215
-87.1174,-621.8662
-91.3406,-619.3484
-95.4532,-617.0488
-99.3618,-614.6450
-102.9650,-611.9007
-106.3266,-608.7930
-109.5996,-605.4754
-113.0615,-602.1750
-116.7484,-598.8482
-120.0091,-594.9917
-122.7151,-590.6893
-125.0081,-586.1753
-127.2397,-581.6059
-129.1592,-576.8785
-130.7511,-572.0545
-132.1041,-567.1946
-133.3578,-562.3012
-134.4400,-557.3655
-135.3344,-552.4194
-136.1674,-547.4740
-136.9922,-542.5692
-137.7823,-537.5764
-138.5312,-532.6483
-139.2759,-527.7015
-140.0132,-522.7506
-140.7374,-517.8007
-141.4458,-512.8543
-142.1503,-507.9154
-142.8740,-502.9798
-143.6215,-498.0440
-144.3891,-493.1100
-145.1688,-488.1774
-145.9607,-483.2467
-146.7660,-478.3182
-147.5850,-473.3919
-148.4148,-468.4674
-149.2522,-463.5443
-150.0978,-458.6238
