x,z
368.5429,286.7724
363.7395,288.1314
358.9322,289.4979
354.1230,290.8697
349.3138,292.2453
344.5076,293.6219
339.7002,294.9996
334.8915,296.3767
330.0830,297.7516
325.2776,299.1240
320.4707,300.4985
315.6635,301.8734
310.8557,303.2480
306.0470,304.6216
301.2375,305.9931
296.4271,307.3612
291.6148,308.7252
286.7998,310.0837
281.9833,311.4343
277.1656,312.7784
272.3480,314.1184
267.5306,315.4567
262.7144,316.7960
257.8994,318.1389
253.0873,319.4876
248.2785,320.8438
243.4675,322.2033
238.6558,323.5637
233.8452,324.9262
229.0366,326.2921
224.2303,327.6641
219.4262,329.0434
214.6257,330.4321
209.8297,331.8320
205.0392,333.2431
200.2490,334.6644
195.4609,336.0951
190.6757,337.5339
185.8933,338.9809
181.1134,340.4358
176.3349,341.8981
171.5587,343.3672
166.7837,344.8434
162.0144,346.3276
157.2476,347.8208
152.4823,349.3221
147.7199,350.8308
142.9593,352.3461
138.1996,353.8671
133.4433,355.3927
128.6891,356.9231
123.9407,358.4662
119.1949,360.0218
114.4500,361.5852
109.7047,363.1514
104.9564,364.7150
100.2039,366.2710
95.4459,367.8156
90.6880,369.3416
85.9262,370.8562
81.1595,372.3646
76.3901,373.8659
71.6199,375.3590
66.8518,376.8427
62.0694,378.3207
57.2821,379.7877
52.4987,381.2385
47.7081,382.6659
42.8975,384.0611
38.0953,385.4248
33.2970,386.7737
28.5099,388.1273
23.7419,389.5061
18.9870,390.9323
14.2436,392.4100
9.4971,393.9176
4.7357,395.4352
-0.0351,396.9358
-4.8386,398.3928
-9.6458,399.7631
-14.4357,401.1720
-19.3660,402.5167
-24.4997,403.4752
-29.7246,403.8527
-34.9106,403.8122
-40.0861,403.3427
-45.2141,402.4367
-50.2528,401.0356
-55.0393,399.1305
-59.3608,396.3558
-63.2118,393.4397
-67.2593,391.8022
-71.8251,390.9295
-76.7068,389.8596
-81.6760,388.3635
-86.5214,386.3217
-91.0259,383.5996
-95.0726,380.3380
-98.7714,376.8143
-102.3777,373.2005
-105.7726,369.3494
-108.8829,365.3188
-111.7586,361.1877
-114.5227,357.0098
-117.2459,352.7619
-119.8545,348.4989
-122.5197,344.2915
-125.2709,340.1713
-128.0893,336.0940
-130.9740,331.9972
-133.8997,327.9233
-136.8520,323.8982
-139.8103,319.8654
-142.7273,315.7991
-145.5748,311.6846
-148.3688,307.5405
