x,z
-305.1420593261719,-224.59552001953125
-305.14715576171875,-224.58729553222656
-305.2167053222656,-224.4744110107422
-305.37579345703125,-224.21556091308594
-305.7896728515625,-223.5407257080078
-306.7583312988281,-221.9578399658203
-308.6004333496094,-218.94149780273438
-312.52606201171875,-212.4998779296875
-315.9156799316406,-206.91513061523438
-316.81103515625,-205.4066925048828
-317.7043762207031,-203.8940887451172
-318.5210876464844,-202.50389099121094
-319.4093017578125,-200.9832000732422
-320.2942810058594,-199.4581756591797
-321.17596435546875,-197.92880249023438
-321.9814147949219,-196.5229034423828
-322.8570251464844,-194.98484802246094
-323.7294921875,-193.44248962402344
-324.5265197753906,-192.02496337890625
-325.39312744140625,-190.47463989257812
-326.18524169921875,-189.05010986328125
-327.0472717285156,-187.4924774169922
-327.8358459472656,-186.06134033203125
-328.6944580078125,-184.49655151367188
-329.5512390136719,-182.9281768798828
-330.4059753417969,-181.3562469482422
-331.2585144042969,-179.78074645996094
-332.1088562011719,-178.20167541503906
-332.8863220214844,-176.7510223388672
-334.3652038574219,-173.9732666015625
-335.1374206542969,-172.51377868652344
-335.8379821777344,-171.18441772460938
-336.67669677734375,-169.5858612060547
-337.4439697265625,-168.1172332763672
-338.2795715332031,-166.51171875
-339.04425048828125,-165.037109375
-339.807373046875,-163.5596923828125
-340.4994812011719,-162.21409606933594
-341.25872802734375,-160.73101806640625
-342.0157775878906,-159.24481201171875
-342.8391418457031,-157.62001037597656
-343.59149169921875,-156.12741088867188
-344.3415222167969,-154.63172912597656
-345.15716552734375,-152.99647521972656
-345.9026184082031,-151.49432373046875
-346.71337890625,-149.8522491455078
-347.4544372558594,-148.34390258789062
-348.2606201171875,-146.6951141357422
-348.9975891113281,-145.1807098388672
-349.732666015625,-143.6632843017578
-350.532470703125,-142.00437927246094
-351.2636413574219,-140.4805450439453
-351.9928283691406,-138.9534912109375
-352.65386962890625,-137.5625
-353.3788146972656,-136.02935791015625
-354.1009216308594,-134.49288940429688
-354.7549133300781,-133.09303283691406
-355.4714050292969,-131.54971313476562
-356.24957275390625,-129.862060546875
-356.95989990234375,-128.31126403808594
-357.66717529296875,-126.7569808959961
-358.30755615234375,-125.34097290039062
-359.0088806152344,-123.77973937988281
-359.6437683105469,-122.35724639892578
-360.33917236328125,-120.78901672363281
-361.03131103515625,-119.21717071533203
-361.6575012207031,-117.78504180908203
-362.28057861328125,-116.3496322631836
-363.0239562988281,-114.62286376953125
-363.701171875,-113.03579711914062
-364.4355773925781,-111.29995727539062
-365.104736328125,-109.70479583740234
-365.7098083496094,-108.25133514404297
-366.4317932128906,-106.50299835205078
-367.08990478515625,-104.89635467529297
-367.8039245605469,-103.13948059082031
-368.5143737792969,-101.37824249267578
-369.1625061035156,-99.76020812988281
-369.7492370605469,-98.28614044189453
-370.3337097167969,-96.8091812133789
-371.032470703125,-95.03315734863281
-371.7283935546875,-93.2531967163086
-372.3636779785156,-91.61814880371094
-372.9388122558594,-90.1287612915039
-373.56866455078125,-88.48704528808594
-374.1387023925781,-86.99146270751953
-374.7060546875,-85.49298858642578
-375.27105712890625,-83.99150848388672
-375.8337097167969,-82.48714447021484
-376.3944091796875,-80.9801025390625
-376.95306396484375,-79.47049713134766
-377.5646667480469,-77.80696868896484
-378.1174011230469,-76.2913589477539
-378.6667785644531,-74.77238464355469
-379.32135009765625,-72.94524383544922
-379.970947265625,-71.11339569091797
-380.61578369140625,-69.27703857421875
-381.14947509765625,-67.74340057373047
-381.7316589355469,-66.05278778076172
-382.2557678222656,-64.5121078491211
-382.8770751953125,-62.65822982788086
-383.48931884765625,-60.798702239990234
-384.092529296875,-58.93335723876953
-384.63800048828125,-57.218482971191406
-385.1278076171875,-55.65547180175781
-385.612060546875,-54.08869934082031
-386.0908203125,-52.51829147338867
-386.65789794921875,-50.629066467285156
-387.21697998046875,-48.73456954956055
-387.67718505859375,-47.151824951171875
-388.2230529785156,-45.24797058105469
-388.6729736328125,-43.65773010253906
-389.20703125,-41.74510192871094
-389.7346496582031,-39.827850341796875
-390.2557678222656,-37.90595245361328
-390.7278137207031,-36.140132904052734
-391.1524963378906,-34.53152084350586
-391.5728454589844,-32.919921875
-391.9884948730469,-31.305265426635742
-392.35797119140625,-29.849395751953125
-392.7625427246094,-28.228618621826172
-393.1602478027344,-26.60426139831543
-393.5503234863281,-24.976337432861328
-393.8942565917969,-23.508066177368164
-394.3045349121094,-21.709320068359375
-394.6313171386719,-20.23407745361328
-394.9844665527344,-18.59117889404297
-395.2931823730469,-17.109086990356445
-395.6268615722656,-15.458442687988281
-395.95166015625,-13.803914070129395
-396.2369384765625,-12.311906814575195
-396.5466003417969,-10.650920867919922
-396.84906005859375,-8.986651420593262
-397.1449279785156,-7.319270610809326
-397.4056396484375,-5.816143035888672
-397.6893310546875,-4.143197536468506
-397.96710205078125,-2.467348575592041
-398.2387390136719,-0.78883296251297
-398.47784423828125,0.7241506576538086
-398.7371826171875,2.4078481197357178
-398.99017333984375,4.094405651092529
-399.2124328613281,5.6145734786987305
-399.4295959472656,7.136892795562744
-399.6648254394531,8.83087158203125
-399.8936462402344,10.527427673339844
-400.0944519042969,12.056612968444824
-400.3126220703125,13.758243560791016
-400.525634765625,15.462170600891113
-400.71270751953125,16.997652053833008
-400.8949279785156,18.535051345825195
-401.091796875,20.245540618896484
-401.2825622558594,21.958351135253906
-401.44879150390625,23.501792907714844
-401.6100158691406,25.047271728515625
-401.7836608886719,26.766719818115234
-401.9350280761719,28.316131591796875
-402.0980529785156,30.039873123168945
-402.2557678222656,31.765850067138672
-402.39337158203125,33.32070541381836
-402.5411682128906,35.048309326171875
-402.68353271484375,36.77349853515625
-402.8202819824219,38.49357986450195
-402.95166015625,40.206825256347656
-403.0777587890625,41.91165542602539
-403.19866943359375,43.60757064819336
-403.314697265625,45.294044494628906
-403.4260559082031,46.97138214111328
-403.5333251953125,48.63943099975586
-403.6366271972656,50.29786682128906
-403.7361145019531,51.94718551635742
-403.8509216308594,53.91508865356445
-403.94287109375,55.545738220214844
-404.0484619140625,57.49091339111328
-404.1322326660156,59.10239028930664
-404.21209716796875,60.70488357543945
-404.2876892089844,62.29813003540039
-404.3724365234375,64.19779968261719
-404.450927734375,66.08494567871094
-404.5115661621094,67.64759826660156
-404.56732177734375,69.20101928710938
-404.6279296875,71.05261993408203
-404.68133544921875,72.89083099365234
-404.7283630371094,74.71562194824219
-404.7692565917969,76.52780151367188
-404.7993469238281,78.02864837646484
-404.83087158203125,79.8183364868164
-404.8575744628906,81.59552001953125
-404.87933349609375,83.3603744506836
-404.8968811035156,85.25890350341797
-404.90765380859375,86.99821472167969
-404.9127197265625,88.72473907470703
-404.91192626953125,90.43829345703125
-404.9047546386719,92.28133392333984
-404.8926086425781,93.96951293945312
-404.8751220703125,95.64408874511719
-404.85247802734375,97.30393981933594
-404.822265625,99.08710479736328
-404.790283203125,100.7200927734375
-404.7541809082031,102.34056854248047
-404.71044921875,104.08209228515625
-404.666015625,105.67709350585938
-404.61785888671875,107.25917053222656
-404.5649719238281,108.82679748535156
-404.50714111328125,110.3801040649414
-404.4447021484375,111.92042541503906
-404.3777160644531,113.44800567626953
-404.3067321777344,114.96206665039062
-404.2185974121094,116.71073913574219
-404.12420654296875,118.4407958984375
-404.02362060546875,120.15225982666016
-403.9093322753906,121.96575927734375
-403.7966613769531,123.64103698730469
-403.6795959472656,125.30155944824219
-403.55792236328125,126.94563293457031
-403.4316101074219,128.57191467285156
-403.3000183105469,130.18060302734375
-403.16278076171875,131.77267456054688
-403.0090637207031,133.46127319335938
-402.8597106933594,135.02041625976562
-402.7044982910156,136.5637969970703
-402.543701171875,138.09033203125
-402.37744140625,139.600341796875
-402.2049255371094,141.09410095214844
-401.98681640625,142.885986328125
-401.7580871582031,144.65159606933594
-401.5318298339844,146.28897094726562
-401.295654296875,147.90435791015625
-401.0653381347656,149.39935302734375
-400.7935485839844,151.0704803466797
-400.52630615234375,152.6212158203125
-400.2307434082031,154.24583435058594
-399.9432373046875,155.75247192382812
-399.6284484863281,157.3287353515625
-399.303955078125,158.87921142578125
-398.9497375488281,160.49249267578125
-398.5634765625,162.16346740722656
-398.1643371582031,163.80172729492188
-397.7742004394531,165.32395935058594
-397.3502502441406,166.89968872070312
-396.9147644042969,168.44334411621094
-396.4671325683594,169.9556884765625
-395.9580383300781,171.58978271484375
-395.48309326171875,173.0342559814453
-394.9686584472656,174.51962280273438
-394.4400634765625,175.97030639648438
-393.8985595703125,177.3878936767578
-393.2884826660156,178.9095001220703
-392.63427734375,180.45913696289062
-392.0186462402344,181.83767700195312
-391.353759765625,183.24559020996094
-390.6382751464844,184.6783905029297
-389.8710021972656,186.13058471679688
-389.1169738769531,187.48056030273438
-388.30816650390625,188.84730529785156
-387.4787902832031,190.17210388183594
-386.5559997558594,191.55670166015625
-385.6829833984375,192.78565979003906
-384.7121887207031,194.06382751464844
-383.71392822265625,195.2885284423828
-382.647705078125,196.50369262695312
-381.5932922363281,197.6205596923828
-380.4703063964844,198.7241668701172
-379.2342224121094,199.84681701660156
-378.0574035644531,200.8350372314453
-376.85528564453125,201.76712036132812
-375.5320129394531,202.70477294921875
-374.2694091796875,203.51644897460938
-372.88189697265625,204.31787109375
-371.46588134765625,205.04530334472656
-370.0254211425781,205.69725036621094
-368.56439208984375,206.27194213867188
-367.0357666015625,206.7830047607422
-365.54571533203125,207.19630432128906
-364.0480651855469,207.5286102294922
-362.4957580566406,207.78550720214844
-360.9966125488281,207.95028686523438
-359.49847412109375,208.03248596191406
-357.9977111816406,208.03526306152344
-356.4394226074219,207.95709228515625
-354.927490234375,207.8036651611328
-353.4125061035156,207.57147216796875
-351.7921447753906,207.23526000976562
-350.3353271484375,206.85345458984375
-348.9028015136719,206.4005126953125
-347.4023132324219,205.84140014648438
-345.98187255859375,205.22955322265625
-344.58404541015625,204.5458984375
-343.20196533203125,203.7919921875
-341.8827209472656,202.99624633789062
-340.5374450683594,202.10153198242188
-339.2607421875,201.1712188720703
-338.0111389160156,200.1748504638672
-336.8763427734375,199.19349670410156
-335.7682189941406,198.15936279296875
-334.6055603027344,196.9886932373047
-333.4814147949219,195.7576904296875
-332.5129089355469,194.60794067382812
-331.54132080078125,193.36265563964844
-330.6382751464844,192.12179565429688
-329.73260498046875,190.79000854492188
-328.89501953125,189.47129821777344
-328.09173583984375,188.1154327392578
-327.29443359375,186.6671142578125
-326.56781005859375,185.23770141601562
-325.88568115234375,183.77023315429688
-325.3014831542969,182.3877410888672
-324.71270751953125,180.8505401611328
-324.1687316894531,179.27879333496094
-323.669189453125,177.67572021484375
-323.2342529296875,176.1097869873047
-322.87744140625,174.65133666992188
-322.5487060546875,173.10366821289062
-322.2781066894531,171.60301208496094
-322.0494079589844,170.083984375
-321.8600158691406,168.5472412109375
-321.70208740234375,166.9210662841797
-321.5877380371094,165.3469696044922
-321.508056640625,163.75465393066406
-321.46026611328125,162.07057189941406
-321.44757080078125,160.51559448242188
-321.4670104980469,158.7944793701172
-321.5174255371094,157.13055419921875
-321.5894470214844,155.60324096679688
-321.6856994628906,154.0621337890625
-321.81976318359375,152.35113525390625
-321.967529296875,150.78167724609375
-322.13079833984375,149.27880859375
-322.324462890625,147.68353271484375
-322.5395202636719,146.07342529296875
-322.7739562988281,144.44931030273438
-323.01580810546875,142.8934783935547
-323.291259765625,141.24264526367188
-323.5599365234375,139.745849609375
-323.8666076660156,138.15538024902344
-324.1810607910156,136.64378356933594
-324.5169372558594,135.1378936767578
-324.89154052734375,133.5545196533203
-325.2610168457031,132.0593719482422
-325.6427917480469,130.56837463378906
-326.03558349609375,129.06982421875
-326.46490478515625,127.47437286376953
-326.88665771484375,125.95352172851562
-327.2972412109375,124.50978088378906
-327.718017578125,123.0583267211914
-328.17230224609375,121.51226806640625
-328.6065979003906,120.04277801513672
-329.06951904296875,118.47607421875
-329.5081481933594,116.98587799072266
-329.94708251953125,115.48526000976562
-330.4110107421875,113.884765625
-330.84771728515625,112.36175537109375
-331.2822265625,110.82756042480469
-331.7146301269531,109.2822494506836
-332.14495849609375,107.72579193115234
-332.5734558105469,106.15837097167969
-333.000244140625,104.57999420166016
-333.4503173828125,102.89698028564453
-333.87359619140625,101.29635620117188
-334.29510498046875,99.68482971191406
-334.7143859863281,98.06246185302734
-335.1306457519531,96.4292221069336
-335.54327392578125,94.78488159179688
-335.90423583984375,93.32455444335938
-336.285888671875,91.75725555419922
-336.66387939453125,90.18052673339844
-337.03802490234375,88.59407043457031
-337.3845520019531,87.09766387939453
-337.7491760253906,85.4917984008789
-338.08636474609375,83.97718048095703
-338.4634094238281,82.25006866455078
-338.7914123535156,80.71720123291016
-339.158203125,78.96963500976562
-339.4982604980469,77.31471252441406
-339.8538513183594,75.54568481445312
-340.1623229980469,73.97564697265625
-340.5048828125,72.18603515625
-340.78033447265625,70.7037582397461
-341.0679626464844,69.1070327758789
-341.34735107421875,67.5013427734375
-341.5997314453125,65.99494171142578
-341.8608703613281,64.37248229980469
-342.0953674316406,62.850006103515625
-342.3204040527344,61.31996536254883
-342.5504150390625,59.672279357910156
-342.7677917480469,58.01601028442383
-342.958740234375,56.462493896484375
-343.1501770019531,54.78974151611328
-343.3281555175781,53.108619689941406
-343.4817810058594,51.532379150390625
-343.6316833496094,49.836273193359375
-343.7571105957031,48.24592590332031
-343.8753967285156,46.534515380859375
-343.97076416015625,44.93057632446289
-344.05621337890625,43.20512771606445
-344.1241149902344,41.472686767578125
-344.171875,39.84968185424805
-344.2068786621094,38.104312896728516
-344.22479248046875,36.469547271728516
-344.228759765625,34.94688415527344
-344.22027587890625,33.30171203613281
-344.1974182128906,31.53343391418457
-344.1610107421875,29.7659969329834
-344.1189880371094,28.24178695678711
-344.0582580566406,26.49643325805664
-343.9954528808594,24.99745750427246
-343.911865234375,23.285480499267578
-343.8177795410156,21.593414306640625
-343.708251953125,19.810932159423828
-343.5979309082031,18.1605224609375
-343.48028564453125,16.52976417541504
-343.3550109863281,14.917678833007812
-343.2128601074219,13.217341423034668
-343.0726013183594,11.643068313598633
-342.9258728027344,10.088631629943848
-342.7733154296875,8.554532051086426
-342.6152038574219,7.039584159851074
-342.4400329589844,5.4441399574279785
-342.2464904785156,3.7732748985290527
-342.0560302734375,2.2228167057037354
-341.85699462890625,0.6930651664733887
-341.6225280761719,-1.0036227703094482
-341.37646484375,-2.674866199493408
-341.1191101074219,-4.3195977210998535
-340.85009765625,-5.937962532043457
-340.5690612792969,-7.528450012207031
-340.27496337890625,-9.091947555541992
-339.93115234375,-10.799674034118652
-339.6070556640625,-12.309267044067383
-339.22930908203125,-13.957357406616211
-338.87274169921875,-15.416722297668457
-338.4571228027344,-17.01189422607422
-338.0205993652344,-18.579647064208984
-337.5375671386719,-20.197067260742188
-337.0534362792969,-21.712310791015625
-336.52099609375,-23.276506423950195
-335.962646484375,-24.813186645507812
-335.4054260253906,-26.25156021118164
-334.7920837402344,-27.733959197998047
-334.18096923828125,-29.11872673034668
-333.5108947753906,-30.543729782104492
-332.7441101074219,-32.07012939453125
-331.9771728515625,-33.49757385253906
-331.1402893066406,-34.95793914794922
-330.3056640625,-36.32417678833008
-329.4776611328125,-37.5988883972168
-328.536376953125,-38.96039962768555
-327.6455993652344,-40.17045211791992
-326.6375427246094,-41.45943832397461
-325.6429748535156,-42.65633010864258
-324.62017822265625,-43.81739044189453
-323.5698547363281,-44.941986083984375
-322.4915466308594,-46.0316276550293
-321.3832092285156,-47.08761215209961
-320.2416687011719,-48.11192321777344
-319.0106506347656,-49.151878356933594
-317.7968444824219,-50.1175422668457
-316.54779052734375,-51.05282211303711
-315.2647705078125,-51.9581184387207
-313.94854736328125,-52.833702087402344
-312.60003662109375,-53.67903518676758
-311.218017578125,-54.49468994140625
-309.80206298828125,-55.28179168701172
-308.41925048828125,-56.00548553466797
-307.007080078125,-56.700653076171875
-305.6355895996094,-57.337196350097656
-304.2387390136719,-57.947265625
-302.8179931640625,-58.53163528442383
-301.2275695800781,-59.14387130737305
-299.6095886230469,-59.724544525146484
-297.9631652832031,-60.274105072021484
-296.51837158203125,-60.72411346435547
-294.9748229980469,-61.17283630371094
-293.48699951171875,-61.5749397277832
-291.8184814453125,-61.990108489990234
-290.28759765625,-62.33871841430664
-288.6542663574219,-62.67768478393555
-287.08294677734375,-62.97360610961914
-285.41375732421875,-63.25628662109375
-283.82537841796875,-63.492679595947266
-282.1518249511719,-63.70856857299805
-280.5611572265625,-63.88547897338867
-279.0524597167969,-64.03125762939453
-277.3592529296875,-64.17802429199219
-275.82098388671875,-64.29346466064453
-274.270751953125,-64.39051055908203
-272.62158203125,-64.4721908569336
-270.8716735839844,-64.53528594970703
-269.1967468261719,-64.57478332519531
-267.59881591796875,-64.59521484375
-266.0796203613281,-64.59928894042969
-264.5508117675781,-64.58821868896484
-263.0126953125,-64.56178283691406
-261.46533203125,-64.52098083496094
-259.81768798828125,-64.46083068847656
-258.2527160644531,-64.38888549804688
-256.6783752441406,-64.30146789550781
-255.0021209716797,-64.19253540039062
-253.41075134277344,-64.07331085205078
-251.81146240234375,-63.9368782043457
-250.10919189453125,-63.77314376831055
-248.39849853515625,-63.58955001831055
-246.77525329589844,-63.39833450317383
-245.1446075439453,-63.189666748046875
-243.60304260253906,-62.97782516479492
-241.9579315185547,-62.73665237426758
-240.3062286376953,-62.4789924621582
-238.64761352539062,-62.205047607421875
-237.07998657226562,-61.933013916015625
-235.40704345703125,-61.630802154541016
-233.9247283935547,-61.354042053222656
-232.43678283691406,-61.06845474243164
-230.74310302734375,-60.73453903198242
-229.24208068847656,-60.43124771118164
-227.73487854003906,-60.12062072753906
-226.22140502929688,-59.80341339111328
-224.7017059326172,-59.48000717163086
-223.17556762695312,-59.15064239501953
-221.64291381835938,-58.81550979614258
-220.10389709472656,-58.474971771240234
-218.5582275390625,-58.12982940673828
-217.00599670410156,-57.78045654296875
-215.4468536376953,-57.42756652832031
-213.88088989257812,-57.0712890625
-212.30801391601562,-56.71170425415039
-210.72836303710938,-56.348899841308594
-209.14173889160156,-55.98307418823242
-207.65447998046875,-55.639190673828125
-206.05430603027344,-55.26866149902344
-204.44700622558594,-54.89661407470703
-202.83226013183594,-54.523460388183594
-201.2101593017578,-54.149444580078125
-199.5807342529297,-53.77478790283203
-197.9440155029297,-53.39968490600586
-196.4097900390625,-53.04933166503906
-194.75875854492188,-52.67381286621094
-193.1002655029297,-52.298274993896484
-191.43453979492188,-51.9225959777832
-189.6498260498047,-51.5214958190918
-187.96920776367188,-51.14479446411133
-186.2816162109375,-50.7671012878418
-184.70022583007812,-50.41348648071289
-183.22621154785156,-50.08405303955078
-181.51902770996094,-49.70267868041992
-179.80519104003906,-49.31995391845703
-178.0845947265625,-48.935794830322266
-176.4727020263672,-48.575740814208984
-174.9708709716797,-48.23993682861328
-173.23194885253906,-47.85067367553711
-171.48648071289062,-47.45963668823242
-169.73448181152344,-47.06694030761719
-168.21083068847656,-46.7252197265625
-166.4468994140625,-46.32932662963867
-164.91311645507812,-45.98472595214844
-163.3745574951172,-45.638675689697266
-161.59336853027344,-45.237613677978516
-159.80560302734375,-44.834716796875
-158.01170349121094,-44.429847717285156
-156.21170043945312,-44.02293014526367
