id,name,shortName,relativeSpeed,rainEnabled,carIds
0,Hosted All Cars Class,Hosted All Cars,100,false,1|2|3|4|5|10|13|18|20|21|22|23|24|25|26|27|28|29|30|31|33|34|35|36|37|38|39|40|41|42|43|44|45|46|48|49|50|51|52|54|55|56|57|58|59|60|61|62|63|64|67|69|70|71|72|73|74|76|77|78|79|80|81|82|83|84|85|86|87|88|89|91|92|93|94|95|96|98|99|100|101|102|103|104|105|106|107|109|110|111|112|113|114|115|116|117|118|119|120|121|122|123|124|125|127|128|129|131|132|133|134|135|137|138|139|140|141|142|143|144|145|146|147|148|149|150|151|152|153|154|155|156|157|158|159|160|161|162|163|164|165|167|168|169|170|171|172|173|174|175|176|178|179|180|181|182|183|184|185|186|187|188|189|190|191|192|193|194|195|196|198|199|200|201|202|203|204|205|206|207|208|210|211|213|214|215|216
1,Skip Barber Race Series,SBRS,40,true,1
2,SK Modified,SK Modified,51,false,2
3,Solstice,Solstice,25,false,3
4,Pro Mazda,Pro Mazda,55,false,4
5,Legends,Legends,38,true,5
12,[Retired] - Rookie Legends,[R] Rookie Lgnds,20,false,11
13,Rookie Solstice,Rookie Solstice,15,false,10
14,[Retired] Monte Carlo SS,[R] Late Model,50,false,12
15,Radical SR8,SR8,70,false,13
16,Silver Crown,Silver Crown,180,false,18
17,Silverado,Truck,60,false,20
18,Riley Daytona Prototype,Riley DP,90,false,21
19,Impala SS Class A,Cup,80,false,22
20,Spec Racer Ford,SRF,36,false,23
21,[Legacy] ARCA Series,[L] ARCA Series,53,false,24
22,Lotus 79,Lotus 79,125,true,25
23,Corvette C6R GT1,C6R GT1,85,false,26
24,VW Jetta TDI Cup,Jetta TDI,33,false,27
25,FG01 V8 - circa 2012,V8SC,75,false,28
26,[Legacy] Dallara IR-05,[L] DallaraIR05,150,false,29
28,Ford Mustang FR500S,FR500S,38,true,30
29,Whelen Modified,Whelen Modified,100,false,31
30,Williams FW31,Williams FW31,200,false,33
31,Mazda MX-5,MX-5,33,false,34|35
32,Mazda MX-5 Cup,MX-5 Cup,33,false,34
33,Mazda MX-5 Roadster,MX-5 Roadster,33,false,35
34,Street Stock - Panther C1,StreetStock PC1,45,false,36
35,Sprint Car,Sprint Car,195,false,37
36,Impala Class B,Impala Class B,65,false,38
40,HPD ARX-01c,HPD ARX-01c,130,false,39
41,Ford GT,Ford GT,51,false,40
45,Cadillac CTS-VR,Cadillac CTS-VR,50,false,41
46,Lotus 49,Lotus 49,120,true,42
47,[Legacy] McLaren MP4-12C GT3,MP4-12C,52,true,43
48,Kia Optima,Kia Optima,46,false,44
49,Chevrolet SS-Gen6,SS-Gen6,81,false,45
50,NASCAR Cup,NASCAR Cup,81,false,56|103|110
51,Ford Fusion,Ford Fusion,81,false,46
52,Ruf RT 12R,Ruf RT 12R,52,false,48|49|50|52
53,Ruf RT 12R AWD,Ruf RT 12R AWD,48,false,48
54,Ruf RT 12R RWD,Ruf RT 12R RWD,45,false,49
55,Ruf RT 12R Track,Ruf RT 12R Track,52,false,50
56,Mustang Class B,Mustang Class B,65,false,51
57,[Legacy] Xfinity Series,[L] Xfinity,65,false,51|58|69
58,Ruf RT12R CSpec,Ruf RT12R CSpec,50,false,52
59,[Legacy] GT3 Class 3,[L] GT3 Class 3,52,false,43|55|59|72|73|94|156
60,Super Late Model,Super Late Model,55,false,54
61,[Legacy] BMW Z4 GT3,[L]  BMW Z4,52,false,55
62,Toyota Camry-Gen6,Camry-Gen6,81,false,56
63,Dallara DW12,DW12,150,false,57
64,Chevrolet Camaro Class B,Camaro Class B,65,false,58
65,Ford GT GT3,Ford GT GT3,52,true,59
66,[Legacy] Holden VF Commodore V8,[L] Holden V8,75,false,60
67,[Legacy] V8Supercars,[L] V8Supercars,75,false,60|61
68,[Legacy] Ford Falcon FG V8,[L] Ford FG V8,75,false,61
69,[Retired] Toyota Tundra,[Retired] Tundra,60,false,62
70,[Retired] Chevrolet Silverado,[R] Chevy Silver,60,false,63
71,NASCAR Truck Series,NASCAR Trucks,60,false,111|123|155|211
72,Aston Martin,Aston Martin,85,false,64
73,GT1 Class,GT1 Class,85,false,26|64
74,Mazda MX-5 Cup 2016,MX5 Cup 2016,35,true,67
76,Toyota Camry 2015,Camry 2015,81,false,69
77,Corvette C7 Daytona Prototype,C7 DP,126,false,70
78,McLaren MP4-30,McLaren MP4-30,196,false,71
79,[Legacy] Mercedes-AMG GT3,[L] AMG GT3,52,false,72
80,[Legacy] Audi R8 GT3,[L] Audi R8 GT3,52,false,73
81,Formula Renault 2.0,Renault 2.0,50,false,74
82,[Legacy] GT3 German,[L] GT3 German,52,false,55|72|73
83,Audi 90 GTO,Audi 90 GTO,51,true,76
84,Nissan GTP,Nissan GTP,135,true,77
85,Dirt Late Model - Limited,DLM Limited,40,false,78
86,Dirt Street Stock,Dirt StreetStock,30,false,79
87,Dirt SprintCar - 305,DSC 305,50,false,80
88,Ford Fiesta RS WRC,Ford RS WRC,100,false,81
89,Dirt Legends,Dirt Legends,20,false,82
90,Dirt Late Model - Pro,DLM Pro,70,false,83
91,Dirt Late Model - Super,DLM Super,80,false,84
92,Dirt SprintCar - 360,DSC 360,100,false,85
93,Dirt Sprintcar - 410,DSC 410,110,false,86
94,Dirt SprintCar - 410wingless,DSC 410W,90,false,89
95,[Legacy] Porsche 911 GT3 Cup,[L] Porsche 911,51,false,88
96,Dirt SprintCar - 360wingless,DSC 360W,60,false,87
97,VW Beetle GRC,VW Beetle GRC,50,false,91
98,Ford GT - 2017,Ford GT - 2017,70,true,92
99,Ferrari 488 GTE,Ferrari 488 GTE,70,true,93
100,GTE Class,GTE Class,70,true,92|93|102|109|127
101,IMSA GT3,IMSA GT3,52,false,72|73|94
102,[Legacy] Ferrari 488 GT3,[L]Ferrari488GT3,52,false,94
103,Dirt UMP Modified,Dirt UMP Mod,70,false,95
104,Dirt Midget,Dirt Midget,40,false,96
105,Rallycross,Rallycross,45,false,81|91|101
107,USAC Sprint,USAC Sprint,75,false,87|89
113,Audi R18,Audi R18,180,false,98
114,[Legacy] GT3 Bathurst,[L] GT3 Bathurst,52,false,43|55|72|73|94
115,Porsche 919,Porsche 919,180,false,100
116,LMP1 Class,LMP1 Class,180,false,98|100
117,Dallara IR18,Dallara IR18,150,true,99
471,Subaru WRX STI,Subaru WRX STI,52,false,101
472,Porsche 911 RSR,Porsche 911 RSR,70,true,102
473,IMSA2 GT3,IMSA2 GT3,52,false,72|73
696,Chevrolet Camaro ZL1,Camaro ZL1,81,false,103
870,Dallara F3,Dallara F3,90,false,106
871,Formula Renault 3.5,Renault 3.5,120,false,105
1105,BMW M8 GTE,BMW M8 GTE,70,true,109
1275,Ford Mustang - 2019,Ford Mustang,81,false,110
1276,Silverado - 2019,Silverado - 2019,60,false,111
1277,Pro 2 Truck,Pro 2 Truck,51,false,104
1278,Pro 4 Truck,Pro 4 Truck,53,false,107
1279,[Legacy] NASCAR Cup,[L]  NASCAR Cup,81,false,45|46
1450,[Legacy] Audi RS 3 LMS TCR,[L] Audi RS3LMS,45,true,112
1451,NASCAR O'Reilly Chevrolet Camaro 2019,Camaro 2019,65,false,114
1452,NASCAR O'Reilly Ford Mustang 2019,Mustang 2019,65,false,115
1453,NASCAR O'Reilly Toyota Supra 2019,Supra 2019,65,false,116
1454,Pro 2 Lite Truck,Pro 2 Lite Truck,45,false,113
1455,NASCAR O'Reilly Series,O'Reilly Series,65,false,114|115|116
1613,Holden ZB Commodore V8 - 2019,Holden - 2019,75,false,117
1614,[Legacy] Supercars Ford Mustang GT - 2019,Ford GT - 2019,75,false,118
1615,Supercars - 2019,Supercars - 2019,75,false,117|118
1860,Porsche 718 Cayman GT4 Clubsport MR,Porsche 718,49,true,119
2040,GTE Class 2,GTE Class 2,70,true,102|109
2041,GT3 Class 2,GT3 Class 2,52,false,72|144
2070,[Legacy] GT3 Nurb,[L] GT3 Nurb,52,false,55|72|73|94
2264,BMW M4 F82 GT4 - 2018,BMW M4 GT4,49,true,122
2265,Indy Pro 2000 PM-18,Pro 2000 PM-18,55,false,120
2266,USF 2000,USF 2000,45,false,121
2267,Ford F150,Ford F150,60,false,123
2268,GT4 Class,GT4 Class,49,true,119|135|150|157|189|204
2269,NASCAR Legends 1987,NASCAR 1987,52,false,124|125|154|175
2270,NASCAR Legends Chevrolet Monte Carlo - 1987,1987 Monte Carlo,50,false,124
2271,NASCAR Legends Ford Thunderbird - 1987,1987 Ford T-bird,50,false,125
2522,Corvette C8.R GTE,Vette C8.R GTE,60,true,127
2523,Dallara P217,Dallara P217,150,true,128
2524,GTE IMSA,GTE IMSA,70,true,93|102|109|127
2525,GTE Class 3,GTE Class 3,70,true,92|93|102|127
2704,Dallara iR-01,Dallara iR-01,196,false,129
2705,Lamborghini Huracán GT3 EVO,Lambo Huracán,52,true,133
