ordinal,name,path,category,imageUrl
1,Skip Barber Formula 2000,cars\rt2000,formula_car,https://images-static.iracing.com/img/cars/skipbarberformula2000/skipbarberformula2000-small.jpg
2,Modified - SK,cars\skmodified,oval,https://images-static.iracing.com/img/cars/modifiedsk/modifiedsk-small.jpg
3,Pontiac Solstice,cars\solstice,sports_car,https://images-static.iracing.com/img/cars/carid_3/pontiacsolstice-small.jpg
4,[Legacy] Pro Mazda,cars\formulamazda,formula_car,https://images-static.iracing.com/img/cars/promazda/promazda-small.jpg
5,Legends Ford '34 Coupe,cars\legends\ford34c,oval,https://images-static.iracing.com/img/cars/carid_5/legendsford34coupe-small.jpg
10,Pontiac Solstice - Rookie,cars\solstice\rookie,sports_car,https://images-static.iracing.com/img/cars/carid_10/pontiacsolsticerookie-small.jpg
13,Radical SR8,cars\radical\sr8,sports_car,https://images-static.iracing.com/img/cars/radicalsr8/radicalsr8-small.jpg
18,Silver Crown,cars\silvercrown,oval,https://images-static.iracing.com/img/cars/silvercrown/silvercrown-small.jpg
20,[Legacy] NASCAR Truck Chevrolet Silverado - 2008,cars\trucks\silverado,oval,https://images-static.iracing.com/img/cars/chevroletsilverado/chevroletsilverado-small.jpg
21,[Legacy] Riley MkXX Daytona Prototype - 2008,cars\rileydp,sports_car,https://images-static.iracing.com/img/cars/rileydaytonaprototype/rileydaytonaprototype-small.jpg
22,[Legacy] NASCAR Cup Chevrolet Impala COT - 2009,cars\stockcars\impala,oval,https://images-static.iracing.com/img/cars/carid_22/chevroletimpalacot-small.jpg
23,SCCA Spec Racer Ford,cars\specracer,sports_car,https://images-static.iracing.com/img/cars/sccaspecracerford/sccaspecracerford-small.jpg
24,[Legacy] ARCA Menards Chevrolet Impala,cars\stockcars2\chevy,oval,https://images-static.iracing.com/img/cars/chevroletnationalimpala/chevroletnationalimpala-small.jpg
25,Lotus 79,cars\lotus79,formula_car,https://images-static.iracing.com/img/cars/lotus79/lotus79-small.jpg
26,Chevrolet Corvette C6.R GT1,cars\c6r,sports_car,https://images-static.iracing.com/img/cars/chevroletcorvettec6rgt1/chevroletcorvettec6rgt1-small.jpg
27,VW Jetta TDI Cup,cars\jettatdi,sports_car,https://images-static.iracing.com/img/cars/vwjettatdicup/vwjettatdicup-small.jpg
28,[Legacy] V8 Supercar Ford Falcon - 2009,cars\fordv8sc,sports_car,https://images-static.iracing.com/img/cars/fordfalconfg01v8/fordfalconfg01v8-small.jpg
29,[Legacy] Dallara IR-05,cars\dallara,formula_car,https://images-static.iracing.com/img/cars/dallaraindycar/dallaraindycar-small.jpg
30,Ford Mustang FR500S,cars\fr500s,sports_car,https://images-static.iracing.com/img/cars/fordmustangfr500s/fordmustangfr500s-small.jpg
31,Modified - NASCAR Whelen Tour,cars\skmodified\tour,oval,https://images-static.iracing.com/img/cars/modifiedsk/modifiedsk-small.jpg
33,Williams-Toyota FW31,cars\williamsfw31,formula_car,https://images-static.iracing.com/img/cars/williamstoyotafw31/williamstoyotafw31-small.jpg
34,[Legacy] Mazda MX-5 Cup - 2010,cars\mx5\cup,sports_car,https://images-static.iracing.com/img/cars/mazdamx5/mazdamx5cup2010-small.jpg
35,[Legacy] Mazda MX-5 Roadster - 2010,cars\mx5\roadster,sports_car,https://images-static.iracing.com/img/cars/mazdamx5/mazdamx5roadster2010-small.jpg
36,Street Stock - Panther C1,cars\streetstock,oval,https://images-static.iracing.com/img/cars/streetstock/streetstock-small.jpg
37,Sprint Car,cars\sprint,oval,https://images-static.iracing.com/img/cars/sprintcar/sprintcar-small.jpg
38,[Legacy] NASCAR Nationwide Chevrolet Impala - 2012,cars\stockcars2\chevy\cot,oval,https://images-static.iracing.com/img/cars/chevroletimpalaclassb/chevroletimpalaclassb-small.jpg
39,HPD ARX-01c,cars\hpdarx01c,sports_car,https://images-static.iracing.com/img/cars/hpdarx01c/hpdarx01c-small.jpg
40,Ford GT GT2,cars\fordgt,sports_car,https://images-static.iracing.com/img/cars/fordgt/fordgt-small.jpg
41,Cadillac CTS-V Racecar,cars\cadillacctsvr,sports_car,https://images-static.iracing.com/img/cars/cadillacctsvracecar/cadillacctsvracecar-small.jpg
42,Lotus 49,cars\lotus49,formula_car,https://images-static.iracing.com/img/cars/lotus49/lotus49-small.jpg
43,[Legacy] McLaren MP4-12C GT3,cars\mclarenmp4,sports_car,https://images-static.iracing.com/img/cars/mclarenmp412cgt3/mclarenmp412cgt3-small.jpg
44,Kia Optima,cars\kiaoptima,sports_car,https://images-static.iracing.com/img/cars/kiaoptima/kiaoptima-small.jpg
45,[Legacy] NASCAR Cup Chevrolet SS - 2013,cars\stockcars\chevyss,oval,https://images-static.iracing.com/img/cars/chevroletssgen6/chevroletssgen6-small.jpg
46,[Legacy] NASCAR Cup Ford Fusion - 2016,cars\stockcars\fordfusion,oval,https://images-static.iracing.com/img/cars/nascarmonsterenergycupfordfusion/nascarmonsterenergycupfordfusion-small.jpg
48,Ruf RT 12R AWD,cars\rufrt12r\awd,sports_car,https://images-static.iracing.com/img/cars/rufrt12/rufrt12rcspec-small.jpg
49,Ruf RT 12R RWD,cars\rufrt12r\rwd,sports_car,https://images-static.iracing.com/img/cars/rufrt12/rufrt12rcspec-small.jpg
50,Ruf RT 12R Track,cars\rufrt12r\track,sports_car,https://images-static.iracing.com/img/cars/rufrt12/rufrt12rcspec-small.jpg
