ordinal,name,location,country,variant,lengthKm,commonTrackName,category,path,mapUrl,pitMapUrl,startFinishMapUrl,turnsMapUrl,cornersPerLap,pitRoadSpeedLimitMph,numberPitStalls,maxCars,nightLighting,rainEnabled,latitude,longitude,timeZone
8,Summit Point Raceway,"Summit Point, West Virginia",USA,Jefferson Circuit,1.786,,road,tracks\summit\jefferson,https://members-assets.iracing.com/public/track-maps/tracks_summit/8-summit-jefferson/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/8-summit-jefferson/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/8-summit-jefferson/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/8-summit-jefferson/turns.svg,7,35,16,30,false,true,39.2415229,-77.9778938,America/New_York
9,Summit Point Raceway,"Summit Point, West Virginia",USA,Summit Point Raceway,3.187,,road,tracks\summit\summit\raceway,https://members-assets.iracing.com/public/track-maps/tracks_summit/9-summit-summit-raceway/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/9-summit-summit-raceway/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/9-summit-summit-raceway/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/9-summit-summit-raceway/turns.svg,10,45,29,58,false,true,39.2415229,-77.9778938,America/New_York
11,Stafford Motor Speedway,"Stafford Springs, Connecticut",USA,Full Course,0.805,,oval,tracks\stafford\oval,https://members-assets.iracing.com/public/track-maps/tracks_stafford/11-stafford-oval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_stafford/11-stafford-oval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_stafford/11-stafford-oval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_stafford/11-stafford-oval/turns.svg,4,45,28,55,false,false,41.956733,-72.322947,America/New_York
12,Oxford Plains Speedway,"Oxford, Maine",USA,,0.604,,oval,tracks\oxford\oval,https://members-assets.iracing.com/public/track-maps/tracks_oxford/12-oxford-oval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_oxford/12-oxford-oval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_oxford/12-oxford-oval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_oxford/12-oxford-oval/turns.svg,4,30,35,52,false,false,44.1540543,-70.4865637,America/New_York
14,South Boston Speedway,"South Boston, Virginia",USA,,0.644,,oval,tracks\southboston,https://members-assets.iracing.com/public/track-maps/tracks_southboston/14-southboston/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_southboston/14-southboston/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_southboston/14-southboston/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_southboston/14-southboston/turns.svg,4,35,43,64,true,false,36.7092845,-78.8712013,America/New_York
15,Concord Speedway,"Concord, North Carolina",USA,,0.805,,oval,tracks\concordhalf,https://members-assets.iracing.com/public/track-maps/tracks_concordhalf/15-concordhalf/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_concordhalf/15-concordhalf/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_concordhalf/15-concordhalf/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_concordhalf/15-concordhalf/turns.svg,5,30,32,60,false,false,35.3089728,-80.5236159,America/New_York
16,USA International Speedway,"Lakeland, Florida",USA,Asphalt,1.207,,oval,tracks\lakeland,https://members-assets.iracing.com/public/track-maps/tracks_lakeland/16-lakeland/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_lakeland/16-lakeland/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_lakeland/16-lakeland/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_lakeland/16-lakeland/turns.svg,4,35,43,64,true,false,28.1515,-81.892694,America/New_York
17,Lanier National Speedway,"Braselton, Georgia",USA,Asphalt,0.604,,oval,tracks\lanier,https://members-assets.iracing.com/public/track-maps/tracks_lanier/17-lanier/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_lanier/17-lanier/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_lanier/17-lanier/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_lanier/17-lanier/turns.svg,4,30,12,60,true,false,34.153424,-83.8149922,America/New_York
18,Road America,"Elkhart Lake, Wisconsin",USA,Full Course,6.515,road-america,road,tracks\roadamerica\full,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/18-roadamerica-full/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/18-roadamerica-full/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/18-roadamerica-full/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_roadamerica/18-roadamerica-full/turns.svg,14,45,60,90,false,true,43.79751,-87.992157,America/Chicago
19,Irwindale Speedway,"Irwindale, California",USA,Inner,0.531,,oval,tracks\irwindale\inner,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/19-irwindale-inner/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/19-irwindale-inner/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/19-irwindale-inner/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/19-irwindale-inner/turns.svg,4,30,33,49,false,false,34.1104491,-117.9892554,America/Los_Angeles
20,Homestead Miami Speedway,"Homestead, Florida",USA,Oval,2.414,,oval,tracks\homestead\oval,https://members-assets.iracing.com/public/track-maps/tracks_homestead/20-homestead-oval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/20-homestead-oval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/20-homestead-oval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/20-homestead-oval/turns.svg,4,45,43,64,true,false,25.4517775,-80.4110895,America/New_York
21,Homestead Miami Speedway,"Homestead, Florida",USA,Road Course A,3.557,,road,tracks\homestead\roada,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/turns.svg,9,45,43,64,false,true,25.4517775,-80.4110895,America/New_York
