x,z
-5.7,-2
-14.7,-6.2
-23.8,-10.4
-33,-14.4
-42.2,-18.4
-51.4,-22.3
-60.6,-26.2
-69.8,-30.2
-78.9,-34.2
-88.1,-38.2
-97.2,-42.3
-106.3,-46.5
-115.4,-50.7
-124.4,-55
-133.4,-59.5
-142.3,-64
-151.2,-68.7
-159.9,-73.5
-168.6,-78.6
-177.1,-83.8
-185.4,-89.3
-193.6,-95
-201.6,-101
-209.4,-107.3
-216.9,-113.9
-224.2,-120.8
-231.1,-128.1
-237.4,-135.8
-243.2,-143.9
-248.6,-152.3
-253.8,-160.9
-258.7,-169.6
-263.4,-178.4
-267.8,-187.4
-271.7,-196.6
-274.8,-206.1
-277.2,-215.8
-279.5,-225.5
-281.5,-235.3
-283,-245.2
-283.7,-255.2
-283.5,-265.1
-282.3,-275
-279.8,-284.7
-276.4,-294.2
-272.1,-303.2
-267,-311.7
-260.4,-319.1
-252.5,-325.2
-243.8,-330.1
-234.7,-334.1
-225.4,-337.8
-216,-341.4
-206.7,-345
-197.4,-348.8
-188.1,-352.5
-178.9,-356.2
-169.6,-360
-160.3,-363.7
-151,-367.5
-141.7,-371.2
-132.5,-375
-123.2,-378.7
-113.9,-382.5
-104.6,-386.2
-95.4,-390
-86.1,-393.8
-76.8,-397.5
-67.5,-401.3
-58.3,-405
-49,-408.7
-39.7,-412.5
-30.4,-416.2
-21.1,-419.9
-11.8,-423.6
-2.5,-427.3
6.8,-431
16.1,-434.7
25.4,-438.3
34.7,-442
44,-445.7
53.3,-449.4
62.6,-453.2
71.8,-456.9
81.1,-460.7
90.4,-464.5
99.6,-468.3
108.8,-472.3
117.8,-476.4
126.2,-481.5
133.1,-489.1
137.3,-498.2
138.5,-507.9
137.7,-517.8
135.7,-527.7
133.4,-537.4
130.7,-547.1
128.1,-556.7
125.4,-566.3
122.9,-576
120.3,-585.6
117.7,-595.3
115,-604.9
112.2,-614.6
109.3,-624.2
106.4,-633.8
103.7,-643.4
101.2,-653.1
99,-662.8
97.4,-672.7
96.3,-682.6
95.6,-692.6
94.7,-702.6
93.8,-712.6
93.7,-722.6
95.5,-732.2
99.7,-741
105.7,-749.1
112.3,-756.8
118.7,-764.6
124.9,-772.4
131.1,-780.2
137.3,-787.9
143.8,-795.6
150.5,-803.1
157.5,-810.3
164.8,-817
172.6,-823.3
180.9,-828.9
189.5,-833.8
198.5,-838.3
207.6,-842.3
216.9,-846.1
226.2,-849.7
235.6,-853.3
