x,z
2.2,5
10.4,17.6
18.5,30.2
26.6,42.7
34.8,55.3
42.9,67.9
51.1,80.5
59.2,93.1
67.4,105.7
75.5,118.3
83.7,130.9
91.9,143.5
100,156
108.2,168.6
116.3,181.2
124.4,193.9
132.1,206.7
138.1,220.4
141.7,234.9
143.3,249.8
142.6,264.8
138.9,279.2
133.1,293.1
124.8,305.5
114.2,316
102.2,325
89.6,333.2
76.9,341.2
64.4,349.4
51.8,357.6
38.7,364.8
25,363.4
14.9,352.2
3.8,342.3
-9.6,345
-21.8,354.2
-33.8,363.4
-45.8,372.3
-57.9,381.1
-70.1,389.7
-82.3,398.4
-94.3,407.9
-107.6,413.6
-121.9,410.5
-133.9,401.7
-145.4,391.9
-156.9,382.2
-168.5,372.8
-180.2,363.4
-191.9,354
-203.6,344.7
-215.4,335.4
-227.2,326.2
-238.9,316.7
-248.8,305.5
-254.9,292
-257.2,277.2
-255.8,262.3
-251,248.1
-242.9,235.5
-232,225.4
-218.7,218.9
-203.7,216.9
-188.9,218.2
-174.7,222.4
-161.3,229.3
-149.2,238
-137.1,246.9
-124.2,254.6
-109.7,255.7
-95.2,251.9
-80.6,248.4
-66,245
-51.4,241.4
-36.9,237.8
-22.3,234.6
-8,229.7
-2.7,217.2
-6.8,202.4
-16.4,191.5
-29.3,184
-43.1,177.7
-56.7,171.3
-70.2,164.9
-83.6,158.4
-97.1,151.8
-110.6,145.2
-124,138.6
-137.5,131.9
-150.9,125.3
-164.4,118.7
-177.9,112.1
-191.3,105.5
-204.8,98.9
-218.3,92.3
-231.7,85.7
-245.2,79.1
-258.6,72.4
-272,65.7
-285.4,59
-298.9,52.3
-312.3,45.6
-325.7,38.8
-339.1,32.1
-352.5,25.4
-365.9,18.8
-379.4,12.1
-392.9,5.6
-406.4,-1
-419.9,-7.5
-433.4,-14
-446.8,-20.8
-459.7,-28.2
-471.9,-36.9
-482.4,-47.6
-490.8,-60
-497.1,-73.6
-501.1,-87.9
-502.6,-102.9
-501.6,-117.8
-498.1,-132.3
-492.9,-146.3
-487,-160.1
-481.1,-174
-475.3,-187.8
-469.5,-201.6
-463.8,-215.5
-458.1,-229.3
-452.4,-243.2
-446.8,-257.1
-441.1,-271
-435.5,-284.9
-429.7,-298.8
-423.1,-312.2
-414.3,-324.2
-403.2,-334.4
-391.2,-343.2
-378.5,-351.1
-366.2,-359.7
-356.9,-371.3
-353.3,-385.8
-355.8,-400.5
-362,-414
-369.9,-426.7
-378.4,-439.2
-386.6,-451.7
-394.8,-464.2
-403.1,-476.7
-411.7,-489
-420.8,-500.9
-430.5,-512.3
-441,-523
-452.2,-533
-463.9,-542.4
-476.4,-550.5
-489.8,-557.4
-503.5,-563.6
-517.2,-569.5
-530.9,-575.5
-544.7,-581.6
-558.4,-587.7
-572.1,-593.6
-585.9,-599.4
-599.6,-605.6
-613.3,-612
-627.3,-617.2
-642,-619.5
-656.1,-615.6
-667,-605.2
-672.5,-591.5
-672.1,-576.6
-666.6,-562.8
-658.4,-550.2
-650.1,-537.7
-642.2,-525
-633.8,-512.5
-625.6,-499.9
-617.5,-487.3
-609.4,-474.7
-601.4,-462.1
-593.2,-449.5
-584.8,-437
-576.8,-424.2
-569.4,-411.2
-563.1,-397.7
-558.2,-383.7
-555.2,-368.9
-554.2,-353.9
-555.3,-338.9
-558.6,-324.4
-564.4,-310.6
-572.5,-298.1
-582.9,-287.3
-595.4,-278.9
-609.3,-273.4
-623.9,-271.4
-638.7,-273.4
-652.2,-279.9
-662.8,-290.2
-671.5,-302.4
-679.6,-315.1
-687.7,-327.7
-695.8,-340.4
-703.8,-353
-711.9,-365.6
-720,-378.2
-728.1,-390.8
-736.3,-403.4
-744.4,-416.1
-752.4,-428.7
-760.4,-441.4
-768.5,-454
-776.7,-466.6
-784.9,-479.1
-792.8,-491.9
-800,-505
-806.5,-518.5
-812.2,-532.4
-817,-546.6
-820.8,-561.1
-823.6,-575.8
-825.5,-590.7
-826.5,-605.7
-826.4,-620.6
-825,-635.5
-822,-650.2
-817.5,-664.5
-811.5,-678.3
-804.1,-691.3
-795.2,-703.3
-784.9,-714.2
-773.5,-724
-761,-732.2
-747.3,-737.8
-732.7,-741.7
-717.9,-743.9
-703,-743.7
-688.2,-741.3
-673.8,-737
-660,-731.2
-647.6,-722.9
-635.5,-714
-623.3,-705.3
-611,-696.7
-598.9,-687.9
-586.7,-679.1
-574.1,-671
-560.1,-666.6
-544.9,-666.7
-530.3,-669.6
-516.7,-675.4
-504.1,-683.7
-491.6,-692.1
-477.6,-696.5
-462.6,-696.9
-449.2,-690.7
-438.5,-680.3
-429.8,-668.1
-421.5,-655.6
-413.4,-643
-405.8,-630.1
-398,-617.3
-389.9,-604.6
-381.8,-592
-373.7,-579.4
-365.5,-566.8
-357.4,-554.2
-349.3,-541.6
-341.2,-529
-333.1,-516.4
-325,-503.7
-316.9,-491.1
-308.8,-478.5
-300.7,-465.9
-292.6,-453.2
-284.6,-440.6
-276.5,-428
-268.4,-415.4
-260.3,-402.7
-252.2,-390.1
-244.1,-377.5
-236,-364.9
-227.9,-352.2
-219.8,-339.6
-211.7,-327
-203.6,-314.4
-195.5,-301.8
-187.4,-289.2
-179.2,-276.5
-171.1,-263.9
-163,-251.3
-154.9,-238.7
-146.7,-226.1
-138.6,-213.5
-130.5,-200.9
-122.4,-188.3
-114.2,-175.7
-106.1,-163.1
-98,-150.5
-89.9,-137.9
-81.7,-125.3
-73.6,-112.7
-65.5,-100.1
-57.3,-87.5
-49.2,-74.9
-41.1,-62.3
-33,-49.7
-24.9,-37.1
-16.7,-24.5
-8.6,-11.9
-0.5,0.7
