x,z
-81.075031,29.183323
-81.074999,29.183413
-81.074639,29.183333
-81.074377,29.184228
-81.073994,29.185532
-81.074003,29.185535
-81.073945,29.185707
-81.073953,29.185708
-81.073898,29.18585
-81.073907,29.185852
-81.073866,29.185958
-81.073875,29.185961
-81.073845,29.186012
-81.073863,29.186018
-81.073814,29.186106
-81.073829,29.186113
-81.07378,29.186202
-81.073787,29.186205
-81.073747,29.186276
-81.073757,29.186281
-81.073732,29.186325
-81.073739,29.186328
-81.073699,29.186401
-81.073715,29.186407
-81.073639,29.186561
-81.07365,29.186565
-81.073593,29.186668
-81.073601,29.186672
-81.073543,29.186776
-81.073551,29.18678
-81.073377,29.18709
-81.073048,29.187568
-81.072834,29.187834
-81.072521,29.188162
-81.072514,29.188157
-81.072362,29.18831
-81.072355,29.188306
-81.072281,29.188382
-81.072171,29.188469
-81.07194,29.188647
-81.071936,29.188644
-81.071798,29.188756
-81.071792,29.188751
-81.071694,29.188826
-81.071688,29.188821
-81.071603,29.188888
-81.071597,29.188883
-81.071517,29.188949
-81.071505,29.188937
-81.071408,29.189016
-81.071396,29.189005
-81.071299,29.18908
-81.071288,29.18907
-81.071145,29.189166
-81.071138,29.18916
-81.071038,29.189224
-81.071032,29.189218
-81.07088,29.189315
-81.070875,29.18931
-81.070769,29.18938
-81.070762,29.189374
-81.070636,29.189453
-81.070628,29.189442
-81.069823,29.189882
-81.069875,29.189952
-81.069588,29.190111
-81.069537,29.19004
-81.068622,29.190551
-81.068917,29.19098
-81.06895,29.191028
-81.068963,29.191038
-81.06898,29.19104
-81.068997,29.191038
-81.06925,29.190901
-81.069329,29.190858
-81.069419,29.190809
-81.069485,29.190773
-81.069575,29.190896
-81.069592,29.190907
-81.069613,29.190914
-81.069628,29.19091
-81.069637,29.1909
-81.069708,29.190732
-81.06976,29.190606
-81.069834,29.190566
-81.069878,29.190542
-81.069919,29.19052
-81.070006,29.190637
-81.070091,29.190588
-81.070102,29.190582
-81.070119,29.190605
-81.070234,29.190542
-81.070565,29.190363
-81.070618,29.190334
-81.070626,29.190324
-81.070628,29.190312
-81.070625,29.190301
-81.070556,29.190211
-81.070548,29.190194
-81.070551,29.190178
-81.070574,29.190164
-81.07091,29.189982
-81.070944,29.189964
-81.07096,29.18996
-81.070975,29.189962
-81.070989,29.189971
-81.071055,29.190059
-81.071067,29.190069
-81.071081,29.190071
-81.07109,29.190068
-81.071102,29.190064
-81.071241,29.189974
-81.071249,29.189982
-81.071355,29.189915
-81.071374,29.189935
-81.071393,29.189924
-81.071419,29.189908
-81.071463,29.18988
-81.071489,29.18983
-81.07154,29.189797
-81.07158,29.189771
-81.071651,29.189725
-81.071641,29.189713
-81.071736,29.189651
-81.071757,29.189638
-81.071798,29.189611
-81.071878,29.189546
-81.071858,29.189526
-81.071944,29.189457
-81.071889,29.189409
-81.071833,29.189452
-81.071786,29.189408
-81.071872,29.189337
-81.071886,29.189325
-81.071922,29.189297
-81.07197,29.189258
-81.072087,29.189249
-81.072345,29.189231
-81.072359,29.189224
-81.072371,29.189211
-81.072373,29.189196
-81.072368,29.189177
-81.072302,29.189118
-81.072539,29.188932
-81.072646,29.189029
-81.072679,29.189003
-81.072742,29.188954
-81.072635,29.188855
-81.072662,29.188833
-81.072966,29.188588
-81.073002,29.188618
-81.073067,29.188556
-81.073099,29.188585
-81.073193,29.188669
-81.073212,29.188671
-81.073227,29.188665
-81.073293,29.188618
-81.073431,29.188517
-81.073444,29.188502
-81.073451,29.18848
-81.073452,29.18846
-81.073434,29.188307
-81.073432,29.188284
-81.073429,29.18826
-81.07342,29.188181
-81.07341,29.188094
-81.073408,29.188076
-81.07342,29.188062
-81.07344,29.188038
-81.073458,29.188017
-81.073475,29.187997
-81.073493,29.187975
-81.073631,29.188019
-81.073809,29.187607
-81.073767,29.187583
-81.07395,29.187321
-81.073988,29.187252
-81.07402,29.187195
-81.074155,29.186948
-81.074173,29.186915
-81.074225,29.186819
-81.074279,29.186844
-81.074316,29.186861
-81.074339,29.186858
-81.074351,29.186846
-81.074354,29.186828
-81.074303,29.186595
-81.074282,29.186499
-81.074327,29.186413
-81.07434,29.186388
-81.074384,29.186305
-81.074436,29.186333
-81.074408,29.186393
-81.074477,29.186426
-81.074504,29.186385
-81.074537,29.186335
-81.074561,29.186344
-81.074621,29.186245
-81.074635,29.186212
-81.074678,29.18611
-81.074827,29.186159
-81.07483,29.186151
-81.07503,29.185635
-81.074912,29.185599
-81.074882,29.18559
-81.074869,29.185628
-81.074851,29.185622
-81.074898,29.185462
-81.074907,29.185428
-81.074737,29.185384
-81.074864,29.184956
-81.074874,29.184921
-81.075038,29.184961
-81.075082,29.184818
-81.075094,29.184776
-81.075168,29.184532
-81.075187,29.18447
-81.075151,29.18446
-81.075189,29.184343
-81.075039,29.184311
-81.075052,29.184268
-81.075065,29.18422
-81.075085,29.184149
-81.075201,29.18408
-81.075375,29.183976
-81.075383,29.183972
-81.075395,29.18396
-81.075396,29.183944
-81.075393,29.18394
-81.075384,29.183928
-81.075359,29.183914
-81.075344,29.18391
-81.075181,29.183868
-81.075229,29.183709
-81.075252,29.183633
-81.075327,29.183385
-81.075287,29.183377
-81.075232,29.183365
-81.075031,29.183323
