x,z
5,-11.3
11.6,-24.8
18.2,-38.3
24.8,-51.8
31.3,-65.3
37.8,-78.9
44.1,-92.4
50.5,-106
56.9,-119.6
63.3,-133.2
69.7,-146.7
76.2,-160.3
82.5,-174
89,-187.5
96.3,-200.5
105,-212.7
115.1,-223.9
127.1,-232.7
140.2,-240.1
154.4,-243.7
169.2,-241.5
182.7,-235.2
195.2,-226.9
207,-217.6
218.8,-208.4
230.8,-199.4
243,-190.5
253.5,-180.3
259.1,-166.1
258.1,-151.5
252.3,-137.8
244.4,-125
235.8,-112.7
227,-100.6
218.1,-88.4
208.1,-77.3
196.2,-68.2
183,-61.1
169.2,-55.5
155.3,-49.7
142.9,-41.2
133.7,-29.7
127.1,-16.2
122.2,-1.9
117.9,12.4
113.7,26.8
109.3,41.2
105.6,55.7
103.9,70.6
107.1,85.1
115.4,97.6
127.5,106.2
141.9,109.7
156.8,107.6
169.9,100.8
180.4,90.2
189.8,78.4
199.3,66.8
208.9,55.2
218.4,43.6
227.9,32
237.5,20.4
247,8.8
256.5,-2.8
266,-14.4
275.5,-26
285,-37.6
294.6,-49.2
304.1,-60.8
313.9,-72.2
324.1,-83.1
335.4,-93
348.3,-100.6
362.7,-104.3
377.7,-106.2
392.6,-105.7
406.5,-100.5
419,-92.1
431.8,-84.3
444.5,-76.3
456.9,-67.9
469.3,-59.4
481.8,-51.1
494.3,-42.8
506.8,-34.5
519.4,-26.3
532,-18.1
544.6,-10
557.2,-1.8
569.8,6.3
582.4,14.5
595,22.6
607.7,30.6
620.4,38.7
633.1,46.6
645.8,54.6
658.5,62.6
671.2,70.6
683.8,78.7
696.4,87
708.8,95.3
720.1,105
728.9,117.2
735.9,130.6
739.7,144.9
738.9,159.9
733.3,173.7
724.4,185.7
715.8,198
709.2,211.4
704.6,225.6
701.7,240.4
699.9,255.3
699.3,270.3
700.2,285.1
702.2,300.3
712.5,309.1
727.6,309.8
742.5,308.1
757.3,305.5
772.1,303.1
786.9,300.8
801.8,298.6
816.6,296.4
831.4,294.1
846.3,291.8
861.1,289.4
875.9,287.1
890.8,284.9
905.6,282.7
920.5,280.5
935.3,278.1
950.2,276
965.1,275
980.1,275
994.4,278.6
1007.7,285.6
1020.4,293.7
1032.8,302.1
1045.2,310.6
1057.6,319
1070,327.4
1082.5,335.8
1095,344.1
1107.4,352.5
1119.9,360.9
1132.3,369.3
1144.8,377.6
1157.3,386
1169.8,394.3
1182.3,402.5
1194.8,410.8
1207.4,419
1220,427.2
1232.6,435.3
1245.3,443.3
1258.1,451.2
1270.8,459.1
1283.7,466.9
1296.5,474.6
1309.4,482.3
1322.3,490
1335.1,497.9
1346.1,507.6
1344.4,521.2
1331.3,528.7
1317.1,526.1
1303.1,520.4
1289.2,514.8
1275.2,509.4
1261.1,504.4
1246.9,499.6
1232.7,494.7
1218.5,489.8
1204.3,484.8
1190.2,479.7
1176.1,474.6
1162,469.5
1147.9,464.4
1133.8,459.2
1119.7,454.1
1105.6,448.9
1091.5,443.8
1077.4,438.6
1063.3,433.4
1049.3,428.1
1035.3,422.7
1021.3,417.2
1007.3,411.7
993.4,406.1
979.4,400.6
965.3,395.5
950.7,392.2
936.2,388.5
921.7,384.5
907,381.4
892.3,378.5
877.5,375.8
862.7,373.3
847.9,371
833,369.2
818.1,367.8
803.1,366.8
788.1,366.2
773.1,366.2
758.1,366.9
743.1,368.2
728.3,370
713.4,372.1
698.5,374.3
683.7,376.5
668.8,378.8
654,381.3
639.3,384
624.6,387
610,390.3
595.4,394.1
581,398.1
566.6,402.4
552.2,406.9
538,411.6
523.9,416.8
510.1,422.6
496.4,428.8
483,435.5
469.7,442.3
456.3,449.1
442.7,455.6
429.2,462.2
415.9,469
402.6,476
389.5,483.2
376.4,490.5
363.2,497.9
350.2,505.4
337.2,513
324.7,521
312.6,529.8
301.3,539.8
291.3,551.2
284.2,564.2
280.8,578.5
280,593.6
279.8,608.8
278.7,623.6
275,638
268.4,651.6
259.2,663.2
245.8,669.3
231.6,665.8
220.6,655.7
210.4,644.7
200.3,633.6
190.1,622.6
179.6,611.8
169,601.2
158.4,590.6
147.7,580.1
137,569.6
126.3,559.1
115.6,548.6
104.8,538.1
94,527.6
83.3,517.2
72.5,506.7
61.9,496.1
51.4,485.4
41,474.5
30.8,463.5
20.7,452.4
10.6,441.3
0.4,430.3
-9.8,419.3
-19.9,408.2
-29.8,396.9
-39.4,385.4
-48.4,373.4
-56.7,360.9
-64.4,348
-71.6,334.8
-78.4,321.5
-85.3,308.1
-92.2,294.8
-98.8,281.3
-105.2,267.7
-111.5,254.1
-116.4,239.9
-113.8,226
-106.6,212.4
-99.7,199.1
-93,185.7
-86.1,172.5
-79.1,159.2
-72,145.9
-64.9,132.7
-58,119.3
-51.2,105.9
-44.6,92.5
-38,79
-31.5,65.5
-25.1,51.9
-18.6,38.4
-12.2,24.8
-5.8,11.2
0.7,-2.3
