x,z
-0.1,5
-0.3,15
-0.5,25
-0.7,35
-0.9,45
-1.1,55
-1.3,65
-1.5,74.9
-1.7,84.9
-1.9,94.9
-2.1,104.9
-2.3,114.9
-2.5,124.9
-2.7,134.9
-2.9,144.9
-3.1,154.9
-3.3,164.9
-3.5,174.9
-3.7,184.9
-3.9,194.9
-4.1,204.9
-4.3,214.8
-4.5,224.8
-4.7,234.8
-4.9,244.8
-5.1,254.8
-5.2,264.8
-5.4,274.8
-5.6,284.8
-5.8,294.8
-6,304.8
-6.2,314.8
-6.4,324.8
-6.6,334.8
-6.8,344.8
-7,354.7
-7.2,364.7
-7.4,374.7
-7.6,384.7
-7.8,394.7
-8,404.7
-8.2,414.7
-8.4,424.7
-8.7,434.7
-8.9,444.7
-9.1,454.7
-9.3,464.7
-9.5,474.7
-9.7,484.7
-9.9,494.6
-10.1,504.6
-10.3,514.6
-10.6,524.6
-10.8,534.6
-11,544.6
-11.2,554.6
-11.5,564.6
-11.7,574.6
-12,584.6
-12.2,594.6
-12.5,604.6
-12.8,614.5
-13.1,624.5
-13.4,634.5
-13.7,644.5
-14,654.5
-14.3,664.5
-14.4,674.5
-14.6,684.5
-14.6,694.5
-14.4,704.5
-14.1,714.5
-13.5,724.5
-12.7,734.4
-11.5,744.3
-9.9,754.1
-7.9,763.9
-5.5,773.6
-2.6,783.1
0.6,792.6
4.2,801.9
8.2,811.1
12.5,820.2
17.1,829.1
22.1,837.8
27.4,846.3
32.9,854.6
38.8,862.7
44.9,870.6
51.3,878.2
58,885.5
65,892.6
72.4,899.3
80.1,905.7
88,911.8
96.2,917.6
104.5,923.1
113.1,928.3
121.8,933.1
130.7,937.6
139.8,941.9
149,945.7
158.4,949.3
167.9,952.4
177.5,955.2
187.2,957.6
197,959.5
206.8,960.9
216.7,961.9
226.7,962.5
236.7,962.9
246.7,963.2
256.7,963.3
266.7,963.3
276.7,963.4
286.7,963.6
296.7,963.7
306.7,963.9
316.7,964
326.7,964.2
336.7,964.4
346.7,964.6
356.6,964.8
366.6,965.1
376.6,965.3
386.6,965.6
396.6,965.8
406.6,966.1
416.6,966.3
426.6,966.4
436.6,966.4
446.6,966.4
456.6,966.1
466.6,965.7
476.6,965.1
486.5,964.1
496.4,962.7
506.2,961
515.9,958.7
525.5,955.9
534.9,952.6
544.2,948.9
553.4,944.7
562.3,940.2
571,935.3
579.5,930.1
587.8,924.6
595.9,918.7
603.7,912.6
611.4,906.3
618.8,899.6
626,892.7
633.1,885.5
639.8,878.1
646.4,870.5
652.6,862.7
658.5,854.6
664.2,846.3
669.5,837.8
674.4,829.1
678.9,820.2
683.1,811.2
686.8,801.9
690.1,792.6
692.9,783
695.3,773.3
697.3,763.5
699,753.7
700.3,743.8
701.4,733.8
702.2,723.8
702.8,713.8
703.2,703.9
703.5,693.9
703.8,683.9
703.9,673.9
704.1,663.9
704.2,653.9
704.4,643.9
704.6,633.9
704.8,623.9
705,613.9
705.1,603.9
705.3,594
705.6,584
705.8,574
706,564
706.2,554
706.4,544
706.6,534
706.9,524
707.1,514
707.3,504
707.6,494
707.8,484
708.1,474
708.3,464.1
708.5,454.1
708.8,444.1
709,434.1
709.3,424.1
709.5,414.1
709.7,404.1
710,394.1
710.2,384.1
710.4,374.1
710.7,364.1
710.9,354.1
711.1,344.1
711.4,334.2
711.6,324.2
711.8,314.2
712.1,304.2
712.3,294.2
712.5,284.2
712.7,274.2
713,264.2
713.2,254.2
713.4,244.2
713.6,234.2
713.9,224.2
714.1,214.2
714.3,204.3
714.5,194.3
714.8,184.3
715,174.3
715.2,164.3
715.4,154.3
715.7,144.3
715.9,134.3
716.1,124.3
716.3,114.3
716.6,104.3
716.8,94.3
717,84.4
717.3,74.4
717.5,64.4
717.7,54.4
717.9,44.4
718.2,34.4
718.4,24.4
718.6,14.4
718.9,4.4
719.1,-5.6
719.4,-15.6
719.6,-25.6
719.8,-35.6
720.1,-45.5
720.3,-55.5
720.6,-65.5
720.8,-75.5
721.1,-85.5
721.3,-95.5
721.6,-105.5
721.8,-115.5
722,-125.5
722.3,-135.5
722.5,-145.5
722.7,-155.5
722.9,-165.5
723.1,-175.4
723.3,-185.4
723.4,-195.4
723.6,-205.4
723.7,-215.4
723.8,-225.4
723.8,-235.4
723.9,-245.4
724,-255.4
724.2,-265.4
724.4,-275.4
724.5,-285.4
724.6,-295.4
724.4,-305.4
723.9,-315.3
722.9,-325.2
721.5,-335.1
719.5,-344.9
717,-354.5
714.2,-364.2
711.1,-373.7
707.6,-383.1
703.7,-392.4
699.5,-401.4
694.8,-410.2
689.8,-418.8
684.5,-427.2
678.8,-435.4
672.8,-443.3
666.5,-451.1
659.9,-458.6
653.1,-466
646.1,-473.1
638.8,-479.9
631.2,-486.5
623.5,-492.8
615.5,-498.9
607.3,-504.6
598.9,-510
590.3,-515
581.5,-519.7
572.5,-524
563.3,-528
554,-531.5
544.5,-534.7
534.9,-537.4
525.2,-539.8
515.4,-541.7
505.5,-543.2
495.6,-544.3
485.6,-545.1
475.7,-545.7
465.7,-546
455.7,-546.3
445.7,-546.4
435.7,-546.6
425.7,-546.7
415.7,-546.9
405.7,-547
395.7,-547.2
385.7,-547.3
375.7,-547.5
365.7,-547.7
355.7,-547.8
345.7,-548
335.7,-548.3
325.8,-548.5
315.8,-548.8
305.8,-549
295.8,-549.3
285.8,-549.5
275.8,-549.6
265.8,-549.5
255.8,-549.4
245.8,-549
235.8,-548.3
225.9,-547.4
216,-546.1
206.2,-544.4
196.5,-542.2
186.9,-539.4
177.5,-536.2
168.1,-532.6
159,-528.5
150,-524
141.1,-519.3
132.5,-514.2
124.1,-508.8
115.8,-503.2
107.9,-497.3
100.1,-491.1
92.5,-484.6
85.3,-477.8
78.2,-470.7
71.4,-463.3
64.9,-455.8
58.6,-447.9
52.6,-439.9
46.9,-431.7
41.5,-423.3
36.4,-414.7
31.7,-405.9
27.4,-396.9
23.6,-387.7
20.2,-378.3
17.3,-368.8
14.8,-359.1
12.6,-349.4
10.9,-339.5
9.4,-329.6
8.2,-319.7
7.3,-309.7
6.6,-299.7
6,-289.8
5.6,-279.8
5.4,-269.8
5.1,-259.8
5,-249.8
4.8,-239.8
4.6,-229.8
4.4,-219.8
4.2,-209.8
4,-199.9
3.8,-189.9
3.6,-179.9
3.4,-169.9
3.2,-159.9
3,-149.9
2.8,-139.9
2.6,-129.9
2.4,-119.9
2.2,-109.9
2,-99.9
1.8,-89.9
1.6,-79.9
1.4,-70
1.2,-60
1,-50
0.8,-40
0.6,-30
0.4,-20
0.2,-10
0,0
