x,z
-121.754036,36.58907
-121.753907,36.58885
-121.754172,36.588739
-121.752911,36.586839
-121.752889,36.586811
-121.752861,36.586787
-121.752813,36.586765
-121.752759,36.586753
-121.752698,36.586753
-121.751595,36.586966
-121.751452,36.586998
-121.751378,36.587018
-121.751317,36.587037
-121.751231,36.58707
-121.751123,36.587117
-121.750992,36.587177
-121.750869,36.587232
-121.750766,36.587277
-121.750694,36.587306
-121.750583,36.587344
-121.750449,36.587387
-121.75031,36.587432
-121.750121,36.587486
-121.749889,36.587553
-121.749806,36.587576
-121.749569,36.587626
-121.749527,36.58761
-121.749479,36.587573
-121.749458,36.58755
-121.749442,36.587526
-121.749427,36.587473
-121.749414,36.587343
-121.749391,36.587277
-121.749364,36.587244
-121.749341,36.58723
-121.74931,36.587218
-121.749266,36.587205
-121.749219,36.58717
-121.749207,36.587147
-121.749201,36.587119
-121.749204,36.58707
-121.749245,36.586933
-121.749259,36.586864
-121.749267,36.586768
-121.749264,36.586642
-121.749254,36.586563
-121.749237,36.586492
-121.749174,36.586306
-121.749132,36.586134
-121.749142,36.58595
-121.749183,36.585904
-121.749229,36.585868
-121.749278,36.585842
-121.749315,36.585833
-121.749364,36.585833
-121.749371,36.585786
-121.74932,36.585754
-121.748724,36.585563
-121.748488,36.585481
-121.748453,36.585474
-121.748424,36.585468
-121.748531,36.584761
-121.748597,36.58423
-121.748632,36.583831
-121.748537,36.581205
-121.749362,36.580248
-121.749449,36.580246
-121.749575,36.580115
-121.749993,36.580177
-121.750386,36.580106
-121.750768,36.579876
-121.750909,36.579796
-121.751078,36.579783
-121.751201,36.579811
-121.751387,36.579937
-121.752053,36.579712
-121.752076,36.579443
-121.752352,36.579461
-121.75298,36.579574
-121.753389,36.579582
-121.753661,36.579607
-121.754179,36.579666
-121.754295,36.579674
-121.754413,36.579703
-121.754548,36.579771
-121.754656,36.579846
-121.754706,36.579907
-121.754751,36.580193
-121.754876,36.580185
-121.754872,36.580071
-121.754955,36.58003
-121.755289,36.580234
-121.75583,36.580495
-121.755992,36.58059
-121.756084,36.580655
-121.756218,36.580782
-121.756261,36.580831
-121.756445,36.580935
-121.756675,36.581077
-121.756822,36.58119
-121.757004,36.58138
-121.757285,36.581681
-121.757782,36.581965
-121.757732,36.58199
-121.757743,36.582045
-121.757866,36.582043
-121.758036,36.582212
-121.75806,36.582251
-121.758163,36.582371
-121.758223,36.58245
-121.758248,36.582501
-121.758261,36.582547
-121.758307,36.582816
-121.758322,36.583084
-121.758362,36.583283
-121.758244,36.583761
-121.758226,36.583889
-121.758189,36.583953
-121.758163,36.584163
-121.758182,36.584317
-121.758218,36.584509
-121.758254,36.584611
-121.75825,36.584643
-121.758221,36.584683
-121.758187,36.584702
-121.758139,36.584711
-121.758061,36.584714
-121.75805,36.584757
-121.758017,36.584749
-121.757929,36.584933
-121.757739,36.585309
-121.757657,36.585447
-121.757555,36.585601
-121.757454,36.585842
-121.757537,36.585874
-121.757491,36.585945
-121.757431,36.586044
-121.757377,36.586168
-121.757334,36.586295
-121.757309,36.586377
-121.757288,36.586599
-121.757315,36.586791
-121.757243,36.586965
-121.757008,36.587389
-121.756816,36.587682
-121.756715,36.587826
-121.756656,36.587891
-121.756554,36.587978
-121.756422,36.588061
-121.756197,36.58819
-121.755685,36.588472
-121.755735,36.588538
-121.755707,36.588704
-121.755691,36.588756
-121.755634,36.58883
-121.75551,36.588913
-121.755433,36.588961
-121.755312,36.58905
-121.755215,36.589109
-121.755131,36.589151
-121.75506,36.589174
-121.754949,36.589201
-121.754835,36.589215
-121.754755,36.589217
-121.754622,36.589207
-121.754411,36.589177
-121.754236,36.589158
-121.754091,36.589156
-121.753986,36.58916
-121.754036,36.58907
