x,z
-73.388596,41.930147
-73.390308,41.929022
-73.389411,41.92755
-73.388993,41.92772
-73.387459,41.925697
-73.387321,41.925401
-73.3872,41.925277
-73.387081,41.925208
-73.386986,41.92517
-73.38689,41.925123
-73.386721,41.925074
-73.386485,41.925039
-73.386169,41.925047
-73.385172,41.925104
-73.384759,41.925134
-73.384525,41.925145
-73.384255,41.92513
-73.383976,41.925102
-73.383621,41.925062
-73.383493,41.925048
-73.383386,41.92504
-73.383297,41.925045
-73.383205,41.925052
-73.382739,41.925129
-73.382694,41.92513
-73.382658,41.925128
-73.382626,41.925111
-73.382291,41.924968
-73.38189,41.925131
-73.379731,41.925665
-73.375712,41.926516
-73.375067,41.927806
-73.375662,41.929316
-73.378251,41.930105
-73.379618,41.930537
-73.380446,41.930787
-73.380686,41.930166
-73.380905,41.930139
-73.381547,41.930161
-73.382291,41.929421
-73.384031,41.930031
-73.385569,41.93042
-73.386558,41.930556
-73.387571,41.930023
-73.388596,41.930147
