x,z
11.366335,43.998879
11.366369,43.998927
11.366379,43.998951
11.366369,43.999001
11.366307,43.999009
11.366259,43.99899
11.366196,43.998967
11.366156,43.998984
11.3661,43.998982
11.366091,43.998955
11.366089,43.998923
11.36611,43.998889
11.36612,43.998867
11.366122,43.99883
11.366113,43.998808
11.366089,43.998779
11.36606,43.998772
11.365994,43.998789
11.36598,43.998804
11.365941,43.998869
11.365934,43.998928
11.36591,43.998967
11.365884,43.99898
11.365839,43.998974
11.365796,43.998934
11.365701,43.998762
11.36568,43.998723
11.365683,43.998698
11.365696,43.998669
11.365716,43.998651
11.365747,43.99864
11.365797,43.99864
11.365848,43.998651
11.365879,43.998663
11.365939,43.998683
11.365978,43.998681
11.366034,43.998668
11.366053,43.998626
11.366055,43.998581
11.366034,43.998547
11.366011,43.998519
11.365994,43.998509
11.365954,43.998492
11.365895,43.998466
11.365818,43.998465
11.365787,43.998472
11.365743,43.998505
11.365678,43.998532
11.365616,43.998549
11.365557,43.998559
11.365522,43.998548
11.365474,43.998514
11.36544,43.998485
11.365401,43.99845
11.365378,43.998411
11.365367,43.998371
11.365381,43.998334
11.365398,43.998315
11.365432,43.998303
11.365479,43.998316
11.365504,43.99834
11.365517,43.998377
11.365552,43.998412
11.365619,43.998424
11.365662,43.998412
11.365707,43.998397
11.365756,43.998374
11.3658,43.998338
11.365815,43.998318
11.365802,43.998287
11.365764,43.99827
11.365733,43.998268
11.365678,43.998257
11.365628,43.998233
11.365628,43.998193
11.365657,43.998167
11.365717,43.998162
11.365817,43.998188
11.365856,43.998215
11.36591,43.998237
11.365955,43.998269
11.366004,43.998276
11.366048,43.998275
11.366125,43.998274
11.366179,43.998271
11.366255,43.998243
11.366286,43.998217
11.366317,43.998195
11.366306,43.998137
11.366295,43.998107
11.366295,43.99807
11.36634,43.998051
11.366402,43.998077
11.366445,43.998147
11.366466,43.998155
11.366492,43.998165
11.366561,43.998172
11.366649,43.998086
11.366722,43.998083
11.366787,43.998129
11.366791,43.998189
11.36675,43.998291
11.36669,43.998378
11.366561,43.998421
11.366441,43.998414
11.366393,43.998415
11.366307,43.998418
11.366247,43.998441
11.366243,43.99854
11.366335,43.998879
