x,z
12.1,9.1
22.9,19.5
33.8,29.8
44.6,40.2
55.4,50.6
66.3,60.9
77.1,71.3
88,81.7
98.8,92
109.7,102.4
120.5,112.8
131.4,123.1
142.2,133.5
153.1,143.9
163.9,154.3
174.8,164.6
185.6,175
196.4,185.4
207.2,195.9
218,206.3
228.8,216.7
239.5,227.2
250.2,237.7
261,248.2
271.7,258.7
282.4,269.2
293.2,279.7
304,290.1
314.8,300.5
325.3,311.2
335.2,322.4
343.2,335
347.1,349.5
346.1,364.4
340.4,378.1
330.7,389.5
319.1,399
305.4,404.6
290.5,403.3
275.8,400.6
261.1,397.4
246.4,394.3
231.7,391.3
217,388.5
202.3,385.5
187.5,382.5
172.9,379.4
158.3,376.2
144,371.9
130.1,365.8
117.8,357.2
108.7,345.7
103.5,331.5
98.3,317.5
89,306
75.5,299.6
61,295.9
46.4,292.6
31.8,289.2
17.2,285.8
2.6,282.3
-12.1,278.9
-26.7,275.5
-41.3,272
-55.9,268.6
-70.5,265.1
-85.1,261.7
-99.7,258.3
-114.3,254.8
-128.9,251.4
-143.5,248
-158.1,244.6
-172.7,241.1
-187.3,237.7
-202,234.2
-216.6,230.8
-231.2,227.3
-245.8,223.9
-260.4,220.4
-275,217
-289.6,213.6
-304.2,210.3
-318.8,206.9
-333.4,203.1
-347.7,198.7
-361.7,193.2
-374.8,186.2
-387,177.4
-398.1,167.3
-408.5,156.5
-418.5,145.4
-428.4,134.1
-438.2,122.8
-448,111.4
-457.8,100.1
-467.6,88.7
-477.5,77.4
-487.3,66
-497.2,54.7
-507.1,43.4
-516.9,32.1
-526.8,20.9
-536.8,9.6
-546.7,-1.7
-556.6,-13
-566.5,-24.2
-576.4,-35.5
-586.3,-46.8
-596.1,-58
-606.1,-69.3
-616.1,-80.5
-626.1,-91.8
-634.9,-103.8
-641.3,-117.3
-644.3,-132
-643.6,-146.9
-638.8,-161
-631.5,-174.3
-621.8,-185.5
-609,-193.3
-595.5,-199.7
-581.9,-206
-568.3,-212.3
-554.6,-218.7
-541.1,-225.1
-527.5,-231.5
-513.9,-237.7
-500.2,-244
-487.3,-251.4
-477.6,-262.4
-473.3,-277
-474.5,-291.8
-478.6,-306.1
-483.7,-320.3
-488.7,-334.5
-493.7,-348.6
-498.6,-362.8
-503.6,-377
-508.5,-391.1
-513.4,-405.3
-518.4,-419.5
-523.3,-433.7
-528.2,-447.8
-533.1,-462
-538,-476.2
-542.9,-490.4
-547.9,-504.5
-552.9,-518.7
-557.9,-532.8
-562.9,-547
-568,-561.1
-573.1,-575.2
-578.2,-589.3
-583.3,-603.4
-588.5,-617.5
-593.5,-631.6
-598.5,-645.8
-602.4,-660.3
-604.1,-675.2
-604,-690.2
-602.2,-705.1
-599,-719.7
-594.7,-734.1
-590.7,-748.6
-588.3,-763.3
-588.1,-778.3
-590.1,-793.2
-594.1,-807.6
-599.3,-821.7
-606.7,-834.7
-616.9,-845.7
-627.8,-856.1
-638.6,-866.4
-649.5,-876.7
-660.4,-887
-671.3,-897.3
-682.2,-907.6
-693.1,-918
-704,-928.3
-714.9,-938.6
-725.8,-948.9
-736.7,-959.2
-747.6,-969.6
-758.4,-979.9
-769.3,-990.3
-780.3,-1000.5
-791.3,-1010.7
-802.5,-1020.7
-813.7,-1030.7
-822.1,-1042.9
-826.4,-1057.3
-825.1,-1072
-818.9,-1085.7
-808.7,-1096.3
-794.9,-1102.4
-780.3,-1103.9
-766.6,-1098.4
-756.1,-1087.7
-747.7,-1075.3
-739.9,-1062.5
-732.2,-1049.6
-724.3,-1036.9
-716.2,-1024.2
-707.7,-1011.8
-698.8,-999.8
-689.5,-988
-680,-976.5
-670.4,-964.9
-660.8,-953.3
-650.9,-942
-640.7,-931.1
-630,-920.5
-619.1,-910.3
-607.9,-900.3
-596.4,-890.6
-584.7,-881.2
-572.9,-871.9
-560.9,-862.9
-548.7,-854.2
-536.3,-845.7
-523.7,-837.5
-511,-829.7
-498,-822.1
-485,-814.7
-471.8,-807.6
-458.5,-800.6
-445.1,-793.7
-431.8,-786.9
-418.4,-780
-405.1,-773.1
-391.8,-766.3
-379.3,-757.9
-369.3,-747
-363.4,-733.3
-362.3,-718.4
-367.7,-704.7
-378.3,-694.1
-391.1,-686.4
-404.3,-679.3
-417.7,-672.5
-431.2,-665.9
-444.5,-659
-457.3,-651.2
-468.9,-641.9
-478.5,-630.6
-485.4,-617.1
-489.1,-602.4
-489.3,-587.5
-486.5,-572.9
-482,-558.6
-477,-544.4
-471.9,-530.3
-466.9,-516.2
-461.9,-502
-457,-487.8
-452.2,-473.6
-447.3,-459.4
-442.4,-445.2
-437.5,-431.1
-432.4,-417
-427.3,-402.8
-422.5,-388.6
-418.7,-374.1
-415.6,-359.4
-412.5,-344.7
-409.4,-330.1
-406.3,-315.4
-403.2,-300.7
-400.2,-286
-397.4,-271.3
-394.6,-256.5
-392,-241.7
-389.5,-226.9
-387.2,-212.1
-385,-197.3
-383.1,-182.4
-381.8,-167.4
-382.1,-152.5
-389.1,-139.4
-402.5,-133.4
-417.4,-131.8
-432.3,-133
-447.3,-135
-461.1,-130.1
-472.8,-120.8
-480.6,-108
-481.5,-93.4
-475.1,-79.9
-464.3,-69.5
-451.4,-61.8
-437.7,-55.9
-423.5,-51.1
-409,-47.2
-394.3,-44.2
-379.5,-41.7
-364.6,-39.6
-349.8,-37.8
-334.8,-36
-319.9,-35.5
-305,-37.4
-291,-42.6
-278.9,-51.3
-269.5,-63
-263.2,-76.6
-260.2,-91.3
-261,-106.1
-266,-120.1
-273.8,-133.1
-282,-145.6
-289.8,-158.3
-296.9,-171.6
-303.1,-185.3
-308.3,-199.3
-312.7,-213.6
-316.3,-228.2
-312.3,-242.1
-298.6,-247
-284.8,-242
-272.1,-233.9
-259,-226.5
-246.2,-218.8
-233.5,-210.7
-221.1,-202.3
-208.8,-193.7
-196.7,-184.8
-184.8,-175.6
-173.1,-166.2
-161.7,-156.6
-150.4,-146.6
-139.4,-136.5
-128.4,-126.2
-117.6,-115.9
-106.8,-105.4
-96,-95
-85.3,-84.5
-74.5,-74.1
-63.7,-63.7
-52.9,-53.3
-42.1,-42.9
-31.2,-32.5
-20.4,-22.1
-9.6,-11.7
1.2,-1.3
