x,z
-87.999584,43.799206
-87.999219,43.799297
-87.998791,43.799403
-87.99822,43.799551
-87.997618,43.799707
-87.997523,43.799753
-87.997482,43.79979
-87.997453,43.799836
-87.997473,43.799899
-87.997568,43.799953
-87.997714,43.799978
-87.997989,43.799971
-87.998243,43.79995
-87.998635,43.799833
-87.998744,43.799725
-87.9988,43.799702
-87.998854,43.799709
-87.998903,43.799734
-87.998982,43.799833
-87.999024,43.79987
-87.999076,43.799876
-87.999123,43.799865
-87.999182,43.799838
-87.999534,43.799608
-87.999844,43.799421
-88.000167,43.799206
-88.000394,43.799049
-88.00051,43.798937
-88.000556,43.798862
-88.000592,43.798767
-88.000611,43.798619
-88.000635,43.798219
-88.000676,43.797863
-88.000661,43.797786
-88.000617,43.797712
-88.000488,43.797627
-88.000365,43.797596
-88.000231,43.79758
-88.000159,43.797581
-88.000086,43.797596
-87.999955,43.79768
-87.99986,43.797789
-87.999847,43.797916
-87.999815,43.798324
-87.999813,43.798493
-87.999815,43.798543
-87.99986,43.798595
-88,43.798672
-88.000123,43.798726
-88.000222,43.79874
-88.000351,43.798725
-88.000458,43.798686
-88.000611,43.798619
