x,z
-83.818803,34.144694
-83.81877,34.144952
-83.818747,34.145121
-83.818709,34.145313
-83.818652,34.145553
-83.818593,34.145773
-83.818458,34.146169
-83.818348,34.146492
-83.818218,34.146895
-83.818093,34.147283
-83.818013,34.147536
-83.817798,34.148165
-83.817785,34.148222
-83.817779,34.148253
-83.81778,34.148285
-83.817788,34.148313
-83.817801,34.14833
-83.817822,34.148347
-83.818009,34.148476
-83.818188,34.148596
-83.818219,34.148624
-83.818246,34.148662
-83.818264,34.148704
-83.818275,34.148751
-83.818283,34.148808
-83.818281,34.148871
-83.818261,34.148933
-83.818229,34.148997
-83.818155,34.149113
-83.818031,34.149312
-83.817871,34.14959
-83.817804,34.149672
-83.817753,34.149747
-83.817621,34.149921
-83.817547,34.149993
-83.817478,34.150045
-83.817386,34.150118
-83.817297,34.150166
-83.817265,34.150182
-83.817137,34.150249
-83.817,34.150306
-83.816591,34.150477
-83.816356,34.150577
-83.816126,34.150667
-83.815954,34.150726
-83.815805,34.150769
-83.815719,34.150787
-83.815641,34.1508
-83.815529,34.150807
-83.815436,34.150808
-83.815339,34.1508
-83.81522,34.150786
-83.815109,34.150763
-83.814947,34.15073
-83.81486,34.1507
-83.814256,34.150398
-83.81203,34.149218
-83.811237,34.148802
-83.811096,34.148725
-83.810987,34.148657
-83.810795,34.148532
-83.810667,34.14843
-83.810579,34.14835
-83.810483,34.14825
-83.810418,34.148172
-83.810356,34.148092
-83.810315,34.148013
-83.810294,34.147951
-83.810282,34.147888
-83.810276,34.147832
-83.810274,34.147766
-83.810279,34.147706
-83.810293,34.147638
-83.810309,34.147577
-83.810331,34.147512
-83.810388,34.14738
-83.810428,34.147298
-83.810481,34.147189
-83.810529,34.147102
-83.810591,34.147006
-83.810635,34.146937
-83.810688,34.14686
-83.810744,34.146785
-83.810819,34.146716
-83.810879,34.146661
-83.810917,34.146621
-83.811111,34.146474
-83.811316,34.146317
-83.81152,34.146153
-83.811641,34.146032
-83.811741,34.145916
-83.811825,34.145794
-83.811923,34.145621
-83.811957,34.145542
-83.811981,34.145477
-83.812007,34.145377
-83.81204,34.145234
-83.812079,34.145117
-83.812092,34.145092
-83.81212,34.145057
-83.812156,34.145028
-83.812201,34.145008
-83.812316,34.144977
-83.812402,34.144954
-83.812581,34.144898
-83.812766,34.144834
-83.812859,34.144798
-83.812984,34.144729
-83.813055,34.144683
-83.813118,34.144635
-83.813168,34.144596
-83.813211,34.144555
-83.813283,34.144482
-83.813326,34.14443
-83.81335,34.144395
-83.813404,34.144298
-83.8135,34.144037
-83.813625,34.143681
-83.813701,34.143481
-83.813734,34.143373
