x,z
-2.4,-8.6
-11.2,-20.8
-20,-32.9
-28.8,-45.1
-37.6,-57.2
-46.3,-69.4
-54.6,-82
-59.2,-96
-58.5,-111
-55.3,-125.6
-51.2,-140
-46,-154.1
-39.8,-167.8
-32.7,-181
-24.6,-193.6
-15.6,-205.6
-6,-217
4.4,-228
16.3,-236.8
30.8,-240.1
45.1,-235.9
57.6,-227.9
68.4,-217.2
80.2,-208.6
95.1,-205.6
107.7,-212
117.7,-223.2
127.5,-234.6
137.3,-245.9
147.3,-257.1
157.5,-268.1
167.8,-279
178.2,-289.8
188.7,-300.5
199.2,-311.2
209.7,-321.9
220.1,-332.7
230.4,-343.7
240.4,-354.9
250.1,-366.3
259.4,-378.1
268.4,-390.1
276.9,-402.4
285,-415
292.7,-427.9
300,-441
307,-454.2
313.7,-467.6
320.1,-481.2
327.6,-494.2
337.1,-505.6
348.4,-515.5
361.1,-523.5
375,-529
389.7,-531.6
404.7,-531.4
419.4,-529.1
433.9,-524.9
447.4,-518.5
459.3,-509.5
469.6,-498.6
478.5,-486.6
486.6,-474
494.6,-461.2
502.7,-448.6
510.9,-436
519.1,-423.5
527.2,-410.9
535.2,-398.2
543,-385.4
550.6,-372.4
558,-359.4
565.4,-346.3
572.7,-333.2
579.5,-319.9
586,-306.4
592.5,-292.8
599.1,-279.4
605.7,-265.9
612.4,-252.5
619.1,-239.1
625.8,-225.7
632.6,-212.3
639.4,-198.9
646.2,-185.5
653,-172.1
659.8,-158.8
666.6,-145.4
673.4,-132
680.2,-118.7
687,-105.3
693.8,-91.9
700.6,-78.6
707.4,-65.2
714.2,-51.8
720.9,-38.4
727.7,-25
734.4,-11.6
741.1,1.8
747.9,15.2
754.6,28.6
761.4,42
768.1,55.4
774.9,68.8
781.6,82.2
788.4,95.5
795.2,108.9
802.1,122.3
808.9,135.6
815.6,149
822.4,162.4
829.4,175.7
837.6,188.2
847.8,199.1
859.4,208.7
871.7,217
884.6,224.5
897.5,232.3
910.1,240.4
922.3,249.1
933.9,258.5
944.2,269.4
952.5,281.9
958.1,295.8
960.7,310.4
960.1,325.4
956.3,339.9
949.7,353.4
940.9,365.4
931,376.6
921.4,388.2
913.5,400.9
907.6,414.7
904,429.2
902.9,444.1
903.9,459.1
906.5,473.9
910.1,488.4
914.6,502.7
919.5,516.9
924,531.2
928.6,545.4
933.4,559.7
936.6,574.3
936.6,589.2
932.6,603.7
925.4,616.8
916.8,629.1
909.1,641.9
902.2,655.2
896.3,669
891.5,683.2
888.2,697.8
886.1,712.6
884.8,727.6
883.8,742.6
882.8,757.5
881.8,772.5
880.8,787.5
879.8,802.4
878.7,817.4
877.7,832.4
876.6,847.3
875.4,862.3
874,877.2
872.5,892.1
870.9,907
868.9,921.9
866.7,936.8
864.3,951.6
861.6,966.3
858.6,981
855.4,995.7
851.9,1010.3
848.2,1024.8
844.3,1039.3
840.1,1053.7
835.8,1068
831.2,1082.3
826.5,1096.6
821.6,1110.7
816.3,1124.8
810.3,1138.5
802.7,1151.3
791.7,1161.6
779.5,1170.2
766.2,1177.2
752.3,1182.8
738,1187.2
723.4,1190.8
708.6,1192.4
693.7,1191.4
678.8,1189.7
663.8,1188.1
648.9,1186.6
634,1185.1
619.1,1183.7
604.1,1182.2
589.2,1180.6
574.3,1179
559.4,1177.4
544.5,1175.6
529.6,1173.9
514.7,1172.1
499.8,1170.3
484.9,1168.5
470,1166.7
455.1,1164.9
440.2,1163
425.4,1161.1
410.5,1159.2
395.6,1157.3
380.8,1155.3
365.9,1153.3
351,1151.2
336.2,1149.1
321.3,1146.9
306.5,1144.6
291.8,1141.7
277.3,1138
263.2,1133
249.5,1127
236.2,1120.1
224.7,1110.6
213.9,1100.1
203,1089.8
192.5,1079.1
182.4,1068
172.7,1056.6
164.1,1044.3
156.7,1031.3
150.1,1017.9
143.8,1004.3
137.6,990.6
131.4,976.9
125.2,963.3
119,949.6
112.6,936
106.2,922.5
100.1,908.8
95.3,894.6
93.8,879.9
96.6,865.1
103,851.5
112.5,840.1
124.6,831.6
138.8,826.2
153.5,825.7
167.9,830.1
180.2,838.2
190.6,849.4
197,862.6
200.4,877.2
202.1,892.2
203.2,907.1
204,922
205,937
207.2,951.9
213.3,965.4
223.9,975.9
237.5,982
252.2,984.5
267.2,984.3
281.9,981.6
296.2,976.9
308.8,968.9
320.5,959.5
331.9,949.8
343.3,940.1
354.7,930.4
366.2,920.7
377.7,911
389.1,901.3
400.6,891.6
412,881.9
423.4,872.2
434.8,862.5
446.2,852.7
457.6,843
469,833.2
480.4,823.4
491.8,813.7
503.2,803.9
514.5,794.1
525.9,784.3
537.3,774.5
548.6,764.7
560,754.9
571.4,745.2
582.7,735.4
594.1,725.6
605.5,715.8
616.9,706
628.3,696.3
639.6,686.5
651,676.7
662.4,667
673.8,657.2
685.2,647.4
696.5,637.6
707.9,627.9
719.3,618.1
730.7,608.3
742,598.5
753.4,588.7
764.8,579
776.2,569.2
787.3,559.1
797.7,548.4
805.5,535.8
807.9,521
808.1,506
807.4,491
806,476.1
803.9,461.3
801.1,446.5
797.5,431.9
793.4,417.5
788.6,403.3
783.5,389.2
777.1,375.7
767.5,364.3
755.1,355.7
741.6,358.2
732.5,370.3
727.1,384.2
722.3,398.4
717.7,412.7
712.9,426.9
708.1,441.1
703.3,455.3
697.3,469
685.9,478.6
671.5,480.6
657.9,474.4
646.1,465.2
634.9,455.3
623.5,445.5
612.1,435.8
600.7,426
589.3,416.2
578,406.4
566.7,396.6
555.3,386.8
543.9,377.1
532.3,367.6
520.5,358.3
508.3,349.6
495.5,341.7
482,335.1
467.8,330.7
453,327.8
438.2,325.6
423.3,325
408.3,325.7
393.3,327.1
378.4,328.6
363.5,329.8
348.5,330.4
333.5,330.7
318.5,331
303.5,331.6
288.5,331.9
273.6,330.7
259,327.6
244.6,323.1
232,315.5
222.8,303.6
214,291.5
205.3,279.3
196.7,267
187.9,254.8
179.2,242.6
170.4,230.5
161.7,218.3
152.9,206.1
144.1,194
135.3,181.8
126.5,169.7
117.7,157.5
108.9,145.4
