x,z
2.4,-2.2
13.1,-19.1
23.8,-36
34.5,-52.8
45.3,-69.7
56,-86.6
66.7,-103.5
77.4,-120.4
88.4,-137.1
94.9,-155.2
82.7,-170.2
62.8,-168.4
43,-169.5
34.9,-186.4
37.2,-206.2
39.6,-226
42.1,-245.9
44.6,-265.7
47,-285.6
49.3,-305.4
51.6,-325.3
54.3,-345.1
57.2,-364.9
60.8,-384.5
65,-404.1
70,-423.5
76.1,-442.5
83.2,-461.2
90.8,-479.6
98.7,-498
106.5,-516.4
114.3,-534.9
122.1,-553.3
129.9,-571.7
137.8,-590
145.7,-608.4
153.5,-626.8
161.1,-645.3
167.9,-664.1
172.7,-683.4
174.1,-703.3
172.4,-723.4
168.2,-742.8
161.5,-761.6
153.9,-780.2
146.5,-798.7
139,-817.2
131.5,-835.8
124,-854.3
116.6,-872.9
108.9,-891.3
100.7,-909.6
91.4,-927.2
80.4,-944
68.3,-959.9
55.2,-974.9
41.1,-989.2
26.2,-1002.5
10.5,-1014.8
-6.2,-1025.8
-23.5,-1035.7
-41.1,-1045.2
-58.6,-1054.9
-75.9,-1065
-93.1,-1075.1
-110.4,-1085.1
-127.8,-1095
-145.2,-1104.8
-162.6,-1114.7
-179.7,-1125.1
-196.2,-1136.4
-212,-1148.6
-227,-1161.7
-241.3,-1175.8
-254.9,-1190.4
-268.4,-1205.1
-282,-1219.8
-295.4,-1234.6
-308.6,-1249.6
-321.1,-1265.2
-333,-1281.3
-344.1,-1297.9
-354.3,-1315.1
-363.5,-1332.9
-371.5,-1351.2
-378.6,-1369.9
-385.1,-1388.8
-391.2,-1407.8
-397,-1426.9
-400.2,-1446.6
-398.8,-1466.6
-393.3,-1485.7
-384.5,-1503.6
-372.4,-1519.5
-357.1,-1532.3
-340.4,-1543.2
-323.5,-1553.9
-306.8,-1565
-290,-1575.8
-273.3,-1586.7
-256.6,-1597.8
-237.7,-1603.8
-218,-1603
-200.4,-1593.7
-188,-1578.3
-177.8,-1561.1
-167.8,-1543.7
-157.7,-1526.5
-147.4,-1509.4
-137.2,-1492.2
-127.1,-1474.9
-117.3,-1457.5
-107.5,-1440
-97.7,-1422.6
-86.8,-1405.9
-72.2,-1392.4
-54.6,-1383
-35.2,-1378.7
-15.3,-1380.1
3.5,-1386.5
20.8,-1396.7
38.9,-1405
57.9,-1411
77.8,-1411.7
97,-1406.5
113.9,-1396
