x,z
-6.8,11.4
-16.8,22.6
-26.9,33.7
-37.1,44.7
-47.5,55.4
-58.5,65.7
-70,75.3
-82,84.3
-94.5,92.6
-107.4,100.2
-120.8,106.9
-134.9,111.9
-149.5,115.3
-164.3,117.9
-179.1,120.2
-194,121.5
-208.9,120.2
-223.4,116.4
-237.2,110.4
-250,102.6
-261.7,93.4
-272.8,83.2
-284.4,73.5
-298.4,70.1
-311.8,76.2
-323,86.4
-335.4,94.8
-349.5,95.8
-362.3,87.9
-374.1,78.4
-385.7,69
-396.9,59.1
-407.9,48.9
-418.7,38.5
-429.6,28.1
-440.5,17.8
-451.4,7.5
-462.2,-2.9
-473,-13.3
-483.8,-23.7
-494.7,-34
-505.7,-44.3
-516.8,-54.4
-528.1,-64.2
-539.9,-73.4
-552.3,-81.9
-564.6,-90.6
-577.3,-98.4
-590.8,-105
-604.4,-111.3
-618.3,-117
-632.4,-121.9
-646.7,-126.8
-661.1,-131.1
-675.7,-133.8
-690.7,-133.8
-705.4,-131.2
-719.8,-127
-734.1,-122.5
-748.4,-118
-762.8,-113.5
-777,-108.8
-791.3,-104.1
-805.5,-99.3
-819.6,-94.4
-833.8,-89.5
-848,-84.5
-862.2,-79.7
-876.4,-74.8
-890.6,-70
-904.8,-65.1
-919,-60.3
-933.2,-55.4
-947.3,-50.5
-961.5,-45.6
-975.7,-40.7
-989.9,-35.7
-1004,-30.8
-1018.2,-26
-1032.4,-21.2
-1046.7,-16.4
-1060.9,-11.7
-1075.2,-7
-1089.4,-2.4
-1103.7,2.2
-1118,6.9
-1132.3,11.5
-1146.5,16.2
-1160.8,20.8
-1174.9,25.8
-1188.8,31.6
-1202.5,37.6
-1216.3,43.5
-1230,49.6
-1243.7,55.7
-1257.4,61.9
-1270.9,68.4
-1284.3,75.1
-1297.6,82
-1310.8,89.2
-1323.9,96.6
-1336.8,104.1
-1349.7,111.9
-1362.4,119.7
-1375.2,127.7
-1387.8,135.8
-1400.3,144
-1412.8,152.4
-1425.1,160.9
-1437.2,169.8
-1449,179.1
-1460.7,188.5
-1472.4,197.9
-1483.9,207.5
-1495,217.5
-1505.3,228.4
-1514.4,240.4
-1521.7,253.5
-1526.8,267.5
-1529.2,282.3
-1528.4,297.2
-1524,311.5
-1516.9,324.8
-1506.5,335.4
-1493.3,342.5
-1479.3,347.8
-1464.8,351.7
-1450.1,354.4
-1435.2,356
-1420.2,356.5
-1405.3,354.9
-1391.1,350.3
-1378,343
-1366.6,333.3
-1358.1,321.1
-1351.6,307.5
-1345.4,293.9
-1339.2,280.2
-1333,266.5
-1326.8,252.9
-1320.6,239.2
-1314.4,225.6
-1308.2,211.9
-1302.1,198.2
-1295.6,184.7
-1288.5,171.4
-1280.7,158.7
-1272,146.4
-1262.7,134.7
-1252.6,123.6
-1241.9,113.1
-1230.6,103.3
-1218.6,94.2
-1206.2,85.8
-1193.4,78
-1180.2,70.8
-1166.7,64.3
-1152.8,58.7
-1138.6,53.9
-1124.3,49.2
-1110.1,44.4
-1095.8,40.1
-1081.3,36.3
-1066.6,33.3
-1051.8,30.7
-1036.9,28.8
-1022,27.5
-1007,27
-992,27.3
-977,28.3
-962.1,30
-947.2,31.6
-932.6,34.8
-918.7,40.2
-905.5,47.3
-892.9,55.4
-881.1,64.7
-870.3,75.1
-860.2,86.2
-850.6,97.7
-841.9,109.9
-834.2,122.8
-826.3,135.5
-818.1,148.1
-809.9,160.6
-801.7,173.2
-794.1,186.1
-787.1,199.4
-780.3,212.8
-771.9,225.2
-760.1,234.2
-745.5,235.7
-734.3,226.5
-732.1,211.9
-736.5,197.6
-742.8,184
-748.5,170.2
-754.5,156.4
-760.4,142.6
-765.6,128.6
-770,114.2
-772.5,99.4
-772.2,84.4
-770.2,69.6
-767.6,54.8
-764.4,40.2
-761.2,25.5
-758.1,10.8
-755,-3.9
-751.9,-18.5
-748.8,-33.2
-745.8,-47.9
-742.7,-62.6
-739.6,-77.3
-736.5,-92
-733.4,-106.6
-730.2,-121.3
-727,-136
-723.7,-150.6
-720.4,-165.2
-717.2,-179.9
-714,-194.6
-707.8,-207.9
-694.8,-214.2
-679.7,-214.3
-664.8,-212.7
-649.9,-211.2
-635,-209.9
-620,-208.4
-605.1,-206.9
-590.2,-205.4
-575.3,-204
-560.2,-202.7
-546.7,-197.4
-536.2,-186.7
-526.6,-175.1
-517.2,-163.4
-507.9,-151.6
-498.5,-139.9
-489.2,-128.2
-479.8,-116.5
-470.4,-104.8
-461,-93.1
-451.4,-81.5
-441.6,-70.1
-431.4,-59.2
-420.6,-48.9
-409,-39.5
-396.5,-31.2
-383.1,-24
-369.6,-17.7
-356,-11.5
-342.2,-5.3
-328,-0.8
-313.3,1.8
-298.4,3.3
-283.4,3.8
-268.3,3.8
-253.3,3
-238.5,1.2
-224,-2.2
-209.8,-7.2
-195.8,-12.6
-182,-18.4
-168.5,-24.9
-155.2,-32
-142.7,-40.4
-132.1,-50.8
-123.5,-62.9
-117.2,-76.5
-113.4,-91.1
-112.3,-106.1
-114.1,-120.9
-118.4,-135.2
-123.3,-149.4
-128.2,-163.6
-133.2,-177.7
-138.1,-191.9
-141.6,-206.5
-141.9,-221.4
-139,-236.1
-133.4,-250
-125.4,-262.6
-115.2,-273.7
-103.4,-282.8
-90.2,-289.9
-76,-294.8
-61.2,-296.7
-46.3,-297
-31.2,-296.9
-16.2,-297.1
-1.4,-299.1
13,-303.4
26.3,-310
38.2,-319.2
48.5,-330.1
57,-342.4
63.1,-356
67.5,-370.4
71.6,-384.9
76,-399.2
80.1,-413.6
84.4,-428
91.1,-441.3
100.7,-452.8
112.6,-461.9
126.3,-468.1
140.9,-471.1
155.8,-471.8
170.9,-472
185.8,-473.3
200.3,-476.5
214.1,-482.6
226.3,-491.4
236.5,-502.3
245.7,-514.1
254.2,-526.4
262.4,-539
270.7,-551.6
279,-564
287.3,-576.5
295.8,-588.9
304.1,-601.4
312.3,-614
320.2,-626.6
328.7,-639
338.9,-650.1
351.4,-658.1
365.6,-662.2
380.7,-662.5
395.4,-659.3
408.8,-652.7
420.1,-643
428.5,-630.7
434.2,-616.8
438.6,-602.5
442.9,-588.1
446.8,-573.6
448.9,-558.7
448.1,-543.9
444.4,-529.4
438.3,-515.6
430.5,-502.9
421.4,-491
411.7,-479.5
401.9,-468.2
392,-456.9
382.3,-445.5
372.6,-434
362.9,-422.6
353.3,-411.1
343.6,-399.6
334,-388.1
324.3,-376.6
314.6,-365.2
305,-353.7
295.3,-342.2
285.6,-330.8
275.9,-319.3
266.2,-307.9
256.5,-296.4
246.8,-285
237.1,-273.6
227.3,-262.1
217.6,-250.7
207.9,-239.3
198.2,-227.9
188.4,-216.4
178.7,-205
169,-193.6
159.2,-182.2
149.5,-170.8
139.7,-159.4
130,-148
120.2,-136.6
110.5,-125.2
100.7,-113.8
91,-102.4
81.2,-91
71.5,-79.6
61.7,-68.2
52,-56.8
42.2,-45.3
32.5,-33.9
22.7,-22.5
12.9,-11.2
3.1,0.1
