x,z
-79.199367,36.566372
-79.199301,36.566233
-79.199207,36.566102
-79.199088,36.565994
-79.198926,36.565933
-79.1987,36.565891
-79.198412,36.56583
-79.198103,36.565814
-79.197801,36.56581
-79.197492,36.565784
-79.197175,36.565759
-79.196957,36.565722
-79.196811,36.565733
-79.196662,36.565799
-79.196564,36.5659
-79.196468,36.566198
-79.196415,36.566482
-79.196397,36.566824
-79.196397,36.567162
-79.196427,36.567402
-79.196436,36.567573
-79.196395,36.567771
-79.196342,36.567884
-79.196246,36.567996
-79.196171,36.568065
-79.196125,36.568161
-79.196114,36.56828
-79.196141,36.568392
-79.196205,36.568521
-79.196228,36.568624
-79.196214,36.568736
-79.196116,36.568892
-79.19605,36.569039
-79.196027,36.569151
-79.196082,36.569268
-79.196194,36.569367
-79.19634,36.569437
-79.196541,36.569474
-79.196694,36.569474
-79.196859,36.569421
-79.196999,36.569314
-79.197104,36.569132
-79.197175,36.568989
-79.197239,36.568903
-79.197783,36.568416
-79.197959,36.568275
-79.198092,36.568192
-79.198172,36.568098
-79.198165,36.568034
-79.198082,36.567992
-79.197936,36.568029
-79.197707,36.568166
-79.197485,36.568374
-79.197181,36.568662
-79.196864,36.56893
-79.196742,36.569002
-79.196612,36.569042
-79.196491,36.569042
-79.196409,36.568989
-79.196367,36.568908
-79.196383,36.568761
-79.196575,36.568218
-79.196662,36.567983
-79.196788,36.567496
-79.196841,36.567351
-79.19693,36.567167
-79.196976,36.56703
-79.196996,36.566899
-79.196976,36.566793
-79.196887,36.566657
-79.196852,36.566526
-79.196857,36.566405
-79.196912,36.566311
-79.197017,36.566225
-79.197181,36.566161
-79.19738,36.566152
-79.197556,36.566185
-79.197723,36.566251
-79.197865,36.566273
-79.198021,36.566256
-79.198217,36.5662
-79.1984,36.566183
-79.198588,36.566198
-79.198766,36.566214
-79.198905,36.566203
-79.199029,36.566185
-79.199123,36.566229
-79.199111,36.566328
-79.199004,36.566381
-79.198839,36.566372
-79.198643,36.566346
-79.198384,36.566348
-79.198098,36.566396
-79.197858,36.566475
-79.197659,36.566578
-79.197497,36.56671
-79.197394,36.566864
-79.197291,36.567189
-79.197291,36.567323
-79.197353,36.567467
-79.197502,36.567604
-79.197719,36.567709
-79.197989,36.56776
-79.198233,36.567814
-79.198425,36.567913
-79.198558,36.568067
-79.19862,36.568277
-79.198645,36.568592
-79.19867,36.569039
-79.198732,36.569375
-79.198819,36.569661
-79.198837,36.56979
-79.198768,36.569916
-79.198633,36.569994
-79.198389,36.569994
-79.197847,36.569883
-79.197721,36.569859
-79.197593,36.569876
-79.197518,36.569926
-79.197522,36.570019
-79.197604,36.570107
-79.197767,36.57017
-79.198041,36.570179
-79.198302,36.570146
-79.198482,36.570148
-79.198638,36.570168
-79.198821,36.570153
-79.199045,36.570078
-79.199278,36.569959
-79.199425,36.569856
-79.199525,36.569724
-79.199536,36.569531
-79.199472,36.56932
-79.199383,36.569055
-79.199317,36.568765
-79.199285,36.56824
-79.199294,36.567782
-79.199383,36.566675
-79.199386,36.566497
-79.199367,36.566372
