x,z
369.4252,-189.1618
366.7386,-185.0208
364.0163,-180.8193
361.2925,-176.6098
358.5712,-172.3984
355.8538,-168.1854
353.1420,-163.9717
350.4384,-159.7593
347.7449,-155.5468
345.0596,-151.3285
342.3970,-147.1155
339.7569,-142.8777
337.1467,-138.6243
334.5586,-134.3582
331.9795,-130.0836
329.3931,-125.8014
326.7901,-121.5263
324.1568,-117.2635
321.4820,-113.0171
318.7695,-108.7980
316.0306,-104.6020
313.2708,-100.4229
310.4975,-96.2561
307.7176,-92.0973
304.9371,-87.9416
302.1632,-83.7846
299.4024,-79.6214
296.6557,-75.4480
293.9126,-71.2697
291.1717,-67.0886
288.4334,-62.9063
285.6961,-58.7228
282.9585,-54.5382
280.2213,-50.3552
277.4829,-46.1721
274.7410,-41.9886
271.9982,-37.8072
269.2541,-33.6269
266.5093,-29.4482
263.7627,-25.2701
261.0151,-21.0925
258.2663,-16.9152
255.5164,-12.7390
252.7664,-8.5646
250.0143,-4.3897
247.2610,-0.2151
244.5083,3.9598
241.7560,8.1348
239.0050,12.3097
236.2557,16.4860
233.5090,20.6640
230.7658,24.8437
228.0256,29.0242
225.2839,33.2058
222.5430,37.3874
219.8039,41.5700
217.0678,45.7539
214.3361,49.9402
211.6095,54.1292
208.8887,58.3220
206.1753,62.5190
203.4639,66.7194
200.7547,70.9212
198.0497,75.1247
195.3510,79.3314
192.6595,83.5435
189.9768,87.7605
187.3043,91.9825
184.6438,96.2104
181.9961,100.4459
179.3578,104.6906
176.7304,108.9404
174.1123,113.1953
171.5018,117.4556
168.8990,121.7207
166.3032,125.9903
163.7130,130.2638
161.1314,134.5432
158.5676,138.8301
156.0149,143.1255
153.4687,147.4270
150.9259,151.7325
148.3813,156.0389
145.8309,160.3434
143.2706,164.6438
140.7010,168.9356
138.1299,173.2262
135.5573,177.5155
132.9812,181.8033
130.3999,186.0889
127.8121,190.3711
125.2169,194.6489
122.6116,198.9227
119.9960,203.1900
117.3701,207.4499
114.7356,211.7031
112.0924,215.9508
109.4421,220.1937
106.7861,224.4317
104.1250,228.6660
101.4604,232.8977
98.7926,237.1285
96.1192,241.3561
93.4394,245.5794
90.7550,249.7991
88.0681,254.0160
85.3798,258.2310
82.6911,262.4451
80.0028,266.6594
77.3155,270.8747
74.6280,275.0897
71.9377,279.3036
69.2457,283.5165
66.5527,287.7287
63.8597,291.9398
61.1672,296.1504
58.4759,300.3616
55.7861,304.5741
53.0981,308.7876
50.4101,313.0023
47.7231,317.2170
45.0367,321.4325
42.3515,325.6488
39.6679,329.8657
36.9863,334.0832
34.3062,338.3031
31.6289,342.5239
28.9549,346.7457
26.2833,350.9689
23.6132,355.1938
20.9440,359.4202
18.2755,363.6471
15.6069,367.8745
12.9375,372.1024
10.2683,376.3256
7.5982,380.5494
4.9269,384.7784
2.2573,389.0108
-0.4073,393.2458
-3.0664,397.4805
-5.7256,401.7144
-8.3975,405.9574
-11.0763,410.1891
-13.7484,414.3880
-16.4442,418.6124
-19.1305,422.8184
-21.8273,427.0416
