x,z
221.5299,-388.4769
216.5480,-388.9802
211.5692,-389.5010
206.6016,-390.0924
201.6045,-390.6487
196.6046,-391.1094
191.6094,-391.5281
186.6747,-391.9953
181.7175,-392.5019
176.7630,-392.8930
171.8024,-393.1567
166.8368,-393.4258
161.8920,-393.7379
156.9371,-394.0558
151.9752,-394.3740
146.9883,-394.7229
141.9881,-395.1076
137.0037,-395.4923
132.0116,-395.9078
127.0293,-396.3820
122.0504,-396.9035
117.0913,-397.4538
112.1222,-398.0156
107.1562,-398.5980
102.1934,-399.2071
97.2355,-399.8532
92.2856,-400.5433
87.3394,-401.2729
82.4085,-402.0741
77.4833,-402.9260
72.5603,-403.7992
67.6349,-404.6579
62.6956,-405.4451
57.7508,-406.1224
52.7875,-406.7980
47.8345,-407.4954
42.8801,-408.2055
37.9292,-408.9182
32.9732,-409.6269
28.0301,-410.3186
23.0798,-410.9947
18.1222,-411.6597
13.1628,-412.3043
8.2013,-412.9217
3.2373,-413.5069
-1.7335,-414.0524
-6.7044,-414.5566
-11.6810,-415.0376
-16.6569,-415.4942
-21.6333,-415.9130
-26.6103,-416.2855
-31.5833,-416.6428
-36.5530,-417.0026
-41.5226,-417.3616
-46.4943,-417.7092
-51.4672,-418.0451
-56.4399,-418.3926
-61.4140,-418.7459
-66.3884,-419.0914
-71.3618,-419.4299
-76.3343,-419.7470
-81.3063,-420.0367
-86.2765,-420.3028
-91.2467,-420.5474
-96.2180,-420.7637
-101.1914,-420.9457
-106.1691,-421.1007
-111.1448,-421.2309
-116.1214,-421.3492
-121.0968,-421.4735
-126.0712,-421.5972
-131.0442,-421.7221
-136.0180,-421.8578
-140.9955,-422.0071
-145.9765,-422.1643
-150.9605,-422.3347
-155.9497,-422.5280
-160.9413,-422.7290
-165.9318,-422.9073
-170.9265,-423.0689
-175.9237,-423.2139
-180.9248,-423.3324
-185.9267,-423.4274
-190.9344,-423.5035
-195.9394,-423.5540
-200.9487,-423.5749
-205.9579,-423.5652
-210.9677,-423.5257
-215.9770,-423.4576
-220.9892,-423.3533
-225.9943,-423.2089
-231.0028,-423.0276
-236.0091,-422.8078
-241.0138,-422.5478
-246.0167,-422.2452
-251.0166,-421.8938
-256.0146,-421.4909
-261.0067,-421.0390
-265.9943,-420.5359
-270.9756,-419.9831
-275.9510,-419.3821
-280.9209,-418.7354
-285.8845,-418.0438
-290.8421,-417.3026
-295.7914,-416.5143
-300.7326,-415.6817
-305.6661,-414.8065
-310.5920,-413.8951
-315.5127,-412.9478
-320.4243,-411.9551
-325.3268,-410.9213
-330.2214,-409.8554
-335.1084,-408.7577
-339.9903,-407.6456
-344.8725,-406.5381
-349.7514,-405.4169
-354.6333,-404.3180
-359.5278,-403.2863
-364.4337,-402.3177
-369.3519,-401.4067
-374.2851,-400.5716
-379.2296,-399.8166
-384.1954,-399.0890
-389.1541,-398.3359
-394.1127,-397.5765
-399.0645,-396.8085
-404.0260,-396.0113
-408.9642,-395.2051
-413.9082,-394.3851
-418.8631,-393.4719
-423.7784,-392.3899
-428.6727,-391.2056
-433.5691,-389.9875
-438.4681,-388.5332
-443.2676,-386.6609
-447.8419,-384.3181
-452.2127,-381.6254
-456.3847,-378.6137
-460.2707,-375.2853
-463.6414,-371.4338
-466.6921,-367.4831
-469.6275,-363.7163
-472.4920,-360.0619
-475.3850,-356.3994
-478.3571,-352.6492
-481.2351,-348.6766
-483.8532,-344.4350
-486.2079,-339.9810
-488.6196,-335.5288
-491.2205,-331.1913
-493.9734,-326.9979
-496.7836,-322.9106
-499.3749,-318.7860
-501.8006,-314.6991
-504.3110,-310.7759
-507.0770,-307.0289
-510.1001,-303.3669
-513.2959,-299.6819
-516.6423,-296.0176
-520.0015,-292.2808
-523.5245,-288.6723
-527.3882,-285.4609
-531.4938,-282.5696
-535.7619,-279.9189
-540.2364,-277.6231
-544.8941,-275.7406
-549.5909,-273.9895
-554.2152,-272.0714
-558.7389,-269.9324
-563.2395,-267.7459
-567.6625,-265.3972
-571.9412,-262.7956
-576.0553,-259.9321
-580.0382,-256.8881
-583.8400,-253.6138
-587.4976,-250.2029
-591.0426,-246.7257
-594.4792,-243.1709
-597.8537,-239.6280
-601.2095,-236.1373
-604.5314,-232.6650
-607.7955,-229.1240
-611.0731,-225.5134
-614.4108,-221.8559
-617.8010,-218.1869
-621.1824,-214.4620
-624.5538,-210.6745
-627.8194,-206.7827
-630.9312,-202.7789
-633.8887,-198.6540
-636.6879,-194.4081
-639.2884,-190.0308
-641.6954,-185.5402
-643.9379,-180.9836
-645.9354,-176.3025
-647.7268,-171.5617
-649.3894,-166.8185
-650.9531,-161.9859
-652.4213,-157.1865
-653.8448,-152.3823
-655.2538,-147.5739
-656.6691,-142.7737
-658.1171,-137.9929
-659.6146,-133.2415
-661.1667,-128.5127
-662.7463,-123.7834
-664.3363,-119.0525
-665.9483,-114.3281
-667.5924,-109.6141
-669.2618,-104.9078
-670.9517,-100.2080
-672.6596,-95.5137
-674.3807,-90.8254
-676.1246,-86.1498
-677.9072,-81.4891
-679.7188,-76.8361
-681.5478,-72.1860
-683.3853,-67.5365
-685.2199,-62.8812
-687.0398,-58.2166
-688.8339,-53.5386
-690.5922,-48.8472
-692.3211,-44.1464
-694.0263,-39.4414
-695.7187,-34.7339
-697.4076,-30.0271
-699.0984,-25.3237
-700.7989,-20.6269
-702.5166,-15.9384
-704.2596,-11.2612
-706.0285,-6.5928
-707.8196,-1.9306
-709.6233,2.7300
-711.4358,7.3902
-713.2457,12.0537
-715.0481,16.7226
-716.8353,21.4008
-718.5979,26.0822
-720.3407,30.7755
-722.0698,35.4755
-723.7887,40.1788
-725.4970,44.8830
-727.1975,49.5867
-728.8948,54.3024
-730.5862,59.0175
-732.2703,63.7214
-733.9464,68.4313
-735.6088,73.1545
-737.2567,77.8765
-738.8975,82.6001
-740.5397,87.3262
-742.1878,92.0365
-743.8728,96.7293
-745.6296,101.3880
-747.4077,106.0677
-749.0901,110.8226
-750.5948,115.6442
-752.0187,120.4721
-753.3332,125.3486
-754.4611,130.2936
-755.3108,135.2993
-755.9478,140.3281
-756.3279,145.3941
-756.3913,150.4741
-756.1740,155.5257
-755.7095,160.5427
-755.1584,165.4942
-754.7796,170.3648
-754.4942,175.1828
-754.0883,179.9718
-753.5031,184.7658
-752.9163,189.6183
-752.2080,194.4962
-751.2549,199.3786
-750.2810,204.2896
-749.3804,209.2447
-748.6411,214.2410
-748.0972,219.2447
-747.6020,224.2554
-747.4520,229.3002
-748.0275,234.3417
-748.9784,239.2960
-749.6968,244.1452
-750.4415,248.8288
-751.2574,253.3466
-752.3119,257.7987
-753.6713,262.3229
-755.3513,266.8946
-757.1713,271.5340
-758.9865,276.2704
-761.1105,280.9274
-763.6189,285.3961
-766.4733,289.6143
-769.5578,293.6712
-772.9478,297.4885
-776.5346,301.0743
-780.2067,304.5067
-783.8607,307.9272
-787.4695,311.4054
-791.2054,314.8172
-795.1088,318.0416
-799.1530,321.1044
-803.3218,323.9978
-807.5400,326.7619
-811.7712,329.4654
-815.9909,332.1734
-820.1825,334.9100
-824.3280,337.6918
-828.4595,340.5158
-832.5790,343.3622
-836.6772,346.2408
-840.7576,349.1444
-844.8268,352.0615
-848.8884,354.9870
-852.9462,357.9193
-856.9977,360.8594
-861.0398,363.8149
-865.0661,366.7927
-869.0721,369.7996
-873.0530,372.8419
-877.0022,375.9119
-880.9445,379.0094
-884.8719,382.1227
-888.7819,385.2543
-892.6741,388.4156
-896.5411,391.6206
-900.3621,394.8487
-904.1737,398.0996
-907.9470,401.4540
-911.5708,404.9978
-915.0142,408.6909
-918.4708,412.3763
-921.7537,416.3406
-924.5097,420.7575
-926.4464,425.5786
-927.8796,430.5061
-928.8225,435.4690
-929.1453,440.3861
-929.0862,445.1533
-929.0263,449.7995
-928.8058,454.3060
-928.2881,458.5979
-927.1228,462.6473
-925.3105,466.5086
-923.0663,470.1872
-920.4244,473.5891
-917.1979,476.4668
-913.4441,478.8658
-909.4204,481.1666
-905.1443,483.3142
-900.5869,485.0478
-895.8394,486.5700
-890.9460,487.9000
-885.9417,488.8508
-880.8702,489.4503
-875.7682,489.6338
-870.6961,489.4448
-865.6655,489.0030
-860.6673,488.4329
-855.6737,487.8175
-850.6923,487.0629
-845.7428,486.1377
-840.8337,485.0754
-835.9587,483.9284
-831.0864,482.7670
-826.2097,481.5683
-821.3418,480.3547
-816.5003,479.1026
-811.6735,477.7859
-806.8569,476.4466
-802.0343,475.1499
-797.1969,473.8950
-792.3533,472.6566
-787.5065,471.4344
-782.6546,470.2325
-777.7970,469.0525
-772.9383,467.8988
-768.0669,466.7746
-763.1833,465.6753
-758.2989,464.5948
-753.4059,463.5274
-748.5284,462.4695
-743.6325,461.4097
-738.7519,460.3598
-733.8544,459.3322
-728.9648,458.3257
-724.0784,457.3241
-719.1718,456.3146
-714.2735,455.3114
-709.3748,454.3150
-704.4740,453.3248
-699.5736,452.3396
-694.6728,451.3515
-689.7668,450.3765
-684.8536,449.4308
-679.9336,448.5222
-675.0105,447.6369
-670.0818,446.7812
-665.1468,445.9616
-660.2073,445.1815
-655.2642,444.4321
-650.3152,443.7191
-645.3582,443.0516
-640.3956,442.4387
-635.4293,441.8667
-630.4551,441.3498
-625.4720,440.9003
-620.4815,440.5262
-615.4886,440.2159
-610.4915,439.9741
-605.4911,439.8021
-600.4905,439.7110
-595.4890,439.6891
-590.4921,439.7230
-585.4979,439.8216
-580.5096,439.9731
-575.5263,440.1554
-570.5453,440.3508
-565.5637,440.5418
-560.5822,440.7002
-555.6049,440.8060
-550.6317,440.8941
-545.6620,441.0153
-540.6957,441.1880
-535.7275,441.4052
-530.7625,441.6533
-525.7988,441.9345
-520.8360,442.2419
-515.8706,442.5536
-510.9051,442.8635
-505.9424,443.1755
-500.9808,443.5031
-496.0085,443.8439
-491.0507,444.2171
-486.1131,444.7127
-481.1761,445.3207
-476.2589,446.0127
-471.3238,446.8070
-466.3918,447.6583
-461.4670,448.5421
-456.5492,449.4502
-451.6144,450.3791
-446.7096,451.2967
-441.8067,452.2304
-436.9156,453.1939
-432.0086,454.1563
-427.0716,455.0636
-422.1267,455.8999
-417.1817,456.6904
-412.2389,457.4580
-407.3109,458.2188
-402.4114,459.0903
-397.4872,460.0335
-392.4791,460.8396
-387.3993,461.2974
-382.3162,461.4083
-377.2349,461.2670
-372.1531,460.7763
-367.1286,459.8546
-362.2341,458.4242
-357.4825,456.6958
-352.8789,454.8175
-348.4267,452.8092
-344.0879,450.7181
-339.7535,448.7028
-335.4796,446.7286
-331.4291,444.5137
-327.4273,441.9265
-323.3222,439.3432
-319.1532,436.8311
-315.0598,434.1661
-311.2142,431.1083
-307.3675,427.9024
-303.6252,424.5203
-300.0714,420.9178
-296.6225,417.1657
-293.3502,413.2444
-290.3404,409.1171
-287.5754,404.8136
-285.0934,400.3345
-282.9826,395.6777
-281.1586,390.9400
-279.5030,386.1763
-277.9057,381.4110
-276.3613,376.6201
-274.9256,371.7805
-273.6295,366.8848
-272.5668,361.9238
-271.7493,356.9239
-271.0791,351.9235
-270.4917,346.9349
-269.9715,341.9478
-269.5611,336.9583
-269.2589,331.9660
-269.0740,326.9769
-269.0113,321.9981
-268.9995,317.0332
-269.0518,312.0744
-269.1944,307.1183
-269.3817,302.1700
-269.5847,297.2271
-269.7988,292.2896
-270.0454,287.3542
-270.3405,282.4234
-270.6573,277.4960
-270.9615,272.5688
-271.2666,267.6376
-271.6157,262.7001
-272.0438,257.7639
-272.5270,252.8261
-273.1077,247.8968
-273.8716,242.9935
-274.8704,238.1385
-276.0986,233.3294
-277.4973,228.5602
-278.9891,223.8146
-280.5634,219.0969
-282.3025,214.4403
-284.0973,209.7784
-285.8351,205.0949
-287.5042,200.3702
-289.1553,195.6527
-290.8018,190.9206
-292.4320,186.1867
-294.0418,181.4447
-295.6290,176.6861
-297.1760,171.9198
-298.6787,167.1512
-300.1220,162.3435
-301.4725,157.5020
-302.7305,152.6396
-303.9363,147.7656
-305.0729,142.8638
-306.1013,137.9212
-306.9721,132.9381
-307.6499,127.9199
-308.1687,122.8945
-308.5660,117.8623
-308.8680,112.8392
-308.9348,107.7768
-308.7550,102.7031
-308.3720,97.6401
-307.6708,92.6672
-306.7450,87.7190
-305.9363,82.8231
-305.3362,77.9773
-304.9347,73.2066
-304.5155,68.4051
-304.0214,63.4969
-303.4289,58.5164
-302.6926,53.5196
-301.7990,48.5504
-300.6875,43.5981
-299.2973,38.6958
-297.5867,33.9078
-295.5807,29.2240
